Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Calhoun County, AL",1015,Assault by other and unspecified firearm discharge,X95,14,116211,
,"Jefferson County, AL",1073,Assault by other and unspecified firearm discharge,X95,97,655163,14.8
,"Madison County, AL",1089,Assault by other and unspecified firearm discharge,X95,19,315859,
,"Mobile County, AL",1097,Assault by handgun discharge,X93,18,405715,
,"Mobile County, AL",1097,Assault by other and unspecified firearm discharge,X95,34,405715,8.4
,"Montgomery County, AL",1101,Assault by other and unspecified firearm discharge,X95,38,227888,16.7
,"Tuscaloosa County, AL",1125,Assault by other and unspecified firearm discharge,X95,15,184350,
,"Anchorage Borough, AK",2020,Assault by other and unspecified firearm discharge,X95,10,278792,
,"Maricopa County, AZ",4013,"Assault by hanging, strangulation and suffocation",X91,11,3711954,
,"Maricopa County, AZ",4013,"Assault by rifle, shotgun and larger firearm discharge",X94,11,3711954,
,"Maricopa County, AZ",4013,Assault by other and unspecified firearm discharge,X95,238,3711954,6.4
,"Maricopa County, AZ",4013,Assault by sharp object,X99,27,3711954,0.7
,"Maricopa County, AZ",4013,Assault by unspecified means,Y09,45,3711954,1.2
,"Mohave County, AZ",4015,Assault by other and unspecified firearm discharge,X95,10,199760,
,"Pima County, AZ",4019,Assault by other and unspecified firearm discharge,X95,42,955869,4.4
,"Pima County, AZ",4019,Assault by unspecified means,Y09,15,955869,
,"Pinal County, AZ",4021,Assault by other and unspecified firearm discharge,X95,11,306174,
,"Jefferson County, AR",5069,Assault by other and unspecified firearm discharge,X95,11,78788,
,"Pulaski County, AR",5119,Assault by other and unspecified firearm discharge,X95,54,373403,14.5
,"Pulaski County, AR",5119,Assault by unspecified means,Y09,12,373403,
,"Alameda County, CA",6001,Assault by handgun discharge,X93,60,1455715,4.1
,"Alameda County, CA",6001,"Assault by rifle, shotgun and larger firearm discharge",X94,14,1455715,
,"Alameda County, CA",6001,Assault by other and unspecified firearm discharge,X95,49,1455715,3.4
,"Alameda County, CA",6001,Assault by sharp object,X99,15,1455715,
,"Contra Costa County, CA",6013,Assault by handgun discharge,X93,16,1009152,
,"Contra Costa County, CA",6013,Assault by other and unspecified firearm discharge,X95,74,1009152,7.3
,"Fresno County, CA",6019,Assault by other and unspecified firearm discharge,X95,52,895933,5.8
,"Kern County, CA",6029,Assault by other and unspecified firearm discharge,X95,39,803281,4.9
,"Los Angeles County, CA",6037,"Assault by hanging, strangulation and suffocation",X91,12,9700359,
,"Los Angeles County, CA",6037,Assault by handgun discharge,X93,69,9700359,0.7
,"Los Angeles County, CA",6037,"Assault by rifle, shotgun and larger firearm discharge",X94,21,9700359,0.2
,"Los Angeles County, CA",6037,Assault by other and unspecified firearm discharge,X95,592,9700359,6.1
,"Los Angeles County, CA",6037,Assault by sharp object,X99,85,9700359,0.9
,"Los Angeles County, CA",6037,Assault by unspecified means,Y09,52,9700359,0.5
,"Los Angeles County, CA",6037,Sequelae of assault,Y87.1,17,9700359,
,"Orange County, CA",6059,Assault by handgun discharge,X93,19,2931629,
,"Orange County, CA",6059,Assault by other and unspecified firearm discharge,X95,24,2931629,0.8
,"Orange County, CA",6059,Assault by sharp object,X99,18,2931629,
,"Riverside County, CA",6065,Assault by other and unspecified firearm discharge,X95,63,2075183,3
,"Riverside County, CA",6065,Assault by sharp object,X99,17,2075183,
,"Riverside County, CA",6065,Assault by unspecified means,Y09,12,2075183,
,"Sacramento County, CA",6067,Assault by handgun discharge,X93,23,1381161,1.7
,"Sacramento County, CA",6067,Assault by other and unspecified firearm discharge,X95,35,1381161,2.5
,"Sacramento County, CA",6067,Assault by sharp object,X99,17,1381161,
,"Sacramento County, CA",6067,Assault by unspecified means,Y09,12,1381161,
,"San Bernardino County, CA",6071,Assault by handgun discharge,X93,11,1992161,
,"San Bernardino County, CA",6071,Assault by other and unspecified firearm discharge,X95,106,1992161,5.3
,"San Bernardino County, CA",6071,Assault by sharp object,X99,16,1992161,
,"San Bernardino County, CA",6071,Assault by unspecified means,Y09,22,1992161,1.1
,"San Diego County, CA",6073,Assault by other and unspecified firearm discharge,X95,64,2975742,2.2
,"San Diego County, CA",6073,Assault by sharp object,X99,23,2975742,0.8
,"San Diego County, CA",6073,Assault by unspecified means,Y09,15,2975742,
,"San Francisco County, CA",6075,Assault by other and unspecified firearm discharge,X95,48,778673,6.2
,"San Francisco County, CA",6075,Assault by sharp object,X99,11,778673,
,"San Joaquin County, CA",6077,Assault by other and unspecified firearm discharge,X95,32,668080,4.8
,"San Mateo County, CA",6081,Assault by other and unspecified firearm discharge,X95,13,693849,
,"Santa Clara County, CA",6085,Assault by other and unspecified firearm discharge,X95,20,1712026,1.2
,"Santa Clara County, CA",6085,Assault by sharp object,X99,14,1712026,
,"Solano County, CA",6095,Assault by handgun discharge,X93,16,408243,
,"Solano County, CA",6095,Assault by other and unspecified firearm discharge,X95,20,408243,4.9
,"Tulare County, CA",6107,Assault by other and unspecified firearm discharge,X95,25,422140,5.9
,"Denver County, CO",8031,Assault by other and unspecified firearm discharge,X95,31,564395,5.5
,"Denver County, CO",8031,Assault by unspecified means,Y09,10,564395,
,"El Paso County, CO",8041,Assault by other and unspecified firearm discharge,X95,13,586783,
,"Fairfield County, CT",9001,Assault by other and unspecified firearm discharge,X95,15,897498,
,"Hartford County, CT",9003,Assault by other and unspecified firearm discharge,X95,30,884548,3.4
,"New Haven County, CT",9009,Assault by other and unspecified firearm discharge,X95,12,853598,
,"New Castle County, DE",10003,Assault by other and unspecified firearm discharge,X95,21,530555,4
,"District of Columbia, DC",11001,Assault by other and unspecified firearm discharge,X95,128,574404,22.3
,"District of Columbia, DC",11001,Assault by sharp object,X99,20,574404,3.5
,"Brevard County, FL",12009,Assault by other and unspecified firearm discharge,X95,25,539719,4.6
,"Broward County, FL",12011,Assault by other and unspecified firearm discharge,X95,74,1720825,4.3
,"Broward County, FL",12011,Assault by sharp object,X99,17,1720825,
,"Duval County, FL",12031,Assault by other and unspecified firearm discharge,X95,119,851033,14
,"Escambia County, FL",12033,Assault by other and unspecified firearm discharge,X95,14,297393,
,"Hillsborough County, FL",12057,Assault by handgun discharge,X93,30,1184686,2.5
,"Hillsborough County, FL",12057,Assault by other and unspecified firearm discharge,X95,18,1184686,
,"Hillsborough County, FL",12057,Assault by sharp object,X99,13,1184686,
,"Lee County, FL",12071,Assault by handgun discharge,X93,12,604716,
,"Lee County, FL",12071,Assault by other and unspecified firearm discharge,X95,23,604716,3.8
,"Miami-Dade County, FL",12086,Assault by other and unspecified firearm discharge,X95,199,2415576,8.2
,"Miami-Dade County, FL",12086,Assault by sharp object,X99,10,2415576,
,"Miami-Dade County, FL",12086,Assault by unspecified means,Y09,13,2415576,
,"Orange County, FL",12095,Assault by other and unspecified firearm discharge,X95,78,1100663,7.1
,"Orange County, FL",12095,Assault by unspecified means,Y09,11,1100663,
,"Osceola County, FL",12097,Assault by other and unspecified firearm discharge,X95,14,253722,
,"Palm Beach County, FL",12099,Assault by other and unspecified firearm discharge,X95,68,1286586,5.3
,"Palm Beach County, FL",12099,Assault by unspecified means,Y09,13,1286586,
,"Pasco County, FL",12101,Assault by other and unspecified firearm discharge,X95,13,453579,
,"Pinellas County, FL",12103,Assault by other and unspecified firearm discharge,X95,34,918624,3.7
,"Pinellas County, FL",12103,Assault by unspecified means,Y09,10,918624,
,"Polk County, FL",12105,Assault by other and unspecified firearm discharge,X95,17,585982,
,"Sarasota County, FL",12115,Assault by other and unspecified firearm discharge,X95,10,375325,
,"Seminole County, FL",12117,Assault by other and unspecified firearm discharge,X95,14,413571,
,"Volusia County, FL",12127,Assault by other and unspecified firearm discharge,X95,12,498935,
,"Bibb County, GA",13021,Assault by other and unspecified firearm discharge,X95,18,154286,
,"Chatham County, GA",13051,Assault by other and unspecified firearm discharge,X95,16,251981,
,"Clayton County, GA",13063,Assault by other and unspecified firearm discharge,X95,23,260441,8.8
,"Cobb County, GA",13067,Assault by other and unspecified firearm discharge,X95,23,670438,3.4
,"DeKalb County, GA",13089,Assault by other and unspecified firearm discharge,X95,92,680962,13.5
,"Fulton County, GA",13121,Assault by other and unspecified firearm discharge,X95,113,869329,13
,"Fulton County, GA",13121,Assault by sharp object,X99,11,869329,
,"Gwinnett County, GA",13135,Assault by other and unspecified firearm discharge,X95,44,764129,5.8
