Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Dallas County, AL",1047,Assault by other and unspecified firearm discharge,X95,12,41996,
,"Jefferson County, AL",1073,Assault by handgun discharge,X93,11,659479,
,"Jefferson County, AL",1073,Assault by other and unspecified firearm discharge,X95,68,659479,10.3
,"Madison County, AL",1089,Assault by other and unspecified firearm discharge,X95,17,346892,
,"Mobile County, AL",1097,Assault by other and unspecified firearm discharge,X95,39,414079,9.4
,"Montgomery County, AL",1101,Assault by other and unspecified firearm discharge,X95,41,226659,18.1
,"Tuscaloosa County, AL",1125,Assault by other and unspecified firearm discharge,X95,11,200821,
,"Anchorage Borough, AK",2020,Assault by unspecified means,Y09,12,300950,
,"Maricopa County, AZ",4013,"Assault by rifle, shotgun and larger firearm discharge",X94,11,4009412,
,"Maricopa County, AZ",4013,Assault by other and unspecified firearm discharge,X95,147,4009412,3.7
,"Maricopa County, AZ",4013,Assault by sharp object,X99,27,4009412,0.7
,"Maricopa County, AZ",4013,Assault by unspecified means,Y09,20,4009412,0.5
,"Pima County, AZ",4019,Assault by other and unspecified firearm discharge,X95,46,996554,4.6
,"Pima County, AZ",4019,Assault by unspecified means,Y09,10,996554,
,"Jefferson County, AR",5069,Assault by other and unspecified firearm discharge,X95,14,73191,
,"Pulaski County, AR",5119,Assault by other and unspecified firearm discharge,X95,37,391284,9.5
,"Alameda County, CA",6001,Assault by handgun discharge,X93,29,1578891,1.8
,"Alameda County, CA",6001,Assault by other and unspecified firearm discharge,X95,67,1578891,4.2
,"Contra Costa County, CA",6013,Assault by handgun discharge,X93,11,1094205,
,"Contra Costa County, CA",6013,Assault by other and unspecified firearm discharge,X95,36,1094205,3.3
,"Fresno County, CA",6019,Assault by other and unspecified firearm discharge,X95,41,955272,4.3
,"Fresno County, CA",6019,Assault by sharp object,X99,11,955272,
,"Kern County, CA",6029,Assault by handgun discharge,X93,17,864124,
,"Kern County, CA",6029,Assault by other and unspecified firearm discharge,X95,27,864124,3.1
,"Los Angeles County, CA",6037,"Assault by hanging, strangulation and suffocation",X91,12,10017068,
,"Los Angeles County, CA",6037,Assault by handgun discharge,X93,68,10017068,0.7
,"Los Angeles County, CA",6037,"Assault by rifle, shotgun and larger firearm discharge",X94,12,10017068,
,"Los Angeles County, CA",6037,Assault by other and unspecified firearm discharge,X95,362,10017068,3.6
,"Los Angeles County, CA",6037,Assault by sharp object,X99,47,10017068,0.5
,"Los Angeles County, CA",6037,Assault by unspecified means,Y09,44,10017068,0.4
,"Los Angeles County, CA",6037,Sequelae of assault,Y87.1,19,10017068,
,"Merced County, CA",6047,Assault by other and unspecified firearm discharge,X95,21,263228,8
,"Monterey County, CA",6053,Assault by handgun discharge,X93,19,428826,
,"Monterey County, CA",6053,Assault by other and unspecified firearm discharge,X95,17,428826,
,"Orange County, CA",6059,Assault by handgun discharge,X93,15,3114363,
,"Orange County, CA",6059,Assault by other and unspecified firearm discharge,X95,19,3114363,
,"Orange County, CA",6059,Assault by sharp object,X99,12,3114363,
,"Riverside County, CA",6065,Assault by handgun discharge,X93,10,2292507,
,"Riverside County, CA",6065,Assault by other and unspecified firearm discharge,X95,47,2292507,2.1
,"Riverside County, CA",6065,Assault by sharp object,X99,16,2292507,
,"Riverside County, CA",6065,Assault by unspecified means,Y09,15,2292507,
,"Sacramento County, CA",6067,Assault by other and unspecified firearm discharge,X95,47,1462131,3.2
,"Sacramento County, CA",6067,Assault by unspecified means,Y09,10,1462131,
,"San Bernardino County, CA",6071,Assault by other and unspecified firearm discharge,X95,79,2088371,3.8
,"San Bernardino County, CA",6071,Assault by sharp object,X99,15,2088371,
,"San Bernardino County, CA",6071,Assault by unspecified means,Y09,15,2088371,
,"San Diego County, CA",6073,Assault by other and unspecified firearm discharge,X95,40,3211252,1.2
,"San Diego County, CA",6073,Assault by sharp object,X99,16,3211252,
,"San Diego County, CA",6073,Assault by unspecified means,Y09,18,3211252,
,"San Francisco County, CA",6075,Assault by other and unspecified firearm discharge,X95,15,837442,
,"San Joaquin County, CA",6077,Assault by other and unspecified firearm discharge,X95,39,704379,5.5
,"San Mateo County, CA",6081,Assault by other and unspecified firearm discharge,X95,13,747373,
,"Santa Clara County, CA",6085,Assault by handgun discharge,X93,13,1862041,
,"Santa Clara County, CA",6085,Assault by other and unspecified firearm discharge,X95,14,1862041,
,"Santa Clara County, CA",6085,Assault by sharp object,X99,18,1862041,
,"Solano County, CA",6095,Assault by other and unspecified firearm discharge,X95,26,424788,6.1
,"Stanislaus County, CA",6099,Assault by other and unspecified firearm discharge,X95,22,525491,4.2
,"Tulare County, CA",6107,Assault by other and unspecified firearm discharge,X95,30,454143,6.6
,"Ventura County, CA",6111,Assault by other and unspecified firearm discharge,X95,15,839620,
,"Adams County, CO",8001,Assault by other and unspecified firearm discharge,X95,14,469193,
,"Arapahoe County, CO",8005,Assault by other and unspecified firearm discharge,X95,13,607070,
,"Denver County, CO",8031,Assault by other and unspecified firearm discharge,X95,21,649495,3.2
,"El Paso County, CO",8041,Assault by other and unspecified firearm discharge,X95,29,655044,4.4
,"Fairfield County, CT",9001,Assault by other and unspecified firearm discharge,X95,11,939904,
,"Hartford County, CT",9003,Assault by other and unspecified firearm discharge,X95,23,898272,2.6
,"New Haven County, CT",9009,Assault by other and unspecified firearm discharge,X95,21,862287,2.4
,"New Castle County, DE",10003,Assault by other and unspecified firearm discharge,X95,32,549684,5.8
,"District of Columbia, DC",11001,Assault by other and unspecified firearm discharge,X95,58,646449,9
,"District of Columbia, DC",11001,Assault by unspecified means,Y09,12,646449,
,"Brevard County, FL",12009,Assault by other and unspecified firearm discharge,X95,23,550823,4.2
,"Broward County, FL",12011,Assault by other and unspecified firearm discharge,X95,69,1838844,3.8
,"Broward County, FL",12011,Assault by sharp object,X99,13,1838844,
,"Collier County, FL",12021,Assault by other and unspecified firearm discharge,X95,10,339642,
,"Duval County, FL",12031,Assault by other and unspecified firearm discharge,X95,77,885855,8.7
,"Duval County, FL",12031,Assault by unspecified means,Y09,11,885855,
,"Escambia County, FL",12033,Assault by other and unspecified firearm discharge,X95,18,305817,
,"Hillsborough County, FL",12057,Assault by handgun discharge,X93,33,1291578,2.6
,"Hillsborough County, FL",12057,Assault by other and unspecified firearm discharge,X95,14,1291578,
,"Lee County, FL",12071,Assault by other and unspecified firearm discharge,X95,16,661115,
,"Leon County, FL",12073,Assault by other and unspecified firearm discharge,X95,12,281845,
,"Marion County, FL",12083,Assault by other and unspecified firearm discharge,X95,15,337362,
,"Miami-Dade County, FL",12086,Assault by other and unspecified firearm discharge,X95,191,2617176,7.3
,"Miami-Dade County, FL",12086,Assault by sharp object,X99,17,2617176,
,"Miami-Dade County, FL",12086,Assault by unspecified means,Y09,18,2617176,
,"Orange County, FL",12095,Assault by handgun discharge,X93,13,1225267,
,"Orange County, FL",12095,Assault by other and unspecified firearm discharge,X95,41,1225267,3.3
,"Palm Beach County, FL",12099,Assault by other and unspecified firearm discharge,X95,61,1372171,4.4
,"Palm Beach County, FL",12099,Assault by sharp object,X99,12,1372171,
,"Pinellas County, FL",12103,Assault by other and unspecified firearm discharge,X95,23,929048,2.5
,"Polk County, FL",12105,Assault by other and unspecified firearm discharge,X95,16,623009,
,"St. Lucie County, FL",12111,Assault by other and unspecified firearm discharge,X95,13,286832,
,"Volusia County, FL",12127,Assault by other and unspecified firearm discharge,X95,16,500800,
,"Chatham County, GA",13051,Assault by other and unspecified firearm discharge,X95,19,278434,
,"Clayton County, GA",13063,Assault by other and unspecified firearm discharge,X95,33,264220,12.5
,"Cobb County, GA",13067,Assault by other and unspecified firearm discharge,X95,25,717190,3.5
,"DeKalb County, GA",13089,Assault by other and unspecified firearm discharge,X95,55,713340,7.7
,"Fulton County, GA",13121,Assault by other and unspecified firearm discharge,X95,81,984293,8.2
,"Gwinnett County, GA",13135,Assault by other and unspecified firearm discharge,X95,13,859304,
,"Henry County, GA",13151,Assault by other and unspecified firearm discharge,X95,10,211128,
,"Muscogee County, GA",13215,Assault by other and unspecified firearm discharge,X95,15,202824,
,"Richmond County, GA",13245,Assault by other and unspecified firearm discharge,X95,15,202003,
,"Cook County, IL",17031,"Assault by hanging, strangulation and suffocation",X91,10,5240700,
,"Cook County, IL",17031,Assault by other and unspecified firearm discharge,X95,428,5240700,8.2
,"Cook County, IL",17031,Assault by sharp object,X99,51,5240700,1
,"Cook County, IL",17031,Assault by unspecified means,Y09,24,5240700,0.5
,"Peoria County, IL",17143,Assault by other and unspecified firearm discharge,X95,11,188429,
,"St. Clair County, IL",17163,Assault by other and unspecified firearm discharge,X95,26,266955,9.7
,"Winnebago County, IL",17201,Assault by other and unspecified firearm discharge,X95,20,290666,6.9
,"Allen County, IN",18003,Assault by other and unspecified firearm discharge,X95,36,363014,9.9
,"Lake County, IN",18089,Assault by other and unspecified firearm discharge,X95,64,491456,13
,"Marion County, IN",18097,Assault by handgun discharge,X93,16,928281,
,"Marion County, IN",18097,Assault by other and unspecified firearm discharge,X95,99,928281,10.7
,"Marion County, IN",18097,Assault by unspecified means,Y09,11,928281,
,"Sedgwick County, KS",20173,Assault by other and unspecified firearm discharge,X95,14,505415,
,"Wyandotte County, KS",20209,Assault by other and unspecified firearm discharge,X95,18,160384,
,"Jefferson County, KY",21111,Assault by other and unspecified firearm discharge,X95,43,756832,5.7
,"Caddo Parish, LA",22017,Assault by other and unspecified firearm discharge,X95,18,254887,
,"East Baton Rouge Parish, LA",22033,Assault by other and unspecified firearm discharge,X95,56,445227,12.6
,"Jefferson Parish, LA",22051,Assault by other and unspecified firearm discharge,X95,54,434767,12.4
,"Orleans Parish, LA",22071,Assault by other and unspecified firearm discharge,X95,125,378715,33
,"Ouachita Parish, LA",22073,Assault by other and unspecified firearm discharge,X95,12,156220,
,"Rapides Parish, LA",22079,Assault by other and unspecified firearm discharge,X95,11,132723,
,"St. John the Baptist Parish, LA",22095,Assault by other and unspecified firearm discharge,X95,18,43761,
,"St. Tammany Parish, LA",22103,Assault by other and unspecified firearm discharge,X95,11,242333,
