Notes,State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Alabama,1,"Assault by hanging, strangulation and suffocation",X91,12,4430141,
,Alabama,1,Assault by handgun discharge,X93,37,4430141,0.8
,Alabama,1,"Assault by rifle, shotgun and larger firearm discharge",X94,29,4430141,0.7
,Alabama,1,Assault by other and unspecified firearm discharge,X95,227,4430141,5.1
,Alabama,1,Assault by sharp object,X99,59,4430141,1.3
,Alabama,1,Assault by unspecified means,Y09,43,4430141,1
Total,Alabama,1,,,438,4430141,9.9
,Alaska,2,Assault by other and unspecified firearm discharge,X95,25,624779,4
Total,Alaska,2,,,51,624779,8.2
,Arizona,4,"Assault by hanging, strangulation and suffocation",X91,13,5023823,
,Arizona,4,"Assault by rifle, shotgun and larger firearm discharge",X94,18,5023823,
,Arizona,4,Assault by other and unspecified firearm discharge,X95,280,5023823,5.6
,Arizona,4,Assault by sharp object,X99,56,5023823,1.1
,Arizona,4,Assault by pushing or placing victim before moving object,Y02,15,5023823,
,Arizona,4,Assault by other specified means,Y08,21,5023823,0.4
,Arizona,4,Assault by unspecified means,Y09,32,5023823,0.6
,Arizona,4,Sequelae of assault,Y87.1,10,5023823,
Total,Arizona,4,,,470,5023823,9.4
,Arkansas,5,Assault by handgun discharge,X93,13,2651860,
,Arkansas,5,"Assault by rifle, shotgun and larger firearm discharge",X94,11,2651860,
,Arkansas,5,Assault by other and unspecified firearm discharge,X95,94,2651860,3.5
,Arkansas,5,Assault by sharp object,X99,19,2651860,
,Arkansas,5,Assault by unspecified means,Y09,15,2651860,
Total,Arkansas,5,,,179,2651860,6.7
,California,6,"Assault by hanging, strangulation and suffocation",X91,99,33499204,0.3
,California,6,Assault by handgun discharge,X93,267,33499204,0.8
,California,6,"Assault by rifle, shotgun and larger firearm discharge",X94,66,33499204,0.2
,California,6,Assault by other and unspecified firearm discharge,X95,1047,33499204,3.1
,California,6,"Assault by smoke, fire and flames",X97,14,33499204,
,California,6,Assault by sharp object,X99,245,33499204,0.7
,California,6,Assault by blunt object,Y00,28,33499204,0.1
,California,6,Assault by crashing of motor vehicle,Y03,17,33499204,
,California,6,Assault by bodily force,Y04,18,33499204,
,California,6,By unspecified person,Y07.9,23,33499204,0.1
,California,6,Assault by other specified means,Y08,43,33499204,0.1
,California,6,Assault by unspecified means,Y09,141,33499204,0.4
,California,6,Sequelae of assault,Y87.1,28,33499204,0.1
Total,California,6,,,2066,33499204,6.2
,Colorado,8,"Assault by hanging, strangulation and suffocation",X91,13,4226018,
,Colorado,8,Assault by other and unspecified firearm discharge,X95,105,4226018,2.5
,Colorado,8,Assault by sharp object,X99,28,4226018,0.7
,Colorado,8,Assault by unspecified means,Y09,23,4226018,0.5
Total,Colorado,8,,,199,4226018,4.7
,Connecticut,9,Assault by other and unspecified firearm discharge,X95,80,3386401,2.4
,Connecticut,9,Assault by sharp object,X99,16,3386401,
Total,Connecticut,9,,,120,3386401,3.5
,Delaware,10,Assault by other and unspecified firearm discharge,X95,17,774990,
Total,Delaware,10,,,24,774990,3.1
,District of Columbia,11,Assault by other and unspecified firearm discharge,X95,140,570213,24.6
,District of Columbia,11,Assault by sharp object,X99,23,570213,4
Total,District of Columbia,11,,,186,570213,32.6
,Florida,12,"Assault by hanging, strangulation and suffocation",X91,36,15759421,0.2
,Florida,12,Assault by handgun discharge,X93,28,15759421,0.2
,Florida,12,"Assault by rifle, shotgun and larger firearm discharge",X94,22,15759421,0.1
,Florida,12,Assault by other and unspecified firearm discharge,X95,495,15759421,3.1
,Florida,12,"Assault by smoke, fire and flames",X97,14,15759421,
,Florida,12,Assault by sharp object,X99,94,15759421,0.6
,Florida,12,Assault by blunt object,Y00,16,15759421,
,Florida,12,Assault by pushing or placing victim before moving object,Y02,14,15759421,
,Florida,12,Assault by bodily force,Y04,25,15759421,0.2
