Notes,State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Alabama,1,"Assault by hanging, strangulation and suffocation",X91,12,4822023,
,Alabama,1,Assault by other and unspecified firearm discharge,X95,294,4822023,6.1
,Alabama,1,Assault by sharp object,X99,39,4822023,0.8
,Alabama,1,Assault by unspecified means,Y09,42,4822023,0.9
Total,Alabama,1,,,405,4822023,8.4
,Alaska,2,Assault by other and unspecified firearm discharge,X95,17,731449,
,Alaska,2,Assault by unspecified means,Y09,10,731449,
Total,Alaska,2,,,38,731449,5.2
,Arizona,4,"Assault by hanging, strangulation and suffocation",X91,10,6553255,
,Arizona,4,"Assault by rifle, shotgun and larger firearm discharge",X94,14,6553255,
,Arizona,4,Assault by other and unspecified firearm discharge,X95,232,6553255,3.5
,Arizona,4,Assault by sharp object,X99,54,6553255,0.8
,Arizona,4,Assault by unspecified means,Y09,54,6553255,0.8
,Arizona,4,Sequelae of assault,Y87.1,10,6553255,
Total,Arizona,4,,,394,6553255,6
,Arkansas,5,"Assault by rifle, shotgun and larger firearm discharge",X94,15,2949131,
,Arkansas,5,Assault by other and unspecified firearm discharge,X95,150,2949131,5.1
,Arkansas,5,Assault by sharp object,X99,36,2949131,1.2
,Arkansas,5,Assault by unspecified means,Y09,21,2949131,0.7
Total,Arkansas,5,,,238,2949131,8.1
,California,6,"Assault by drugs, medicaments and biological substances",X85,11,38041430,
,California,6,"Assault by hanging, strangulation and suffocation",X91,58,38041430,0.2
,California,6,Assault by handgun discharge,X93,205,38041430,0.5
,California,6,"Assault by rifle, shotgun and larger firearm discharge",X94,68,38041430,0.2
,California,6,Assault by other and unspecified firearm discharge,X95,1089,38041430,2.9
,California,6,Assault by sharp object,X99,254,38041430,0.7
,California,6,Assault by crashing of motor vehicle,Y03,10,38041430,
,California,6,Assault by bodily force,Y04,12,38041430,
,California,6,Assault by other specified means,Y08,23,38041430,0.1
,California,6,Assault by unspecified means,Y09,196,38041430,0.5
,California,6,Sequelae of assault,Y87.1,47,38041430,0.1
Total,California,6,,,2010,38041430,5.3
,Colorado,8,"Assault by hanging, strangulation and suffocation",X91,15,5187582,
,Colorado,8,Assault by other and unspecified firearm discharge,X95,104,5187582,2
,Colorado,8,Assault by sharp object,X99,28,5187582,0.5
,Colorado,8,Assault by unspecified means,Y09,35,5187582,0.7
Total,Colorado,8,,,205,5187582,4
,Connecticut,9,Assault by other and unspecified firearm discharge,X95,113,3590347,3.1
,Connecticut,9,Assault by sharp object,X99,18,3590347,
,Connecticut,9,Assault by unspecified means,Y09,15,3590347,
Total,Connecticut,9,,,152,3590347,4.2
,Delaware,10,Assault by other and unspecified firearm discharge,X95,43,917092,4.7
Total,Delaware,10,,,62,917092,6.8
,District of Columbia,11,Assault by other and unspecified firearm discharge,X95,54,632323,8.5
,District of Columbia,11,Assault by sharp object,X99,12,632323,
Total,District of Columbia,11,,,82,632323,13
,Florida,12,"Assault by hanging, strangulation and suffocation",X91,45,19317568,0.2
,Florida,12,Assault by handgun discharge,X93,98,19317568,0.5
,Florida,12,"Assault by rifle, shotgun and larger firearm discharge",X94,35,19317568,0.2
,Florida,12,Assault by other and unspecified firearm discharge,X95,729,19317568,3.8
,Florida,12,Assault by sharp object,X99,104,19317568,0.5
,Florida,12,Assault by other specified means,Y08,14,19317568,
,Florida,12,Assault by unspecified means,Y09,126,19317568,0.7
,Florida,12,Sequelae of assault,Y87.1,18,19317568,
Total,Florida,12,,,1200,19317568,6.2
,Georgia,13,"Assault by hanging, strangulation and suffocation",X91,24,9919945,0.2
,Georgia,13,Assault by handgun discharge,X93,17,9919945,
,Georgia,13,"Assault by rifle, shotgun and larger firearm discharge",X94,17,9919945,
,Georgia,13,Assault by other and unspecified firearm discharge,X95,447,9919945,4.5
,Georgia,13,Assault by sharp object,X99,63,9919945,0.6
,Georgia,13,Assault by unspecified means,Y09,61,9919945,0.6
Total,Georgia,13,,,657,9919945,6.6
Total,Hawaii,15,,,22,1392313,1.6
,Idaho,16,Assault by other and unspecified firearm discharge,X95,14,1595728,
Total,Idaho,16,,,34,1595728,2.1
,Illinois,17,"Assault by drugs, medicaments and biological substances",X85,11,12875255,
,Illinois,17,"Assault by hanging, strangulation and suffocation",X91,16,12875255,
,Illinois,17,Assault by other and unspecified firearm discharge,X95,634,12875255,4.9
,Illinois,17,Assault by sharp object,X99,73,12875255,0.6
,Illinois,17,Assault by unspecified means,Y09,49,12875255,0.4
,Illinois,17,Sequelae of assault,Y87.1,13,12875255,
Total,Illinois,17,,,832,12875255,6.5
,Indiana,18,Assault by handgun discharge,X93,19,6537334,
,Indiana,18,"Assault by rifle, shotgun and larger firearm discharge",X94,10,6537334,
,Indiana,18,Assault by other and unspecified firearm discharge,X95,222,6537334,3.4
,Indiana,18,Assault by sharp object,X99,22,6537334,0.3
,Indiana,18,Assault by unspecified means,Y09,42,6537334,0.6
Total,Indiana,18,,,345,6537334,5.3
,Iowa,19,Assault by other and unspecified firearm discharge,X95,23,3074186,0.7
,Iowa,19,Assault by unspecified means,Y09,11,3074186,
Total,Iowa,19,,,63,3074186,2
,Kansas,20,Assault by other and unspecified firearm discharge,X95,60,2885905,2.1
,Kansas,20,Assault by unspecified means,Y09,16,2885905,
Total,Kansas,20,,,103,2885905,3.6
,Kentucky,21,"Assault by hanging, strangulation and suffocation",X91,13,4380415,
,Kentucky,21,"Assault by rifle, shotgun and larger firearm discharge",X94,11,4380415,
,Kentucky,21,Assault by other and unspecified firearm discharge,X95,142,4380415,3.2
,Kentucky,21,Assault by sharp object,X99,19,4380415,
,Kentucky,21,Assault by unspecified means,Y09,34,4380415,0.8
Total,Kentucky,21,,,236,4380415,5.4
,Louisiana,22,"Assault by hanging, strangulation and suffocation",X91,11,4601893,
,Louisiana,22,Assault by other and unspecified firearm discharge,X95,417,4601893,9.1
,Louisiana,22,Assault by sharp object,X99,55,4601893,1.2
,Louisiana,22,Assault by unspecified means,Y09,36,4601893,0.8
Total,Louisiana,22,,,550,4601893,12
Total,Maine,23,,,30,1329192,2.3
,Maryland,24,"Assault by hanging, strangulation and suffocation",X91,11,5884563,
,Maryland,24,Assault by other and unspecified firearm discharge,X95,288,5884563,4.9
,Maryland,24,Assault by sharp object,X99,33,5884563,0.6
,Maryland,24,Assault by unspecified means,Y09,50,5884563,0.8
