Notes,State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Alabama,1,Assault by handgun discharge,X93,34,4530729,0.8
,Alabama,1,"Assault by rifle, shotgun and larger firearm discharge",X94,21,4530729,0.5
,Alabama,1,Assault by other and unspecified firearm discharge,X95,207,4530729,4.6
,Alabama,1,Assault by sharp object,X99,42,4530729,0.9
,Alabama,1,Assault by unspecified means,Y09,37,4530729,0.8
Total,Alabama,1,,,369,4530729,8.1
,Alaska,2,Assault by other and unspecified firearm discharge,X95,18,659286,
Total,Alaska,2,,,41,659286,6.2
,Arizona,4,"Assault by hanging, strangulation and suffocation",X91,14,5652404,
,Arizona,4,"Assault by rifle, shotgun and larger firearm discharge",X94,21,5652404,0.4
,Arizona,4,Assault by other and unspecified firearm discharge,X95,317,5652404,5.6
,Arizona,4,Assault by sharp object,X99,52,5652404,0.9
,Arizona,4,Assault by other specified means,Y08,17,5652404,
,Arizona,4,Assault by unspecified means,Y09,65,5652404,1.1
Total,Arizona,4,,,509,5652404,9
,Arkansas,5,"Assault by rifle, shotgun and larger firearm discharge",X94,15,2749686,
,Arkansas,5,Assault by other and unspecified firearm discharge,X95,117,2749686,4.3
,Arkansas,5,Assault by sharp object,X99,30,2749686,1.1
,Arkansas,5,Assault by unspecified means,Y09,16,2749686,
Total,Arkansas,5,,,211,2749686,7.7
,California,6,"Assault by hanging, strangulation and suffocation",X91,76,35574576,0.2
,California,6,Assault by handgun discharge,X93,285,35574576,0.8
,California,6,"Assault by rifle, shotgun and larger firearm discharge",X94,98,35574576,0.3
,California,6,Assault by other and unspecified firearm discharge,X95,1425,35574576,4
,California,6,Assault by sharp object,X99,254,35574576,0.7
,California,6,Assault by blunt object,Y00,13,35574576,
,California,6,By unspecified person,Y07.9,22,35574576,0.1
,California,6,Assault by other specified means,Y08,30,35574576,0.1
,California,6,Assault by unspecified means,Y09,206,35574576,0.6
,California,6,Sequelae of assault,Y87.1,38,35574576,0.1
Total,California,6,,,2490,35574576,7
,Colorado,8,"Assault by hanging, strangulation and suffocation",X91,10,4575013,
,Colorado,8,Assault by handgun discharge,X93,12,4575013,
,Colorado,8,Assault by other and unspecified firearm discharge,X95,110,4575013,2.4
,Colorado,8,Assault by sharp object,X99,31,4575013,0.7
,Colorado,8,Assault by unspecified means,Y09,27,4575013,0.6
Total,Colorado,8,,,219,4575013,4.8
,Connecticut,9,Assault by other and unspecified firearm discharge,X95,62,3496094,1.8
,Connecticut,9,Assault by sharp object,X99,16,3496094,
,Connecticut,9,Assault by unspecified means,Y09,16,3496094,
Total,Connecticut,9,,,110,3496094,3.1
,Delaware,10,Assault by other and unspecified firearm discharge,X95,27,830803,3.2
Total,Delaware,10,,,35,830803,4.2
,District of Columbia,11,Assault by other and unspecified firearm discharge,X95,136,567754,24
,District of Columbia,11,Assault by sharp object,X99,20,567754,3.5
Total,District of Columbia,11,,,174,567754,30.6
,Florida,12,"Assault by hanging, strangulation and suffocation",X91,55,17415318,0.3
,Florida,12,Assault by handgun discharge,X93,29,17415318,0.2
,Florida,12,"Assault by rifle, shotgun and larger firearm discharge",X94,31,17415318,0.2
,Florida,12,Assault by other and unspecified firearm discharge,X95,587,17415318,3.4
,Florida,12,"Assault by smoke, fire and flames",X97,12,17415318,
,Florida,12,Assault by sharp object,X99,133,17415318,0.8
,Florida,12,By unspecified person,Y07.9,11,17415318,
,Florida,12,Assault by other specified means,Y08,29,17415318,0.2
,Florida,12,Assault by unspecified means,Y09,109,17415318,0.6
,Florida,12,Sequelae of assault,Y87.1,14,17415318,
Total,Florida,12,,,1032,17415318,5.9
,Georgia,13,"Assault by hanging, strangulation and suffocation",X91,32,8769252,0.4
,Georgia,13,Assault by handgun discharge,X93,31,8769252,0.4
,Georgia,13,"Assault by rifle, shotgun and larger firearm discharge",X94,23,8769252,0.3
,Georgia,13,Assault by other and unspecified firearm discharge,X95,365,8769252,4.2
,Georgia,13,Assault by sharp object,X99,78,8769252,0.9
,Georgia,13,Assault by other specified means,Y08,13,8769252,
,Georgia,13,Assault by unspecified means,Y09,76,8769252,0.9
,Georgia,13,Sequelae of assault,Y87.1,12,8769252,
Total,Georgia,13,,,659,8769252,7.5
,Hawaii,15,Assault by sharp object,X99,10,1273569,
,Hawaii,15,Assault by unspecified means,Y09,10,1273569,
Total,Hawaii,15,,,31,1273569,2.4
,Idaho,16,Assault by other and unspecified firearm discharge,X95,13,1391802,
Total,Idaho,16,,,31,1391802,2.2
,Illinois,17,"Assault by hanging, strangulation and suffocation",X91,45,12589773,0.4
,Illinois,17,Assault by handgun discharge,X93,17,12589773,
,Illinois,17,"Assault by rifle, shotgun and larger firearm discharge",X94,12,12589773,
,Illinois,17,Assault by other and unspecified firearm discharge,X95,544,12589773,4.3
,Illinois,17,Assault by sharp object,X99,100,12589773,0.8
,Illinois,17,Assault by other specified means,Y08,14,12589773,
,Illinois,17,Assault by unspecified means,Y09,90,12589773,0.7
,Illinois,17,Sequelae of assault,Y87.1,11,12589773,
Total,Illinois,17,,,871,12589773,6.9
,Indiana,18,"Assault by hanging, strangulation and suffocation",X91,13,6233007,
,Indiana,18,"Assault by rifle, shotgun and larger firearm discharge",X94,11,6233007,
,Indiana,18,Assault by other and unspecified firearm discharge,X95,205,6233007,3.3
,Indiana,18,Assault by sharp object,X99,24,6233007,0.4
,Indiana,18,Assault by blunt object,Y00,12,6233007,
,Indiana,18,Assault by unspecified means,Y09,37,6233007,0.6
Total,Indiana,18,,,332,6233007,5.3
,Iowa,19,Assault by handgun discharge,X93,16,2953635,
Total,Iowa,19,,,57,2953635,1.9
,Kansas,20,Assault by other and unspecified firearm discharge,X95,72,2734373,2.6
Total,Kansas,20,,,117,2734373,4.3
,Kentucky,21,Assault by handgun discharge,X93,13,4146101,
,Kentucky,21,"Assault by rifle, shotgun and larger firearm discharge",X94,10,4146101,
,Kentucky,21,Assault by other and unspecified firearm discharge,X95,129,4146101,3.1
,Kentucky,21,Assault by sharp object,X99,25,4146101,0.6
,Kentucky,21,Assault by unspecified means,Y09,32,4146101,0.8
Total,Kentucky,21,,,228,4146101,5.5
,Louisiana,22,"Assault by hanging, strangulation and suffocation",X91,15,4552238,
,Louisiana,22,"Assault by rifle, shotgun and larger firearm discharge",X94,14,4552238,
,Louisiana,22,Assault by other and unspecified firearm discharge,X95,459,4552238,10.1
,Louisiana,22,Assault by sharp object,X99,40,4552238,0.9
,Louisiana,22,Assault by other specified means,Y08,19,4552238,
,Louisiana,22,Assault by unspecified means,Y09,24,4552238,0.5
Total,Louisiana,22,,,602,4552238,13.2
Total,Maine,23,,,21,1313688,1.6
,Maryland,24,"Assault by hanging, strangulation and suffocation",X91,27,5546935,0.5
,Maryland,24,"Assault by rifle, shotgun and larger firearm discharge",X94,17,5546935,
,Maryland,24,Assault by other and unspecified firearm discharge,X95,368,5546935,6.6
,Maryland,24,Assault by sharp object,X99,55,5546935,1
,Maryland,24,Assault by blunt object,Y00,11,5546935,
,Maryland,24,Assault by other specified means,Y08,12,5546935,
,Maryland,24,Assault by unspecified means,Y09,30,5546935,0.5
Total,Maryland,24,,,533,5546935,9.6
,Massachusetts,25,Assault by other and unspecified firearm discharge,X95,104,6412281,1.6
,Massachusetts,25,Assault by sharp object,X99,39,6412281,0.6
Total,Massachusetts,25,,,175,6412281,2.7
,Michigan,26,"Assault by hanging, strangulation and suffocation",X91,19,10055315,
,Michigan,26,"Assault by rifle, shotgun and larger firearm discharge",X94,26,10055315,0.3
,Michigan,26,Assault by other and unspecified firearm discharge,X95,455,10055315,4.5
,Michigan,26,Assault by sharp object,X99,72,10055315,0.7
,Michigan,26,By unspecified person,Y07.9,14,10055315,
,Michigan,26,Assault by other specified means,Y08,37,10055315,0.4
,Michigan,26,Assault by unspecified means,Y09,20,10055315,0.2
Total,Michigan,26,,,673,10055315,6.7
,Minnesota,27,Assault by other and unspecified firearm discharge,X95,79,5087713,1.6
,Minnesota,27,Assault by sharp object,X99,12,5087713,
,Minnesota,27,Assault by unspecified means,Y09,20,5087713,0.4
Total,Minnesota,27,,,134,5087713,2.6
,Mississippi,28,Assault by handgun discharge,X93,68,2889010,2.4
,Mississippi,28,"Assault by rifle, shotgun and larger firearm discharge",X94,14,2889010,
,Mississippi,28,Assault by other and unspecified firearm discharge,X95,120,2889010,4.2
,Mississippi,28,Assault by sharp object,X99,28,2889010,1
,Mississippi,28,Assault by unspecified means,Y09,28,2889010,1
Total,Mississippi,28,,,283,2889010,9.8
,Missouri,29,"Assault by hanging, strangulation and suffocation",X91,15,5747741,
,Missouri,29,Assault by handgun discharge,X93,61,5747741,1.1
,Missouri,29,"Assault by rifle, shotgun and larger firearm discharge",X94,32,5747741,0.6
,Missouri,29,Assault by other and unspecified firearm discharge,X95,164,5747741,2.9
,Missouri,29,Assault by sharp object,X99,27,5747741,0.5
,Missouri,29,Assault by unspecified means,Y09,47,5747741,0.8
Total,Missouri,29,,,369,5747741,6.4
,Montana,30,Assault by other and unspecified firearm discharge,X95,10,930009,
Total,Montana,30,,,25,930009,2.7
,Nebraska,31,Assault by other and unspecified firearm discharge,X95,23,1749370,1.3
Total,Nebraska,31,,,39,1749370,2.2
,Nevada,32,Assault by other and unspecified firearm discharge,X95,112,2346222,4.8
,Nevada,32,Assault by sharp object,X99,19,2346222,
,Nevada,32,Assault by unspecified means,Y09,24,2346222,1
Total,Nevada,32,,,186,2346222,7.9
Total,New Hampshire,33,,,23,1290121,1.8
,New Jersey,34,"Assault by hanging, strangulation and suffocation",X91,16,8634561,
,New Jersey,34,Assault by other and unspecified firearm discharge,X95,243,8634561,2.8
,New Jersey,34,Assault by sharp object,X99,65,8634561,0.8
,New Jersey,34,Assault by unspecified means,Y09,48,8634561,0.6
Total,New Jersey,34,,,405,8634561,4.7
,New Mexico,35,"Assault by hanging, strangulation and suffocation",X91,11,1903808,
,New Mexico,35,Assault by handgun discharge,X93,23,1903808,1.2
,New Mexico,35,Assault by other and unspecified firearm discharge,X95,50,1903808,2.6
,New Mexico,35,Assault by sharp object,X99,26,1903808,1.4
,New Mexico,35,Assault by other specified means,Y08,23,1903808,1.2
,New Mexico,35,Assault by unspecified means,Y09,17,1903808,
Total,New Mexico,35,,,173,1903808,9.1
,New York,36,"Assault by hanging, strangulation and suffocation",X91,36,19171567,0.2
,New York,36,"Assault by rifle, shotgun and larger firearm discharge",X94,22,19171567,0.1
