Notes,State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Alabama,1,"Assault by hanging, strangulation and suffocation",X91,16,4447100,
,Alabama,1,Assault by handgun discharge,X93,29,4447100,0.7
,Alabama,1,"Assault by rifle, shotgun and larger firearm discharge",X94,28,4447100,0.6
,Alabama,1,Assault by other and unspecified firearm discharge,X95,237,4447100,5.3
,Alabama,1,Assault by sharp object,X99,51,4447100,1.1
,Alabama,1,Assault by other specified means,Y08,15,4447100,
,Alabama,1,Assault by unspecified means,Y09,42,4447100,0.9
Total,Alabama,1,,,444,4447100,10
,Alaska,2,Assault by other and unspecified firearm discharge,X95,16,626932,
Total,Alaska,2,,,37,626932,5.9
,Arizona,4,"Assault by hanging, strangulation and suffocation",X91,12,5130632,
,Arizona,4,"Assault by rifle, shotgun and larger firearm discharge",X94,16,5130632,
,Arizona,4,Assault by other and unspecified firearm discharge,X95,255,5130632,5
,Arizona,4,Assault by sharp object,X99,54,5130632,1.1
,Arizona,4,Assault by unspecified means,Y09,30,5130632,0.6
Total,Arizona,4,,,410,5130632,8
,Arkansas,5,Assault by handgun discharge,X93,28,2673400,1
,Arkansas,5,"Assault by rifle, shotgun and larger firearm discharge",X94,19,2673400,
,Arkansas,5,Assault by other and unspecified firearm discharge,X95,93,2673400,3.5
,Arkansas,5,Assault by sharp object,X99,24,2673400,0.9
,Arkansas,5,Assault by unspecified means,Y09,15,2673400,
Total,Arkansas,5,,,204,2673400,7.6
,California,6,"Assault by hanging, strangulation and suffocation",X91,64,33871648,0.2
,California,6,Assault by handgun discharge,X93,290,33871648,0.9
,California,6,"Assault by rifle, shotgun and larger firearm discharge",X94,67,33871648,0.2
,California,6,Assault by other and unspecified firearm discharge,X95,1126,33871648,3.3
,California,6,"Assault by smoke, fire and flames",X97,10,33871648,
,California,6,Assault by sharp object,X99,261,33871648,0.8
,California,6,Assault by blunt object,Y00,25,33871648,0.1
,California,6,Assault by crashing of motor vehicle,Y03,14,33871648,
,California,6,Assault by bodily force,Y04,18,33871648,
,California,6,By unspecified person,Y07.9,19,33871648,
,California,6,Assault by other specified means,Y08,24,33871648,0.1
,California,6,Assault by unspecified means,Y09,107,33871648,0.3
,California,6,Sequelae of assault,Y87.1,23,33871648,0.1
Total,California,6,,,2064,33871648,6.1
,Colorado,8,Assault by other and unspecified firearm discharge,X95,68,4301261,1.6
,Colorado,8,Assault by sharp object,X99,23,4301261,0.5
,Colorado,8,Assault by unspecified means,Y09,17,4301261,
Total,Colorado,8,,,151,4301261,3.5
,Connecticut,9,Assault by other and unspecified firearm discharge,X95,59,3405565,1.7
,Connecticut,9,Assault by sharp object,X99,18,3405565,
Total,Connecticut,9,,,95,3405565,2.8
Total,Delaware,10,,,23,783600,2.9
,District of Columbia,11,Assault by other and unspecified firearm discharge,X95,134,572059,23.4
,District of Columbia,11,Assault by sharp object,X99,11,572059,
,District of Columbia,11,Assault by unspecified means,Y09,10,572059,
Total,District of Columbia,11,,,184,572059,32.2
,Florida,12,"Assault by hanging, strangulation and suffocation",X91,39,15982378,0.2
,Florida,12,Assault by handgun discharge,X93,53,15982378,0.3
,Florida,12,"Assault by rifle, shotgun and larger firearm discharge",X94,25,15982378,0.2
,Florida,12,Assault by other and unspecified firearm discharge,X95,389,15982378,2.4
,Florida,12,Assault by sharp object,X99,105,15982378,0.7
,Florida,12,Assault by bodily force,Y04,17,15982378,
,Florida,12,By unspecified person,Y07.9,12,15982378,
,Florida,12,Assault by other specified means,Y08,50,15982378,0.3
,Florida,12,Assault by unspecified means,Y09,205,15982378,1.3
,Florida,12,Sequelae of assault,Y87.1,17,15982378,
Total,Florida,12,,,937,15982378,5.9
,Georgia,13,"Assault by hanging, strangulation and suffocation",X91,28,8186453,0.3
,Georgia,13,Assault by handgun discharge,X93,26,8186453,0.3
,Georgia,13,"Assault by rifle, shotgun and larger firearm discharge",X94,25,8186453,0.3
,Georgia,13,Assault by other and unspecified firearm discharge,X95,391,8186453,4.8
,Georgia,13,"Assault by smoke, fire and flames",X97,10,8186453,
,Georgia,13,Assault by sharp object,X99,55,8186453,0.7
,Georgia,13,Assault by other specified means,Y08,52,8186453,0.6
,Georgia,13,Assault by unspecified means,Y09,39,8186453,0.5
Total,Georgia,13,,,659,8186453,8
Total,Hawaii,15,,,35,1211537,2.9
,Idaho,16,Assault by other and unspecified firearm discharge,X95,12,1293953,
Total,Idaho,16,,,24,1293953,1.9
,Illinois,17,"Assault by hanging, strangulation and suffocation",X91,43,12419293,0.3
,Illinois,17,Assault by handgun discharge,X93,36,12419293,0.3
,Illinois,17,"Assault by rifle, shotgun and larger firearm discharge",X94,15,12419293,
,Illinois,17,Assault by other and unspecified firearm discharge,X95,623,12419293,5
,Illinois,17,"Assault by smoke, fire and flames",X97,10,12419293,
,Illinois,17,Assault by sharp object,X99,89,12419293,0.7
,Illinois,17,Assault by blunt object,Y00,13,12419293,
,Illinois,17,Assault by bodily force,Y04,12,12419293,
,Illinois,17,Assault by other specified means,Y08,42,12419293,0.3
,Illinois,17,Assault by unspecified means,Y09,71,12419293,0.6
Total,Illinois,17,,,991,12419293,8
,Indiana,18,"Assault by hanging, strangulation and suffocation",X91,16,6080485,
,Indiana,18,Assault by handgun discharge,X93,16,6080485,
,Indiana,18,"Assault by rifle, shotgun and larger firearm discharge",X94,11,6080485,
,Indiana,18,Assault by other and unspecified firearm discharge,X95,191,6080485,3.1
,Indiana,18,Assault by sharp object,X99,13,6080485,
,Indiana,18,Assault by blunt object,Y00,13,6080485,
,Indiana,18,Assault by other specified means,Y08,44,6080485,0.7
,Indiana,18,Assault by unspecified means,Y09,47,6080485,0.8
Total,Indiana,18,,,367,6080485,6
,Iowa,19,Assault by other and unspecified firearm discharge,X95,13,2926324,
,Iowa,19,Assault by sharp object,X99,10,2926324,
Total,Iowa,19,,,58,2926324,2
,Kansas,20,Assault by other and unspecified firearm discharge,X95,85,2688418,3.2
,Kansas,20,Assault by unspecified means,Y09,12,2688418,
Total,Kansas,20,,,141,2688418,5.2
,Kentucky,21,"Assault by hanging, strangulation and suffocation",X91,15,4041769,
,Kentucky,21,"Assault by rifle, shotgun and larger firearm discharge",X94,16,4041769,
,Kentucky,21,Assault by other and unspecified firearm discharge,X95,108,4041769,2.7
,Kentucky,21,Assault by sharp object,X99,12,4041769,
,Kentucky,21,Assault by unspecified means,Y09,17,4041769,
Total,Kentucky,21,,,204,4041769,5
,Louisiana,22,"Assault by hanging, strangulation and suffocation",X91,21,4468976,0.5
,Louisiana,22,"Assault by rifle, shotgun and larger firearm discharge",X94,20,4468976,0.4
,Louisiana,22,Assault by other and unspecified firearm discharge,X95,400,4468976,9
,Louisiana,22,Assault by sharp object,X99,64,4468976,1.4
,Louisiana,22,Assault by other specified means,Y08,22,4468976,0.5
,Louisiana,22,Assault by unspecified means,Y09,26,4468976,0.6
Total,Louisiana,22,,,600,4468976,13.4
Total,Maine,23,,,18,1274923,
,Maryland,24,"Assault by hanging, strangulation and suffocation",X91,18,5296486,
,Maryland,24,"Assault by rifle, shotgun and larger firearm discharge",X94,18,5296486,
,Maryland,24,Assault by other and unspecified firearm discharge,X95,334,5296486,6.3
,Maryland,24,Assault by sharp object,X99,43,5296486,0.8
,Maryland,24,Assault by blunt object,Y00,28,5296486,0.5
,Maryland,24,Assault by other specified means,Y08,27,5296486,0.5
,Maryland,24,Assault by unspecified means,Y09,13,5296486,
Total,Maryland,24,,,503,5296486,9.5
,Massachusetts,25,Assault by other and unspecified firearm discharge,X95,58,6349097,0.9
,Massachusetts,25,Assault by sharp object,X99,29,6349097,0.5
Total,Massachusetts,25,,,122,6349097,1.9
,Michigan,26,"Assault by hanging, strangulation and suffocation",X91,30,9938444,0.3
,Michigan,26,"Assault by rifle, shotgun and larger firearm discharge",X94,31,9938444,0.3
,Michigan,26,Assault by other and unspecified firearm discharge,X95,468,9938444,4.7
,Michigan,26,"Assault by smoke, fire and flames",X97,11,9938444,
,Michigan,26,Assault by sharp object,X99,53,9938444,0.5
,Michigan,26,By unspecified person,Y07.9,16,9938444,
,Michigan,26,Assault by other specified means,Y08,33,9938444,0.3
,Michigan,26,Assault by unspecified means,Y09,44,9938444,0.4
Total,Michigan,26,,,722,9938444,7.3
,Minnesota,27,Assault by other and unspecified firearm discharge,X95,69,4919479,1.4
,Minnesota,27,Assault by sharp object,X99,11,4919479,
,Minnesota,27,Assault by other specified means,Y08,13,4919479,
,Minnesota,27,Assault by unspecified means,Y09,23,4919479,0.5
Total,Minnesota,27,,,139,4919479,2.8
,Mississippi,28,Assault by handgun discharge,X93,59,2844658,2.1
,Mississippi,28,"Assault by rifle, shotgun and larger firearm discharge",X94,18,2844658,
,Mississippi,28,Assault by other and unspecified firearm discharge,X95,137,2844658,4.8
,Mississippi,28,Assault by sharp object,X99,35,2844658,1.2
,Mississippi,28,Assault by blunt object,Y00,12,2844658,
,Mississippi,28,Assault by unspecified means,Y09,12,2844658,
Total,Mississippi,28,,,312,2844658,11
,Missouri,29,"Assault by hanging, strangulation and suffocation",X91,10,5595211,
,Missouri,29,Assault by handgun discharge,X93,59,5595211,1.1
,Missouri,29,"Assault by rifle, shotgun and larger firearm discharge",X94,32,5595211,0.6
,Missouri,29,Assault by other and unspecified firearm discharge,X95,182,5595211,3.3
