Notes,State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Alabama,1,Assault by handgun discharge,X93,14,4779736,
,Alabama,1,"Assault by rifle, shotgun and larger firearm discharge",X94,14,4779736,
,Alabama,1,Assault by other and unspecified firearm discharge,X95,255,4779736,5.3
,Alabama,1,Assault by sharp object,X99,46,4779736,1
,Alabama,1,Assault by unspecified means,Y09,45,4779736,0.9
Total,Alabama,1,,,391,4779736,8.2
,Alaska,2,Assault by other and unspecified firearm discharge,X95,28,710231,3.9
Total,Alaska,2,,,44,710231,6.2
,Arizona,4,"Assault by hanging, strangulation and suffocation",X91,13,6392017,
,Arizona,4,"Assault by rifle, shotgun and larger firearm discharge",X94,19,6392017,
,Arizona,4,Assault by other and unspecified firearm discharge,X95,249,6392017,3.9
,Arizona,4,Assault by sharp object,X99,48,6392017,0.8
,Arizona,4,Assault by unspecified means,Y09,57,6392017,0.9
Total,Arizona,4,,,418,6392017,6.5
,Arkansas,5,"Assault by hanging, strangulation and suffocation",X91,11,2915918,
,Arkansas,5,"Assault by rifle, shotgun and larger firearm discharge",X94,10,2915918,
,Arkansas,5,Assault by other and unspecified firearm discharge,X95,121,2915918,4.1
,Arkansas,5,Assault by sharp object,X99,19,2915918,
,Arkansas,5,Assault by unspecified means,Y09,13,2915918,
Total,Arkansas,5,,,188,2915918,6.4
,California,6,"Assault by hanging, strangulation and suffocation",X91,66,37253956,0.2
,California,6,Assault by handgun discharge,X93,261,37253956,0.7
,California,6,"Assault by rifle, shotgun and larger firearm discharge",X94,70,37253956,0.2
,California,6,Assault by other and unspecified firearm discharge,X95,1011,37253956,2.7
,California,6,Assault by sharp object,X99,239,37253956,0.6
,California,6,By unspecified person,Y07.9,18,37253956,
,California,6,Assault by other specified means,Y08,20,37253956,0.1
,California,6,Assault by unspecified means,Y09,179,37253956,0.5
,California,6,Sequelae of assault,Y87.1,49,37253956,0.1
Total,California,6,,,1954,37253956,5.2
,Colorado,8,"Assault by hanging, strangulation and suffocation",X91,12,5029196,
,Colorado,8,Assault by handgun discharge,X93,16,5029196,
,Colorado,8,"Assault by rifle, shotgun and larger firearm discharge",X94,11,5029196,
,Colorado,8,Assault by other and unspecified firearm discharge,X95,70,5029196,1.4
,Colorado,8,Assault by sharp object,X99,23,5029196,0.5
,Colorado,8,Assault by unspecified means,Y09,25,5029196,0.5
Total,Colorado,8,,,172,5029196,3.4
,Connecticut,9,Assault by other and unspecified firearm discharge,X95,97,3574097,2.7
,Connecticut,9,Assault by sharp object,X99,18,3574097,
,Connecticut,9,Assault by unspecified means,Y09,18,3574097,
Total,Connecticut,9,,,144,3574097,4
,Delaware,10,Assault by other and unspecified firearm discharge,X95,42,897934,4.7
Total,Delaware,10,,,61,897934,6.8
,District of Columbia,11,Assault by other and unspecified firearm discharge,X95,82,601723,13.6
,District of Columbia,11,Assault by sharp object,X99,14,601723,
Total,District of Columbia,11,,,119,601723,19.8
,Florida,12,"Assault by hanging, strangulation and suffocation",X91,29,18801310,0.2
