Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Calhoun County, AL",1015,Assault by other and unspecified firearm discharge,X95,13,117797,
,"Jefferson County, AL",1073,Assault by other and unspecified firearm discharge,X95,59,658931,9
,"Jefferson County, AL",1073,Assault by sharp object,X99,12,658931,
,"Mobile County, AL",1097,Assault by other and unspecified firearm discharge,X95,49,412577,11.9
,"Montgomery County, AL",1101,Assault by other and unspecified firearm discharge,X95,29,232032,12.5
,"Maricopa County, AZ",4013,"Assault by hanging, strangulation and suffocation",X91,10,3880244,
,"Maricopa County, AZ",4013,Assault by other and unspecified firearm discharge,X95,140,3880244,3.6
,"Maricopa County, AZ",4013,Assault by sharp object,X99,16,3880244,
,"Maricopa County, AZ",4013,Assault by unspecified means,Y09,32,3880244,0.8
,"Pima County, AZ",4019,Assault by other and unspecified firearm discharge,X95,53,989569,5.4
,"Pinal County, AZ",4021,Assault by other and unspecified firearm discharge,X95,14,382992,
,"Jefferson County, AR",5069,Assault by other and unspecified firearm discharge,X95,18,76246,
,"Phillips County, AR",5107,Assault by other and unspecified firearm discharge,X95,12,21442,
,"Pulaski County, AR",5119,Assault by other and unspecified firearm discharge,X95,40,386299,10.4
,"Alameda County, CA",6001,Assault by handgun discharge,X93,35,1529875,2.3
,"Alameda County, CA",6001,Assault by other and unspecified firearm discharge,X95,68,1529875,4.4
,"Alameda County, CA",6001,Assault by sharp object,X99,11,1529875,
,"Contra Costa County, CA",6013,Assault by other and unspecified firearm discharge,X95,50,1066096,4.7
,"Fresno County, CA",6019,Assault by other and unspecified firearm discharge,X95,37,942904,3.9
,"Fresno County, CA",6019,Assault by sharp object,X99,13,942904,
,"Kern County, CA",6029,Assault by other and unspecified firearm discharge,X95,30,851710,3.5
,"Los Angeles County, CA",6037,"Assault by hanging, strangulation and suffocation",X91,21,9889056,0.2
,"Los Angeles County, CA",6037,Assault by handgun discharge,X93,61,9889056,0.6
,"Los Angeles County, CA",6037,"Assault by rifle, shotgun and larger firearm discharge",X94,16,9889056,
,"Los Angeles County, CA",6037,Assault by other and unspecified firearm discharge,X95,358,9889056,3.6
,"Los Angeles County, CA",6037,Assault by sharp object,X99,59,9889056,0.6
,"Los Angeles County, CA",6037,By unspecified person,Y07.9,12,9889056,
,"Los Angeles County, CA",6037,Assault by unspecified means,Y09,42,9889056,0.4
,"Los Angeles County, CA",6037,Sequelae of assault,Y87.1,17,9889056,
,"Monterey County, CA",6053,Assault by handgun discharge,X93,19,421898,
,"Orange County, CA",6059,Assault by handgun discharge,X93,22,3055745,0.7
,"Orange County, CA",6059,Assault by other and unspecified firearm discharge,X95,20,3055745,0.7
,"Orange County, CA",6059,Assault by sharp object,X99,18,3055745,
,"Riverside County, CA",6065,Assault by other and unspecified firearm discharge,X95,40,2239620,1.8
,"Riverside County, CA",6065,Assault by unspecified means,Y09,15,2239620,
,"Sacramento County, CA",6067,Assault by other and unspecified firearm discharge,X95,44,1436105,3.1
,"Sacramento County, CA",6067,Assault by sharp object,X99,11,1436105,
,"Sacramento County, CA",6067,Assault by unspecified means,Y09,12,1436105,
,"San Bernardino County, CA",6071,Assault by handgun discharge,X93,11,2065377,
,"San Bernardino County, CA",6071,Assault by other and unspecified firearm discharge,X95,59,2065377,2.9
,"San Bernardino County, CA",6071,Assault by sharp object,X99,12,2065377,
,"San Bernardino County, CA",6071,Assault by unspecified means,Y09,14,2065377,
,"San Diego County, CA",6073,Assault by other and unspecified firearm discharge,X95,44,3140069,1.4
,"San Diego County, CA",6073,Assault by sharp object,X99,14,3140069,
,"San Diego County, CA",6073,Assault by unspecified means,Y09,16,3140069,
,"San Francisco County, CA",6075,Assault by other and unspecified firearm discharge,X95,36,812826,4.4
,"San Joaquin County, CA",6077,Assault by other and unspecified firearm discharge,X95,59,696214,8.5
,"San Mateo County, CA",6081,Assault by other and unspecified firearm discharge,X95,14,727209,
,"Santa Clara County, CA",6085,Assault by handgun discharge,X93,18,1809378,
,"Santa Clara County, CA",6085,Assault by other and unspecified firearm discharge,X95,12,1809378,
,"Santa Clara County, CA",6085,Assault by sharp object,X99,12,1809378,
,"Solano County, CA",6095,Assault by other and unspecified firearm discharge,X95,24,416471,5.8
,"Stanislaus County, CA",6099,Assault by other and unspecified firearm discharge,X95,17,518522,
,"Tulare County, CA",6107,Assault by other and unspecified firearm discharge,X95,25,449253,5.6
,"Arapahoe County, CO",8005,Assault by other and unspecified firearm discharge,X95,10,584948,
,"Denver County, CO",8031,Assault by other and unspecified firearm discharge,X95,19,619968,
,"El Paso County, CO",8041,Assault by other and unspecified firearm discharge,X95,16,636963,
,"El Paso County, CO",8041,Assault by unspecified means,Y09,11,636963,
,"Fairfield County, CT",9001,Assault by other and unspecified firearm discharge,X95,18,925899,
,"Hartford County, CT",9003,Assault by other and unspecified firearm discharge,X95,31,894705,3.5
,"New Haven County, CT",9009,Assault by other and unspecified firearm discharge,X95,36,861113,4.2
,"New Castle County, DE",10003,Assault by other and unspecified firearm discharge,X95,26,541971,4.8
,"District of Columbia, DC",11001,Assault by other and unspecified firearm discharge,X95,76,617996,12.3
,"District of Columbia, DC",11001,Assault by sharp object,X99,18,617996,
,"Brevard County, FL",12009,Assault by other and unspecified firearm discharge,X95,12,543566,
,"Broward County, FL",12011,Assault by other and unspecified firearm discharge,X95,55,1780172,3.1
,"Broward County, FL",12011,Assault by sharp object,X99,11,1780172,
,"Duval County, FL",12031,Assault by other and unspecified firearm discharge,X95,65,870709,7.5
,"Escambia County, FL",12033,Assault by other and unspecified firearm discharge,X95,13,299114,
,"Hillsborough County, FL",12057,Assault by handgun discharge,X93,27,1267775,2.1
,"Hillsborough County, FL",12057,Assault by other and unspecified firearm discharge,X95,12,1267775,
,"Hillsborough County, FL",12057,Assault by sharp object,X99,13,1267775,
,"Lee County, FL",12071,Assault by handgun discharge,X93,10,631330,
,"Lee County, FL",12071,Assault by other and unspecified firearm discharge,X95,22,631330,3.5
