Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Jefferson County, AL",1073,Assault by other and unspecified firearm discharge,X95,89,657513,13.5
,"Jefferson County, AL",1073,Assault by sharp object,X99,11,657513,
,"Madison County, AL",1089,Assault by other and unspecified firearm discharge,X95,14,291342,
,"Mobile County, AL",1097,Assault by handgun discharge,X93,17,398082,
,"Mobile County, AL",1097,Assault by other and unspecified firearm discharge,X95,10,398082,
,"Montgomery County, AL",1101,Assault by other and unspecified firearm discharge,X95,17,222680,
,"Anchorage Borough, AK",2020,Assault by other and unspecified firearm discharge,X95,10,270568,
,"Maricopa County, AZ",4013,"Assault by rifle, shotgun and larger firearm discharge",X94,11,3328468,
,"Maricopa County, AZ",4013,Assault by other and unspecified firearm discharge,X95,223,3328468,6.7
,"Maricopa County, AZ",4013,Assault by sharp object,X99,24,3328468,0.7
,"Maricopa County, AZ",4013,Assault by unspecified means,Y09,50,3328468,1.5
,"Pima County, AZ",4019,Assault by other and unspecified firearm discharge,X95,47,885893,5.3
,"Jefferson County, AR",5069,Assault by other and unspecified firearm discharge,X95,11,82193,
,"Pulaski County, AR",5119,Assault by handgun discharge,X93,12,365258,
,"Pulaski County, AR",5119,Assault by other and unspecified firearm discharge,X95,31,365258,8.5
,"Alameda County, CA",6001,Assault by handgun discharge,X93,69,1454163,4.7
,"Alameda County, CA",6001,Assault by other and unspecified firearm discharge,X95,27,1454163,1.9
,"Alameda County, CA",6001,Assault by sharp object,X99,10,1454163,
,"Contra Costa County, CA",6013,Assault by handgun discharge,X93,20,987531,2
,"Contra Costa County, CA",6013,Assault by other and unspecified firearm discharge,X95,45,987531,4.6
,"Fresno County, CA",6019,Assault by other and unspecified firearm discharge,X95,38,847193,4.5
,"Kern County, CA",6029,Assault by other and unspecified firearm discharge,X95,21,714272,2.9
,"Kern County, CA",6029,Assault by sharp object,X99,10,714272,
,"Los Angeles County, CA",6037,"Assault by hanging, strangulation and suffocation",X91,26,9767145,0.3
,"Los Angeles County, CA",6037,Assault by handgun discharge,X93,85,9767145,0.9
,"Los Angeles County, CA",6037,"Assault by rifle, shotgun and larger firearm discharge",X94,19,9767145,
,"Los Angeles County, CA",6037,Assault by other and unspecified firearm discharge,X95,757,9767145,7.8
,"Los Angeles County, CA",6037,Assault by sharp object,X99,71,9767145,0.7
,"Los Angeles County, CA",6037,By unspecified person,Y07.9,12,9767145,
,"Los Angeles County, CA",6037,Assault by unspecified means,Y09,58,9767145,0.6
,"Los Angeles County, CA",6037,Sequelae of assault,Y87.1,18,9767145,
,"Monterey County, CA",6053,Assault by handgun discharge,X93,12,409725,
,"Orange County, CA",6059,Assault by handgun discharge,X93,23,2929376,0.8
,"Orange County, CA",6059,Assault by other and unspecified firearm discharge,X95,20,2929376,0.7
,"Orange County, CA",6059,Assault by sharp object,X99,13,2929376,
,"Riverside County, CA",6065,Assault by handgun discharge,X93,20,1771656,1.1
,"Riverside County, CA",6065,Assault by other and unspecified firearm discharge,X95,46,1771656,2.6
,"Riverside County, CA",6065,Assault by sharp object,X99,12,1771656,
,"Sacramento County, CA",6067,Assault by handgun discharge,X93,20,1328531,1.5
,"Sacramento County, CA",6067,Assault by other and unspecified firearm discharge,X95,35,1328531,2.6
,"Sacramento County, CA",6067,Assault by sharp object,X99,15,1328531,
,"Sacramento County, CA",6067,Assault by unspecified means,Y09,11,1328531,
,"San Bernardino County, CA",6071,Assault by other and unspecified firearm discharge,X95,112,1846115,6.1
,"San Bernardino County, CA",6071,Assault by sharp object,X99,14,1846115,
,"San Bernardino County, CA",6071,Assault by unspecified means,Y09,13,1846115,
,"San Diego County, CA",6073,Assault by other and unspecified firearm discharge,X95,80,2914702,2.7
,"San Diego County, CA",6073,Assault by sharp object,X99,17,2914702,
,"San Diego County, CA",6073,Assault by unspecified means,Y09,22,2914702,0.8
,"San Francisco County, CA",6075,Assault by other and unspecified firearm discharge,X95,35,766160,4.6
,"San Joaquin County, CA",6077,Assault by other and unspecified firearm discharge,X95,33,626778,5.3
,"San Joaquin County, CA",6077,Assault by unspecified means,Y09,10,626778,
,"San Mateo County, CA",6081,Assault by other and unspecified firearm discharge,X95,21,693057,3
,"Santa Clara County, CA",6085,Assault by other and unspecified firearm discharge,X95,17,1663592,
,"Santa Clara County, CA",6085,Assault by sharp object,X99,13,1663592,
,"Sonoma County, CA",6097,Assault by unspecified means,Y09,10,466489,
,"Stanislaus County, CA",6099,Assault by other and unspecified firearm discharge,X95,13,487357,
,"Tulare County, CA",6107,Assault by other and unspecified firearm discharge,X95,18,388743,
,"Ventura County, CA",6111,Assault by handgun discharge,X93,18,788070,
,"Ventura County, CA",6111,Assault by other and unspecified firearm discharge,X95,13,788070,
,"Adams County, CO",8001,Assault by other and unspecified firearm discharge,X95,15,377464,
,"Arapahoe County, CO",8005,Assault by other and unspecified firearm discharge,X95,17,513690,
,"Denver County, CO",8031,Assault by other and unspecified firearm discharge,X95,36,552588,6.5
,"Denver County, CO",8031,Assault by sharp object,X99,11,552588,
,"El Paso County, CO",8041,Assault by other and unspecified firearm discharge,X95,15,547549,
,"Fairfield County, CT",9001,Assault by other and unspecified firearm discharge,X95,16,896342,
,"Hartford County, CT",9003,Assault by other and unspecified firearm discharge,X95,29,873335,3.3
,"New Castle County, DE",10003,Assault by other and unspecified firearm discharge,X95,13,514769,
,"District of Columbia, DC",11001,Assault by other and unspecified firearm discharge,X95,152,568502,26.7
,"District of Columbia, DC",11001,Assault by sharp object,X99,22,568502,3.9
,"Brevard County, FL",12009,Assault by other and unspecified firearm discharge,X95,16,504847,
,"Broward County, FL",12011,Assault by other and unspecified firearm discharge,X95,54,1707543,3.2
,"Broward County, FL",12011,Assault by sharp object,X99,16,1707543,
,"Duval County, FL",12031,Assault by other and unspecified firearm discharge,X95,78,809633,9.6
,"Hillsborough County, FL",12057,Assault by other and unspecified firearm discharge,X95,30,1077462,2.8
,"Hillsborough County, FL",12057,Assault by sharp object,X99,10,1077462,
,"Lee County, FL",12071,Assault by other and unspecified firearm discharge,X95,11,497662,
,"Miami-Dade County, FL",12086,Assault by other and unspecified firearm discharge,X95,150,2336070,6.4
,"Miami-Dade County, FL",12086,Assault by sharp object,X99,20,2336070,0.9
,"Miami-Dade County, FL",12086,Assault by unspecified means,Y09,23,2336070,1
,"Orange County, FL",12095,Assault by other and unspecified firearm discharge,X95,47,979227,4.8
,"Palm Beach County, FL",12099,Assault by other and unspecified firearm discharge,X95,45,1218100,3.7
,"Pasco County, FL",12101,Assault by other and unspecified firearm discharge,X95,10,383238,
,"Pinellas County, FL",12103,Assault by other and unspecified firearm discharge,X95,31,926266,3.3
,"Polk County, FL",12105,Assault by other and unspecified firearm discharge,X95,14,513058,
,"St. Lucie County, FL",12111,Assault by other and unspecified firearm discharge,X95,12,214924,
,"Volusia County, FL",12127,Assault by other and unspecified firearm discharge,X95,11,466074,
,"Bibb County, GA",13021,Assault by other and unspecified firearm discharge,X95,12,153697,
,"Chatham County, GA",13051,Assault by other and unspecified firearm discharge,X95,27,237348,11.4
,"Clayton County, GA",13063,Assault by other and unspecified firearm discharge,X95,23,252631,9.1
,"Cobb County, GA",13067,Assault by other and unspecified firearm discharge,X95,19,634638,
,"Cobb County, GA",13067,Sequelae of assault,Y87.1,15,634638,
,"DeKalb County, GA",13089,Assault by other and unspecified firearm discharge,X95,62,668148,9.3
,"Fulton County, GA",13121,Assault by other and unspecified firearm discharge,X95,84,812568,10.3
,"Fulton County, GA",13121,Assault by sharp object,X99,19,812568,
,"Fulton County, GA",13121,Assault by unspecified means,Y09,10,812568,
,"Gwinnett County, GA",13135,Assault by other and unspecified firearm discharge,X95,28,663391,4.2
,"Richmond County, GA",13245,Assault by other and unspecified firearm discharge,X95,19,196958,
,"Cook County, IL",17031,"Assault by hanging, strangulation and suffocation",X91,27,5294739,0.5
,"Cook County, IL",17031,Assault by handgun discharge,X93,11,5294739,
,"Cook County, IL",17031,"Assault by rifle, shotgun and larger firearm discharge",X94,10,5294739,
,"Cook County, IL",17031,Assault by other and unspecified firearm discharge,X95,568,5294739,10.7
,"Cook County, IL",17031,"Assault by smoke, fire and flames",X97,11,5294739,
,"Cook County, IL",17031,Assault by sharp object,X99,70,5294739,1.3
,"Cook County, IL",17031,Assault by other specified means,Y08,17,5294739,
,"Cook County, IL",17031,Assault by unspecified means,Y09,41,5294739,0.8
,"Cook County, IL",17031,Sequelae of assault,Y87.1,11,5294739,
,"St. Clair County, IL",17163,Assault by other and unspecified firearm discharge,X95,10,258448,
