Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Jefferson County, AL",1073,Assault by handgun discharge,X93,11,660197,
,"Jefferson County, AL",1073,Assault by other and unspecified firearm discharge,X95,62,660197,9.4
,"Madison County, AL",1089,Assault by other and unspecified firearm discharge,X95,13,281517,
,"Mobile County, AL",1097,Assault by handgun discharge,X93,11,400129,
,"Mobile County, AL",1097,"Assault by rifle, shotgun and larger firearm discharge",X94,11,400129,
,"Mobile County, AL",1097,Assault by other and unspecified firearm discharge,X95,31,400129,7.7
,"Montgomery County, AL",1101,Assault by other and unspecified firearm discharge,X95,19,223048,
,"Maricopa County, AZ",4013,"Assault by hanging, strangulation and suffocation",X91,10,3175989,
,"Maricopa County, AZ",4013,Assault by other and unspecified firearm discharge,X95,251,3175989,7.9
,"Maricopa County, AZ",4013,Assault by sharp object,X99,35,3175989,1.1
,"Maricopa County, AZ",4013,Assault by unspecified means,Y09,20,3175989,0.6
,"Pima County, AZ",4019,Assault by other and unspecified firearm discharge,X95,31,859280,3.6
,"Pima County, AZ",4019,Assault by sharp object,X99,12,859280,
,"Pinal County, AZ",4021,Assault by other and unspecified firearm discharge,X95,10,187747,
,"Pulaski County, AR",5119,Assault by other and unspecified firearm discharge,X95,28,362866,7.7
,"Alameda County, CA",6001,Assault by handgun discharge,X93,53,1469484,3.6
,"Alameda County, CA",6001,Assault by other and unspecified firearm discharge,X95,24,1469484,1.6
,"Contra Costa County, CA",6013,Assault by handgun discharge,X93,11,970952,
,"Contra Costa County, CA",6013,Assault by other and unspecified firearm discharge,X95,28,970952,2.9
,"Fresno County, CA",6019,Assault by other and unspecified firearm discharge,X95,37,813021,4.6
,"Fresno County, CA",6019,Assault by sharp object,X99,14,813021,
,"Kern County, CA",6029,Assault by other and unspecified firearm discharge,X95,23,676574,3.4
,"Los Angeles County, CA",6037,Terrorism involving destruction of aircraft,U01.1,23,9626034,0.2
,"Los Angeles County, CA",6037,"Assault by hanging, strangulation and suffocation",X91,19,9626034,
,"Los Angeles County, CA",6037,Assault by handgun discharge,X93,119,9626034,1.2
,"Los Angeles County, CA",6037,"Assault by rifle, shotgun and larger firearm discharge",X94,18,9626034,
,"Los Angeles County, CA",6037,Assault by other and unspecified firearm discharge,X95,728,9626034,7.6
,"Los Angeles County, CA",6037,Assault by sharp object,X99,93,9626034,1
,"Los Angeles County, CA",6037,Assault by other specified means,Y08,11,9626034,
,"Los Angeles County, CA",6037,Assault by unspecified means,Y09,29,9626034,0.3
,"Los Angeles County, CA",6037,Sequelae of assault,Y87.1,16,9626034,
,"Monterey County, CA",6053,Assault by other and unspecified firearm discharge,X95,15,407082,
,"Orange County, CA",6059,Assault by handgun discharge,X93,21,2885457,0.7
,"Orange County, CA",6059,Assault by other and unspecified firearm discharge,X95,22,2885457,0.8
,"Riverside County, CA",6065,Assault by handgun discharge,X93,21,1616634,1.3
,"Riverside County, CA",6065,Assault by other and unspecified firearm discharge,X95,30,1616634,1.9
,"Riverside County, CA",6065,Assault by sharp object,X99,15,1616634,
,"Riverside County, CA",6065,Assault by unspecified means,Y09,12,1616634,
,"Sacramento County, CA",6067,Assault by handgun discharge,X93,13,1266257,
,"Sacramento County, CA",6067,Assault by other and unspecified firearm discharge,X95,24,1266257,1.9
,"Sacramento County, CA",6067,Assault by sharp object,X99,11,1266257,
