Notes,State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Alabama,1,"Assault by hanging, strangulation and suffocation",X91,15,4874747,
,Alabama,1,Assault by handgun discharge,X93,77,4874747,1.6
,Alabama,1,"Assault by rifle, shotgun and larger firearm discharge",X94,19,4874747,
,Alabama,1,Assault by other and unspecified firearm discharge,X95,410,4874747,8.4
,Alabama,1,Assault by sharp object,X99,28,4874747,0.6
,Alabama,1,Assault by other specified means,Y08,10,4874747,
,Alabama,1,Assault by unspecified means,Y09,30,4874747,0.6
Total,Alabama,1,,,602,4874747,12.3
,Alaska,2,Assault by other and unspecified firearm discharge,X95,44,739795,5.9
,Alaska,2,Assault by sharp object,X99,15,739795,
Total,Alaska,2,,,78,739795,10.5
,Arizona,4,"Assault by hanging, strangulation and suffocation",X91,16,7016270,
,Arizona,4,"Assault by rifle, shotgun and larger firearm discharge",X94,15,7016270,
,Arizona,4,Assault by other and unspecified firearm discharge,X95,288,7016270,4.1
,Arizona,4,Assault by sharp object,X99,49,7016270,0.7
,Arizona,4,Assault by unspecified means,Y09,49,7016270,0.7
Total,Arizona,4,,,441,7016270,6.3
,Arkansas,5,"Assault by hanging, strangulation and suffocation",X91,10,3004279,
,Arkansas,5,"Assault by rifle, shotgun and larger firearm discharge",X94,15,3004279,
,Arkansas,5,Assault by other and unspecified firearm discharge,X95,176,3004279,5.9
,Arkansas,5,Assault by sharp object,X99,27,3004279,0.9
,Arkansas,5,Assault by unspecified means,Y09,23,3004279,0.8
Total,Arkansas,5,,,278,3004279,9.3
,California,6,"Assault by hanging, strangulation and suffocation",X91,55,39536653,0.1
,California,6,Assault by handgun discharge,X93,246,39536653,0.6
,California,6,"Assault by rifle, shotgun and larger firearm discharge",X94,51,39536653,0.1
,California,6,Assault by other and unspecified firearm discharge,X95,1138,39536653,2.9
,California,6,Assault by sharp object,X99,248,39536653,0.6
,California,6,Assault by blunt object,Y00,16,39536653,
,California,6,Assault by bodily force,Y04,23,39536653,0.1
,California,6,By unspecified person,Y07.9,13,39536653,
,California,6,Assault by other specified means,Y08,18,39536653,
,California,6,Assault by unspecified means,Y09,148,39536653,0.4
,California,6,Sequelae of assault,Y87.1,41,39536653,0.1
Total,California,6,,,2022,39536653,5.1
,Colorado,8,"Assault by hanging, strangulation and suffocation",X91,13,5607154,
,Colorado,8,Assault by other and unspecified firearm discharge,X95,151,5607154,2.7
,Colorado,8,Assault by sharp object,X99,32,5607154,0.6
,Colorado,8,Assault by other specified means,Y08,11,5607154,
,Colorado,8,Assault by unspecified means,Y09,31,5607154,0.6
Total,Colorado,8,,,261,5607154,4.7
,Connecticut,9,Assault by other and unspecified firearm discharge,X95,71,3588184,2
,Connecticut,9,Assault by sharp object,X99,10,3588184,
,Connecticut,9,Assault by unspecified means,Y09,13,3588184,
Total,Connecticut,9,,,109,3588184,3
,Delaware,10,Assault by other and unspecified firearm discharge,X95,56,961939,5.8
Total,Delaware,10,,,63,961939,6.5
,District of Columbia,11,Assault by other and unspecified firearm discharge,X95,83,693972,12
,District of Columbia,11,Assault by sharp object,X99,14,693972,
Total,District of Columbia,11,,,117,693972,16.9
,Florida,12,"Assault by hanging, strangulation and suffocation",X91,35,20984400,0.2
,Florida,12,Assault by handgun discharge,X93,129,20984400,0.6
,Florida,12,"Assault by rifle, shotgun and larger firearm discharge",X94,32,20984400,0.2
,Florida,12,Assault by other and unspecified firearm discharge,X95,786,20984400,3.7
,Florida,12,Assault by sharp object,X99,106,20984400,0.5
,Florida,12,Assault by other specified means,Y08,34,20984400,0.2
,Florida,12,Assault by unspecified means,Y09,94,20984400,0.4
,Florida,12,Sequelae of assault,Y87.1,21,20984400,0.1
Total,Florida,12,,,1269,20984400,6
,Georgia,13,"Assault by hanging, strangulation and suffocation",X91,12,10429379,
,Georgia,13,Assault by handgun discharge,X93,10,10429379,
,Georgia,13,Assault by other and unspecified firearm discharge,X95,649,10429379,6.2
,Georgia,13,Assault by sharp object,X99,54,10429379,0.5
,Georgia,13,Assault by unspecified means,Y09,52,10429379,0.5
Total,Georgia,13,,,810,10429379,7.8
Total,Hawaii,15,,,35,1427538,2.5
,Idaho,16,Assault by handgun discharge,X93,10,1716943,
,Idaho,16,Assault by other and unspecified firearm discharge,X95,10,1716943,
Total,Idaho,16,,,50,1716943,2.9
,Illinois,17,"Assault by drugs, medicaments and biological substances",X85,21,12802023,0.2
,Illinois,17,"Assault by hanging, strangulation and suffocation",X91,21,12802023,0.2
,Illinois,17,Assault by other and unspecified firearm discharge,X95,922,12802023,7.2
,Illinois,17,Assault by sharp object,X99,56,12802023,0.4
,Illinois,17,By unspecified person,Y07.9,10,12802023,
,Illinois,17,Assault by unspecified means,Y09,45,12802023,0.4
,Illinois,17,Sequelae of assault,Y87.1,15,12802023,
Total,Illinois,17,,,1120,12802023,8.7
,Indiana,18,"Assault by hanging, strangulation and suffocation",X91,15,6666818,
,Indiana,18,Assault by handgun discharge,X93,20,6666818,0.3
,Indiana,18,"Assault by rifle, shotgun and larger firearm discharge",X94,10,6666818,
,Indiana,18,Assault by other and unspecified firearm discharge,X95,341,6666818,5.1
,Indiana,18,Assault by sharp object,X99,25,6666818,0.4
,Indiana,18,Assault by unspecified means,Y09,25,6666818,0.4
Total,Indiana,18,,,456,6666818,6.8
,Iowa,19,Assault by other and unspecified firearm discharge,X95,52,3145711,1.7
,Iowa,19,Assault by sharp object,X99,14,3145711,
Total,Iowa,19,,,104,3145711,3.3
,Kansas,20,Assault by other and unspecified firearm discharge,X95,123,2913123,4.2
,Kansas,20,Assault by sharp object,X99,17,2913123,
,Kansas,20,Assault by unspecified means,Y09,14,2913123,
Total,Kansas,20,,,185,2913123,6.4
,Kentucky,21,"Assault by hanging, strangulation and suffocation",X91,13,4454189,
,Kentucky,21,Assault by other and unspecified firearm discharge,X95,219,4454189,4.9
,Kentucky,21,Assault by sharp object,X99,27,4454189,0.6
,Kentucky,21,Assault by unspecified means,Y09,25,4454189,0.6
Total,Kentucky,21,,,310,4454189,7
,Louisiana,22,"Assault by hanging, strangulation and suffocation",X91,15,4684333,
,Louisiana,22,"Assault by rifle, shotgun and larger firearm discharge",X94,13,4684333,
,Louisiana,22,Assault by other and unspecified firearm discharge,X95,512,4684333,10.9
,Louisiana,22,Assault by sharp object,X99,40,4684333,0.9
,Louisiana,22,Assault by unspecified means,Y09,31,4684333,0.7
Total,Louisiana,22,,,653,4684333,13.9
Total,Maine,23,,,19,1335907,
,Maryland,24,"Assault by hanging, strangulation and suffocation",X91,13,6052177,
,Maryland,24,Assault by other and unspecified firearm discharge,X95,446,6052177,7.4
,Maryland,24,Assault by sharp object,X99,42,6052177,0.7
,Maryland,24,Assault by unspecified means,Y09,56,6052177,0.9
Total,Maryland,24,,,587,6052177,9.7
,Massachusetts,25,Assault by other and unspecified firearm discharge,X95,102,6859819,1.5
,Massachusetts,25,Assault by sharp object,X99,35,6859819,0.5
,Massachusetts,25,Assault by unspecified means,Y09,23,6859819,0.3
Total,Massachusetts,25,,,171,6859819,2.5
,Michigan,26,"Assault by hanging, strangulation and suffocation",X91,15,9962311,
,Michigan,26,"Assault by rifle, shotgun and larger firearm discharge",X94,12,9962311,
,Michigan,26,Assault by other and unspecified firearm discharge,X95,422,9962311,4.2
,Michigan,26,Assault by sharp object,X99,49,9962311,0.5
,Michigan,26,Assault by unspecified means,Y09,50,9962311,0.5
Total,Michigan,26,,,588,9962311,5.9
,Minnesota,27,Assault by other and unspecified firearm discharge,X95,70,5576606,1.3
,Minnesota,27,Assault by sharp object,X99,10,5576606,
,Minnesota,27,Assault by unspecified means,Y09,21,5576606,0.4
Total,Minnesota,27,,,122,5576606,2.2
,Mississippi,28,Assault by handgun discharge,X93,27,2984100,0.9
,Mississippi,28,Assault by other and unspecified firearm discharge,X95,260,2984100,8.7
,Mississippi,28,Assault by sharp object,X99,31,2984100,1
,Mississippi,28,Assault by unspecified means,Y09,17,2984100,
Total,Mississippi,28,,,360,2984100,12.1
,Missouri,29,"Assault by rifle, shotgun and larger firearm discharge",X94,15,6113532,
,Missouri,29,Assault by other and unspecified firearm discharge,X95,541,6113532,8.8
,Missouri,29,Assault by sharp object,X99,30,6113532,0.5
,Missouri,29,Assault by unspecified means,Y09,28,6113532,0.5
Total,Missouri,29,,,655,6113532,10.7
,Montana,30,Assault by other and unspecified firearm discharge,X95,18,1050493,
,Montana,30,Assault by sharp object,X99,10,1050493,
Total,Montana,30,,,42,1050493,4
,Nebraska,31,Assault by other and unspecified firearm discharge,X95,26,1920076,1.4
Total,Nebraska,31,,,50,1920076,2.6
,Nevada,32,Assault by other and unspecified firearm discharge,X95,143,2998039,4.8
,Nevada,32,Assault by sharp object,X99,24,2998039,0.8
,Nevada,32,Assault by unspecified means,Y09,27,2998039,0.9
Total,Nevada,32,,,221,2998039,7.4
Total,New Hampshire,33,,,17,1342795,
,New Jersey,34,Assault by other and unspecified firearm discharge,X95,255,9005644,2.8
,New Jersey,34,Assault by sharp object,X99,44,9005644,0.5
,New Jersey,34,Assault by unspecified means,Y09,26,9005644,0.3
Total,New Jersey,34,,,352,9005644,3.9
,New Mexico,35,Assault by handgun discharge,X93,14,2088070,
,New Mexico,35,Assault by other and unspecified firearm discharge,X95,80,2088070,3.8
,New Mexico,35,Assault by sharp object,X99,31,2088070,1.5
,New Mexico,35,Assault by other specified means,Y08,21,2088070,1
Total,New Mexico,35,,,173,2088070,8.3
,New York,36,"Assault by hanging, strangulation and suffocation",X91,25,19849399,0.1
,New York,36,"Assault by rifle, shotgun and larger firearm discharge",X94,13,19849399,
,New York,36,Assault by other and unspecified firearm discharge,X95,297,19849399,1.5
,New York,36,Assault by sharp object,X99,116,19849399,0.6
,New York,36,Assault by other specified means,Y08,18,19849399,
,New York,36,Assault by unspecified means,Y09,54,19849399,0.3
,New York,36,Sequelae of assault,Y87.1,17,19849399,
Total,New York,36,,,577,19849399,2.9
,North Carolina,37,"Assault by hanging, strangulation and suffocation",X91,17,10273419,
,North Carolina,37,Assault by handgun discharge,X93,53,10273419,0.5
,North Carolina,37,"Assault by rifle, shotgun and larger firearm discharge",X94,41,10273419,0.4
,North Carolina,37,Assault by other and unspecified firearm discharge,X95,428,10273419,4.2
,North Carolina,37,Assault by sharp object,X99,45,10273419,0.4
,North Carolina,37,Assault by unspecified means,Y09,56,10273419,0.5
Total,North Carolina,37,,,679,10273419,6.6
Total,North Dakota,38,,,15,755393,
,Ohio,39,"Assault by drugs, medicaments and biological substances",X85,34,11658609,0.3
,Ohio,39,"Assault by hanging, strangulation and suffocation",X91,18,11658609,
,Ohio,39,Assault by handgun discharge,X93,15,11658609,
,Ohio,39,"Assault by rifle, shotgun and larger firearm discharge",X94,17,11658609,
,Ohio,39,Assault by other and unspecified firearm discharge,X95,589,11658609,5.1
,Ohio,39,"Assault by smoke, fire and flames",X97,10,11658609,
,Ohio,39,Assault by sharp object,X99,43,11658609,0.4
,Ohio,39,Assault by unspecified means,Y09,64,11658609,0.5
,Ohio,39,Sequelae of assault,Y87.1,13,11658609,
Total,Ohio,39,,,828,11658609,7.1
,Oklahoma,40,"Assault by hanging, strangulation and suffocation",X91,12,3930864,
,Oklahoma,40,Assault by handgun discharge,X93,75,3930864,1.9
,Oklahoma,40,"Assault by rifle, shotgun and larger firearm discharge",X94,17,3930864,
,Oklahoma,40,Assault by other and unspecified firearm discharge,X95,136,3930864,3.5
,Oklahoma,40,Assault by sharp object,X99,23,3930864,0.6
,Oklahoma,40,Assault by unspecified means,Y09,42,3930864,1.1
Total,Oklahoma,40,,,318,3930864,8.1
,Oregon,41,Assault by handgun discharge,X93,17,4142776,
