Notes,State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Alabama,1,"Assault by hanging, strangulation and suffocation",X91,12,4569805,
,Alabama,1,Assault by handgun discharge,X93,30,4569805,0.7
,Alabama,1,"Assault by rifle, shotgun and larger firearm discharge",X94,24,4569805,0.5
,Alabama,1,Assault by other and unspecified firearm discharge,X95,265,4569805,5.8
,Alabama,1,Assault by sharp object,X99,39,4569805,0.9
,Alabama,1,Assault by unspecified means,Y09,45,4569805,1
Total,Alabama,1,,,433,4569805,9.5
,Alaska,2,Assault by other and unspecified firearm discharge,X95,23,666946,3.4
Total,Alaska,2,,,37,666946,5.5
,Arizona,4,"Assault by hanging, strangulation and suffocation",X91,22,5839077,0.4
,Arizona,4,"Assault by rifle, shotgun and larger firearm discharge",X94,21,5839077,0.4
,Arizona,4,Assault by other and unspecified firearm discharge,X95,355,5839077,6.1
,Arizona,4,Assault by sharp object,X99,43,5839077,0.7
,Arizona,4,Assault by other specified means,Y08,10,5839077,
,Arizona,4,Assault by unspecified means,Y09,56,5839077,1
Total,Arizona,4,,,532,5839077,9.1
,Arkansas,5,"Assault by rifle, shotgun and larger firearm discharge",X94,23,2781097,0.8
,Arkansas,5,Assault by other and unspecified firearm discharge,X95,124,2781097,4.5
,Arkansas,5,Assault by sharp object,X99,28,2781097,1
,Arkansas,5,Assault by unspecified means,Y09,19,2781097,
Total,Arkansas,5,,,219,2781097,7.9
,California,6,"Assault by hanging, strangulation and suffocation",X91,75,35827943,0.2
,California,6,Assault by handgun discharge,X93,310,35827943,0.9
,California,6,"Assault by rifle, shotgun and larger firearm discharge",X94,105,35827943,0.3
,California,6,Assault by other and unspecified firearm discharge,X95,1463,35827943,4.1
,California,6,Assault by sharp object,X99,250,35827943,0.7
,California,6,Assault by blunt object,Y00,11,35827943,
,California,6,By unspecified person,Y07.9,16,35827943,
,California,6,Assault by other specified means,Y08,27,35827943,0.1
,California,6,Assault by unspecified means,Y09,205,35827943,0.6
,California,6,Sequelae of assault,Y87.1,36,35827943,0.1
Total,California,6,,,2540,35827943,7.1
,Colorado,8,Assault by handgun discharge,X93,11,4631888,
,Colorado,8,"Assault by rifle, shotgun and larger firearm discharge",X94,10,4631888,
,Colorado,8,Assault by other and unspecified firearm discharge,X95,94,4631888,2
,Colorado,8,Assault by sharp object,X99,23,4631888,0.5
,Colorado,8,Assault by unspecified means,Y09,23,4631888,0.5
Total,Colorado,8,,,182,4631888,3.9
,Connecticut,9,Assault by other and unspecified firearm discharge,X95,63,3506956,1.8
,Connecticut,9,Assault by sharp object,X99,10,3506956,
,Connecticut,9,Assault by unspecified means,Y09,17,3506956,
Total,Connecticut,9,,,107,3506956,3.1
,Delaware,10,Assault by other and unspecified firearm discharge,X95,33,845150,3.9
,Delaware,10,Assault by sharp object,X99,11,845150,
Total,Delaware,10,,,55,845150,6.5
,District of Columbia,11,Assault by other and unspecified firearm discharge,X95,137,567136,24.2
,District of Columbia,11,Assault by sharp object,X99,12,567136,
,District of Columbia,11,Assault by unspecified means,Y09,17,567136,
Total,District of Columbia,11,,,180,567136,31.7
,Florida,12,"Assault by hanging, strangulation and suffocation",X91,41,17842038,0.2
,Florida,12,Assault by handgun discharge,X93,39,17842038,0.2
,Florida,12,"Assault by rifle, shotgun and larger firearm discharge",X94,28,17842038,0.2
,Florida,12,Assault by other and unspecified firearm discharge,X95,564,17842038,3.2
,Florida,12,Assault by sharp object,X99,131,17842038,0.7
,Florida,12,Assault by blunt object,Y00,40,17842038,0.2
,Florida,12,Assault by bodily force,Y04,11,17842038,
,Florida,12,Assault by other specified means,Y08,30,17842038,0.2
,Florida,12,Assault by unspecified means,Y09,74,17842038,0.4
,Florida,12,Sequelae of assault,Y87.1,15,17842038,
Total,Florida,12,,,998,17842038,5.6
,Georgia,13,"Assault by hanging, strangulation and suffocation",X91,25,8925922,0.3
,Georgia,13,Assault by handgun discharge,X93,23,8925922,0.3
,Georgia,13,"Assault by rifle, shotgun and larger firearm discharge",X94,18,8925922,
,Georgia,13,Assault by other and unspecified firearm discharge,X95,398,8925922,4.5
,Georgia,13,Assault by sharp object,X99,83,8925922,0.9
,Georgia,13,Assault by unspecified means,Y09,61,8925922,0.7
,Georgia,13,Sequelae of assault,Y87.1,11,8925922,
Total,Georgia,13,,,649,8925922,7.3
Total,Hawaii,15,,,25,1292729,1.9
,Idaho,16,Assault by other and unspecified firearm discharge,X95,23,1428241,1.6
,Idaho,16,Assault by unspecified means,Y09,10,1428241,
Total,Idaho,16,,,45,1428241,3.2
,Illinois,17,"Assault by hanging, strangulation and suffocation",X91,32,12609903,0.3
,Illinois,17,"Assault by rifle, shotgun and larger firearm discharge",X94,20,12609903,0.2
,Illinois,17,Assault by other and unspecified firearm discharge,X95,540,12609903,4.3
,Illinois,17,Assault by sharp object,X99,95,12609903,0.8
,Illinois,17,Assault by unspecified means,Y09,122,12609903,1
,Illinois,17,Sequelae of assault,Y87.1,13,12609903,
Total,Illinois,17,,,866,12609903,6.9
,Indiana,18,"Assault by hanging, strangulation and suffocation",X91,19,6278616,
,Indiana,18,Assault by handgun discharge,X93,13,6278616,
,Indiana,18,"Assault by rifle, shotgun and larger firearm discharge",X94,10,6278616,
,Indiana,18,Assault by other and unspecified firearm discharge,X95,234,6278616,3.7
,Indiana,18,Assault by sharp object,X99,19,6278616,
,Indiana,18,Assault by blunt object,Y00,21,6278616,0.3
,Indiana,18,Assault by unspecified means,Y09,23,6278616,0.4
Total,Indiana,18,,,368,6278616,5.9
,Iowa,19,Assault by other and unspecified firearm discharge,X95,11,2964454,
Total,Iowa,19,,,44,2964454,1.5
,Kansas,20,Assault by other and unspecified firearm discharge,X95,57,2745299,2.1
,Kansas,20,Assault by sharp object,X99,15,2745299,
,Kansas,20,Assault by unspecified means,Y09,16,2745299,
Total,Kansas,20,,,106,2745299,3.9
,Kentucky,21,Assault by handgun discharge,X93,11,4182742,
,Kentucky,21,"Assault by rifle, shotgun and larger firearm discharge",X94,15,4182742,
,Kentucky,21,Assault by other and unspecified firearm discharge,X95,126,4182742,3
,Kentucky,21,Assault by sharp object,X99,21,4182742,0.5
,Kentucky,21,Assault by unspecified means,Y09,24,4182742,0.6
Total,Kentucky,21,,,222,4182742,5.3
,Louisiana,22,"Assault by hanging, strangulation and suffocation",X91,16,4576628,
,Louisiana,22,"Assault by rifle, shotgun and larger firearm discharge",X94,21,4576628,0.5
,Louisiana,22,Assault by other and unspecified firearm discharge,X95,431,4576628,9.4
,Louisiana,22,Assault by sharp object,X99,65,4576628,1.4
,Louisiana,22,Assault by other specified means,Y08,12,4576628,
,Louisiana,22,Assault by unspecified means,Y09,20,4576628,0.4
Total,Louisiana,22,,,592,4576628,12.9
Total,Maine,23,,,22,1318787,1.7
,Maryland,24,"Assault by hanging, strangulation and suffocation",X91,21,5592379,0.4
,Maryland,24,"Assault by rifle, shotgun and larger firearm discharge",X94,15,5592379,
,Maryland,24,Assault by other and unspecified firearm discharge,X95,405,5592379,7.2
,Maryland,24,Assault by sharp object,X99,68,5592379,1.2
,Maryland,24,Assault by other specified means,Y08,13,5592379,
,Maryland,24,Assault by unspecified means,Y09,35,5592379,0.6
,Maryland,24,Sequelae of assault,Y87.1,10,5592379,
Total,Maryland,24,,,576,5592379,10.3
,Massachusetts,25,Assault by other and unspecified firearm discharge,X95,107,6403290,1.7
,Massachusetts,25,Assault by sharp object,X99,38,6403290,0.6
Total,Massachusetts,25,,,178,6403290,2.8
,Michigan,26,"Assault by hanging, strangulation and suffocation",X91,15,10051137,
,Michigan,26,"Assault by rifle, shotgun and larger firearm discharge",X94,31,10051137,0.3
,Michigan,26,Assault by other and unspecified firearm discharge,X95,452,10051137,4.5
,Michigan,26,"Assault by smoke, fire and flames",X97,12,10051137,
,Michigan,26,Assault by sharp object,X99,66,10051137,0.7
,Michigan,26,By unspecified person,Y07.9,23,10051137,0.2
,Michigan,26,Assault by other specified means,Y08,31,10051137,0.3
,Michigan,26,Assault by unspecified means,Y09,22,10051137,0.2
Total,Michigan,26,,,677,10051137,6.7
,Minnesota,27,Assault by other and unspecified firearm discharge,X95,78,5119598,1.5
,Minnesota,27,Assault by sharp object,X99,13,5119598,
,Minnesota,27,Assault by unspecified means,Y09,30,5119598,0.6
Total,Minnesota,27,,,139,5119598,2.7
,Mississippi,28,"Assault by hanging, strangulation and suffocation",X91,10,2905943,
,Mississippi,28,Assault by handgun discharge,X93,44,2905943,1.5
,Mississippi,28,"Assault by rifle, shotgun and larger firearm discharge",X94,17,2905943,
,Mississippi,28,Assault by other and unspecified firearm discharge,X95,114,2905943,3.9
,Mississippi,28,Assault by sharp object,X99,35,2905943,1.2
,Mississippi,28,Assault by unspecified means,Y09,18,2905943,
Total,Mississippi,28,,,254,2905943,8.7
,Missouri,29,"Assault by hanging, strangulation and suffocation",X91,16,5790300,
,Missouri,29,Assault by handgun discharge,X93,69,5790300,1.2
,Missouri,29,"Assault by rifle, shotgun and larger firearm discharge",X94,35,5790300,0.6
,Missouri,29,Assault by other and unspecified firearm discharge,X95,189,5790300,3.3
,Missouri,29,Assault by sharp object,X99,43,5790300,0.7
,Missouri,29,Assault by unspecified means,Y09,43,5790300,0.7
Total,Missouri,29,,,417,5790300,7.2
Total,Montana,30,,,33,940102,3.5
,Nebraska,31,Assault by other and unspecified firearm discharge,X95,27,1761497,1.5
Total,Nebraska,31,,,44,1761497,2.5
,Nevada,32,Assault by other and unspecified firearm discharge,X95,109,2432143,4.5
,Nevada,32,Assault by sharp object,X99,24,2432143,1
,Nevada,32,Assault by unspecified means,Y09,19,2432143,
Total,Nevada,32,,,190,2432143,7.8
Total,New Hampshire,33,,,19,1298492,
,New Jersey,34,"Assault by hanging, strangulation and suffocation",X91,16,8651974,
,New Jersey,34,Assault by other and unspecified firearm discharge,X95,273,8651974,3.2
,New Jersey,34,Assault by sharp object,X99,57,8651974,0.7
,New Jersey,34,Assault by unspecified means,Y09,48,8651974,0.6
Total,New Jersey,34,,,427,8651974,4.9
,New Mexico,35,Assault by handgun discharge,X93,11,1932274,
,New Mexico,35,Assault by other and unspecified firearm discharge,X95,57,1932274,2.9
,New Mexico,35,Assault by sharp object,X99,24,1932274,1.2
,New Mexico,35,Assault by other specified means,Y08,10,1932274,
,New Mexico,35,Assault by unspecified means,Y09,19,1932274,
Total,New Mexico,35,,,152,1932274,7.9
,New York,36,"Assault by hanging, strangulation and suffocation",X91,47,19132610,0.2
,New York,36,"Assault by rifle, shotgun and larger firearm discharge",X94,16,19132610,
,New York,36,Assault by other and unspecified firearm discharge,X95,492,19132610,2.6
,New York,36,"Assault by smoke, fire and flames",X97,10,19132610,
,New York,36,Assault by sharp object,X99,187,19132610,1
,New York,36,Assault by other specified means,Y08,16,19132610,
,New York,36,Assault by unspecified means,Y09,87,19132610,0.5
,New York,36,Sequelae of assault,Y87.1,22,19132610,0.1
Total,New York,36,,,901,19132610,4.7
,North Carolina,37,"Assault by hanging, strangulation and suffocation",X91,18,8705407,
,North Carolina,37,"Assault by rifle, shotgun and larger firearm discharge",X94,29,8705407,0.3
,North Carolina,37,Assault by other and unspecified firearm discharge,X95,413,8705407,4.7
,North Carolina,37,Assault by sharp object,X99,86,8705407,1
,North Carolina,37,Assault by other specified means,Y08,10,8705407,
,North Carolina,37,Assault by unspecified means,Y09,65,8705407,0.7
Total,North Carolina,37,,,661,8705407,7.6
Total,North Dakota,38,,,11,646089,
,Ohio,39,"Assault by hanging, strangulation and suffocation",X91,27,11463320,0.2
,Ohio,39,Assault by handgun discharge,X93,43,11463320,0.4
,Ohio,39,"Assault by rifle, shotgun and larger firearm discharge",X94,18,11463320,
,Ohio,39,Assault by other and unspecified firearm discharge,X95,347,11463320,3
,Ohio,39,"Assault by smoke, fire and flames",X97,13,11463320,
,Ohio,39,Assault by sharp object,X99,60,11463320,0.5
,Ohio,39,Assault by other specified means,Y08,21,11463320,0.2
,Ohio,39,Assault by unspecified means,Y09,67,11463320,0.6
,Ohio,39,Sequelae of assault,Y87.1,12,11463320,
Total,Ohio,39,,,630,11463320,5.5
,Oklahoma,40,"Assault by hanging, strangulation and suffocation",X91,10,3548597,
,Oklahoma,40,Assault by handgun discharge,X93,21,3548597,0.6
,Oklahoma,40,"Assault by rifle, shotgun and larger firearm discharge",X94,11,3548597,
,Oklahoma,40,Assault by other and unspecified firearm discharge,X95,104,3548597,2.9
,Oklahoma,40,Assault by sharp object,X99,22,3548597,0.6
,Oklahoma,40,Assault by unspecified means,Y09,34,3548597,1
Total,Oklahoma,40,,,214,3548597,6
,Oregon,41,Assault by handgun discharge,X93,20,3613202,0.6
,Oregon,41,Assault by other and unspecified firearm discharge,X95,26,3613202,0.7
,Oregon,41,Assault by sharp object,X99,18,3613202,
,Oregon,41,Assault by unspecified means,Y09,16,3613202,
Total,Oregon,41,,,102,3613202,2.8
,Pennsylvania,42,"Assault by hanging, strangulation and suffocation",X91,27,12449990,0.2
,Pennsylvania,42,"Assault by rifle, shotgun and larger firearm discharge",X94,20,12449990,0.2
,Pennsylvania,42,Assault by other and unspecified firearm discharge,X95,510,12449990,4.1
,Pennsylvania,42,"Assault by smoke, fire and flames",X97,15,12449990,
,Pennsylvania,42,Assault by sharp object,X99,86,12449990,0.7
,Pennsylvania,42,Assault by other specified means,Y08,17,12449990,
,Pennsylvania,42,Assault by unspecified means,Y09,43,12449990,0.3
Total,Pennsylvania,42,,,749,12449990,6
,Rhode Island,44,Assault by other and unspecified firearm discharge,X95,19,1067916,
Total,Rhode Island,44,,,32,1067916,3
,South Carolina,45,"Assault by rifle, shotgun and larger firearm discharge",X94,13,4270150,
,South Carolina,45,Assault by other and unspecified firearm discharge,X95,213,4270150,5
,South Carolina,45,Assault by sharp object,X99,38,4270150,0.9
,South Carolina,45,Assault by other specified means,Y08,16,4270150,
,South Carolina,45,Assault by unspecified means,Y09,24,4270150,0.6
Total,South Carolina,45,,,337,4270150,7.9
Total,South Dakota,46,,,22,775493,2.8
,Tennessee,47,"Assault by hanging, strangulation and suffocation",X91,16,5991057,
,Tennessee,47,Assault by handgun discharge,X93,12,5991057,
,Tennessee,47,"Assault by rifle, shotgun and larger firearm discharge",X94,34,5991057,0.6
,Tennessee,47,Assault by other and unspecified firearm discharge,X95,325,5991057,5.4
,Tennessee,47,Assault by sharp object,X99,39,5991057,0.7
,Tennessee,47,Assault by unspecified means,Y09,46,5991057,0.8
,Tennessee,47,Sequelae of assault,Y87.1,10,5991057,
Total,Tennessee,47,,,495,5991057,8.3
,Texas,48,"Assault by hanging, strangulation and suffocation",X91,44,22778123,0.2
,Texas,48,Assault by handgun discharge,X93,36,22778123,0.2
,Texas,48,"Assault by rifle, shotgun and larger firearm discharge",X94,89,22778123,0.4
,Texas,48,Assault by other and unspecified firearm discharge,X95,884,22778123,3.9
,Texas,48,"Assault by smoke, fire and flames",X97,10,22778123,
,Texas,48,Assault by sharp object,X99,174,22778123,0.8
,Texas,48,Assault by blunt object,Y00,19,22778123,
,Texas,48,Assault by other specified means,Y08,15,22778123,
,Texas,48,Assault by unspecified means,Y09,172,22778123,0.8
,Texas,48,Sequelae of assault,Y87.1,19,22778123,
Total,Texas,48,,,1501,22778123,6.6
,Utah,49,Assault by other and unspecified firearm discharge,X95,23,2457719,0.9
,Utah,49,Assault by unspecified means,Y09,11,2457719,
Total,Utah,49,,,63,2457719,2.6
Total,Vermont,50,,,12,621215,
,Virginia,51,"Assault by hanging, strangulation and suffocation",X91,15,7577105,
,Virginia,51,Assault by handgun discharge,X93,122,7577105,1.6
,Virginia,51,"Assault by rifle, shotgun and larger firearm discharge",X94,22,7577105,0.3
,Virginia,51,Assault by other and unspecified firearm discharge,X95,209,7577105,2.8
,Virginia,51,Assault by sharp object,X99,51,7577105,0.7
,Virginia,51,Assault by unspecified means,Y09,48,7577105,0.6
Total,Virginia,51,,,490,7577105,6.5
,Washington,53,Assault by handgun discharge,X93,43,6257305,0.7
,Washington,53,"Assault by rifle, shotgun and larger firearm discharge",X94,17,6257305,
,Washington,53,Assault by other and unspecified firearm discharge,X95,81,6257305,1.3
,Washington,53,Assault by sharp object,X99,37,6257305,0.6
,Washington,53,Assault by unspecified means,Y09,32,6257305,0.5
Total,Washington,53,,,231,6257305,3.7
,West Virginia,54,"Assault by rifle, shotgun and larger firearm discharge",X94,15,1820492,
,West Virginia,54,Assault by other and unspecified firearm discharge,X95,39,1820492,2.1
,West Virginia,54,Assault by unspecified means,Y09,12,1820492,
Total,West Virginia,54,,,93,1820492,5.1
,Wisconsin,55,"Assault by hanging, strangulation and suffocation",X91,10,5546166,
,Wisconsin,55,Assault by handgun discharge,X93,101,5546166,1.8
,Wisconsin,55,"Assault by rifle, shotgun and larger firearm discharge",X94,23,5546166,0.4
,Wisconsin,55,Assault by other and unspecified firearm discharge,X95,35,5546166,0.6
,Wisconsin,55,Assault by sharp object,X99,29,5546166,0.5
,Wisconsin,55,Assault by unspecified means,Y09,13,5546166,
Total,Wisconsin,55,,,236,5546166,4.3
Total,Wyoming,56,,,16,514157,
Total,,,,,18124,295516599,6.1
