Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Dallas County, AL",1047,Assault by other and unspecified firearm discharge,X95,17,40008,
,"Elmore County, AL",1051,Assault by other and unspecified firearm discharge,X95,10,81799,
,"Etowah County, AL",1055,Assault by other and unspecified firearm discharge,X95,10,102564,
,"Jefferson County, AL",1073,Assault by handgun discharge,X93,36,659521,5.5
,"Jefferson County, AL",1073,Assault by other and unspecified firearm discharge,X95,84,659521,12.7
,"Lee County, AL",1081,Assault by other and unspecified firearm discharge,X95,18,158991,
,"Madison County, AL",1089,Assault by other and unspecified firearm discharge,X95,15,356967,
,"Mobile County, AL",1097,Assault by other and unspecified firearm discharge,X95,67,414836,16.2
,"Montgomery County, AL",1101,Assault by other and unspecified firearm discharge,X95,36,226349,15.9
,"Tuscaloosa County, AL",1125,Assault by other and unspecified firearm discharge,X95,10,206102,
,"Anchorage Borough, AK",2020,Assault by other and unspecified firearm discharge,X95,26,298192,8.7
,"Maricopa County, AZ",4013,Assault by other and unspecified firearm discharge,X95,205,4242997,4.8
,"Maricopa County, AZ",4013,Assault by sharp object,X99,18,4242997,
,"Maricopa County, AZ",4013,Assault by unspecified means,Y09,17,4242997,
,"Mohave County, AZ",4015,Assault by other and unspecified firearm discharge,X95,10,205249,
,"Pima County, AZ",4019,Assault by other and unspecified firearm discharge,X95,33,1016206,3.2
,"Pima County, AZ",4019,Assault by unspecified means,Y09,11,1016206,
,"Pinal County, AZ",4021,Assault by other and unspecified firearm discharge,X95,11,418540,
,"Crittenden County, AR",5035,Assault by other and unspecified firearm discharge,X95,13,49235,
,"Jefferson County, AR",5069,Assault by other and unspecified firearm discharge,X95,11,70016,
,"Pulaski County, AR",5119,Assault by other and unspecified firearm discharge,X95,52,393250,13.2
,"Alameda County, CA",6001,Assault by handgun discharge,X93,44,1647704,2.7
,"Alameda County, CA",6001,Assault by other and unspecified firearm discharge,X95,51,1647704,3.1
,"Alameda County, CA",6001,Assault by sharp object,X99,15,1647704,
,"Contra Costa County, CA",6013,Assault by other and unspecified firearm discharge,X95,57,1135127,5
,"Fresno County, CA",6019,Assault by other and unspecified firearm discharge,X95,42,979915,4.3
,"Fresno County, CA",6019,Assault by sharp object,X99,17,979915,
,"Kern County, CA",6029,Assault by handgun discharge,X93,37,884788,4.2
,"Kern County, CA",6029,Assault by other and unspecified firearm discharge,X95,24,884788,2.7
,"Kern County, CA",6029,Assault by sharp object,X99,10,884788,
,"Kings County, CA",6031,Assault by other and unspecified firearm discharge,X95,10,149785,
,"Los Angeles County, CA",6037,"Assault by hanging, strangulation and suffocation",X91,10,10137915,
,"Los Angeles County, CA",6037,Assault by handgun discharge,X93,50,10137915,0.5
,"Los Angeles County, CA",6037,"Assault by rifle, shotgun and larger firearm discharge",X94,15,10137915,
,"Los Angeles County, CA",6037,Assault by other and unspecified firearm discharge,X95,423,10137915,4.2
,"Los Angeles County, CA",6037,Assault by sharp object,X99,75,10137915,0.7
,"Los Angeles County, CA",6037,Assault by unspecified means,Y09,30,10137915,0.3
,"Los Angeles County, CA",6037,Sequelae of assault,Y87.1,10,10137915,
,"Monterey County, CA",6053,Assault by handgun discharge,X93,37,435232,8.5
,"Monterey County, CA",6053,Assault by other and unspecified firearm discharge,X95,10,435232,
,"Orange County, CA",6059,Assault by handgun discharge,X93,23,3172532,0.7
,"Orange County, CA",6059,Assault by other and unspecified firearm discharge,X95,15,3172532,
,"Orange County, CA",6059,Assault by sharp object,X99,14,3172532,
,"Riverside County, CA",6065,Assault by other and unspecified firearm discharge,X95,50,2387741,2.1
,"Riverside County, CA",6065,Assault by sharp object,X99,14,2387741,
,"Riverside County, CA",6065,Assault by unspecified means,Y09,10,2387741,
,"Sacramento County, CA",6067,Assault by other and unspecified firearm discharge,X95,64,1514460,4.2
,"Sacramento County, CA",6067,Assault by unspecified means,Y09,16,1514460,
,"San Bernardino County, CA",6071,Assault by other and unspecified firearm discharge,X95,99,2140096,4.6
,"San Bernardino County, CA",6071,Assault by sharp object,X99,14,2140096,
,"San Bernardino County, CA",6071,Assault by unspecified means,Y09,14,2140096,
,"San Diego County, CA",6073,Assault by other and unspecified firearm discharge,X95,49,3317749,1.5
,"San Diego County, CA",6073,Assault by sharp object,X99,21,3317749,0.6
,"San Diego County, CA",6073,Assault by unspecified means,Y09,21,3317749,0.6
,"San Francisco County, CA",6075,Assault by other and unspecified firearm discharge,X95,29,870887,3.3
,"San Joaquin County, CA",6077,Assault by other and unspecified firearm discharge,X95,52,733709,7.1
,"San Joaquin County, CA",6077,Assault by sharp object,X99,10,733709,
,"San Mateo County, CA",6081,Assault by other and unspecified firearm discharge,X95,15,764797,
,"Santa Barbara County, CA",6083,Assault by other and unspecified firearm discharge,X95,10,446170,
,"Santa Clara County, CA",6085,Assault by other and unspecified firearm discharge,X95,24,1919402,1.3
,"Santa Clara County, CA",6085,Assault by sharp object,X99,13,1919402,
,"Solano County, CA",6095,Assault by other and unspecified firearm discharge,X95,20,440207,4.5
,"Stanislaus County, CA",6099,Assault by other and unspecified firearm discharge,X95,12,541560,
,"Tulare County, CA",6107,Assault by other and unspecified firearm discharge,X95,26,460437,5.6
,"Ventura County, CA",6111,Assault by other and unspecified firearm discharge,X95,19,849738,
,"Adams County, CO",8001,Assault by other and unspecified firearm discharge,X95,17,498187,
,"Arapahoe County, CO",8005,Assault by other and unspecified firearm discharge,X95,22,637068,3.5
,"Denver County, CO",8031,Assault by other and unspecified firearm discharge,X95,34,693060,4.9
,"El Paso County, CO",8041,Assault by other and unspecified firearm discharge,X95,31,688284,4.5
,"Jefferson County, CO",8059,Assault by other and unspecified firearm discharge,X95,10,571837,
,"Fairfield County, CT",9001,Assault by other and unspecified firearm discharge,X95,12,944177,
