Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Jefferson County, AL",1073,Assault by other and unspecified firearm discharge,X95,56,656023,8.5
,"Lee County, AL",1081,Assault by other and unspecified firearm discharge,X95,12,122274,
,"Mobile County, AL",1097,Assault by handgun discharge,X93,15,397959,
,"Mobile County, AL",1097,Assault by other and unspecified firearm discharge,X95,13,397959,
,"Montgomery County, AL",1101,Assault by other and unspecified firearm discharge,X95,16,223002,
,"Maricopa County, AZ",4013,"Assault by hanging, strangulation and suffocation",X91,10,3417860,
,"Maricopa County, AZ",4013,"Assault by rifle, shotgun and larger firearm discharge",X94,14,3417860,
,"Maricopa County, AZ",4013,Assault by other and unspecified firearm discharge,X95,211,3417860,6.2
,"Maricopa County, AZ",4013,Assault by sharp object,X99,22,3417860,0.6
,"Maricopa County, AZ",4013,Assault by unspecified means,Y09,44,3417860,1.3
,"Pima County, AZ",4019,Assault by other and unspecified firearm discharge,X95,55,901342,6.1
,"Pima County, AZ",4019,Assault by sharp object,X99,10,901342,
,"Pima County, AZ",4019,Assault by unspecified means,Y09,10,901342,
,"Pinal County, AZ",4021,Assault by other and unspecified firearm discharge,X95,15,219472,
,"Pulaski County, AR",5119,Assault by other and unspecified firearm discharge,X95,38,366608,10.4
,"Alameda County, CA",6001,Assault by handgun discharge,X93,49,1445721,3.4
,"Alameda County, CA",6001,"Assault by rifle, shotgun and larger firearm discharge",X94,10,1445721,
,"Alameda County, CA",6001,Assault by other and unspecified firearm discharge,X95,26,1445721,1.8
,"Contra Costa County, CA",6013,Assault by handgun discharge,X93,19,992424,
,"Contra Costa County, CA",6013,Assault by other and unspecified firearm discharge,X95,44,992424,4.4
,"Fresno County, CA",6019,Assault by other and unspecified firearm discharge,X95,50,861035,5.8
,"Fresno County, CA",6019,Assault by sharp object,X99,11,861035,
,"Kern County, CA",6029,Assault by other and unspecified firearm discharge,X95,28,736296,3.8
,"Los Angeles County, CA",6037,"Assault by hanging, strangulation and suffocation",X91,29,9793263,0.3
,"Los Angeles County, CA",6037,Assault by handgun discharge,X93,79,9793263,0.8
,"Los Angeles County, CA",6037,"Assault by rifle, shotgun and larger firearm discharge",X94,21,9793263,0.2
,"Los Angeles County, CA",6037,Assault by other and unspecified firearm discharge,X95,740,9793263,7.6
,"Los Angeles County, CA",6037,Assault by sharp object,X99,80,9793263,0.8
,"Los Angeles County, CA",6037,Assault by unspecified means,Y09,63,9793263,0.6
,"Los Angeles County, CA",6037,Sequelae of assault,Y87.1,22,9793263,0.2
,"Merced County, CA",6047,Assault by other and unspecified firearm discharge,X95,11,237180,
,"Monterey County, CA",6053,Assault by handgun discharge,X93,11,408731,
,"Monterey County, CA",6053,Assault by other and unspecified firearm discharge,X95,13,408731,
,"Orange County, CA",6059,Assault by handgun discharge,X93,26,2941711,0.9
,"Orange County, CA",6059,Assault by other and unspecified firearm discharge,X95,27,2941711,0.9
,"Orange County, CA",6059,Assault by sharp object,X99,15,2941711,
,"Riverside County, CA",6065,Assault by handgun discharge,X93,15,1856542,
,"Riverside County, CA",6065,Assault by other and unspecified firearm discharge,X95,36,1856542,1.9
,"Riverside County, CA",6065,Assault by sharp object,X99,14,1856542,
,"Riverside County, CA",6065,Assault by unspecified means,Y09,10,1856542,
,"Sacramento County, CA",6067,Assault by handgun discharge,X93,20,1348932,1.5
,"Sacramento County, CA",6067,Assault by other and unspecified firearm discharge,X95,32,1348932,2.4
,"Sacramento County, CA",6067,Assault by sharp object,X99,16,1348932,
,"Sacramento County, CA",6067,Assault by unspecified means,Y09,15,1348932,
,"San Bernardino County, CA",6071,"Assault by rifle, shotgun and larger firearm discharge",X94,10,1899065,
,"San Bernardino County, CA",6071,Assault by other and unspecified firearm discharge,X95,117,1899065,6.2
