Notes,State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Alabama,1,"Assault by hanging, strangulation and suffocation",X91,13,4628981,
,Alabama,1,Assault by handgun discharge,X93,26,4628981,0.6
,Alabama,1,"Assault by rifle, shotgun and larger firearm discharge",X94,32,4628981,0.7
,Alabama,1,Assault by other and unspecified firearm discharge,X95,275,4628981,5.9
,Alabama,1,Assault by sharp object,X99,40,4628981,0.9
,Alabama,1,Assault by unspecified means,Y09,46,4628981,1
Total,Alabama,1,,,445,4628981,9.6
,Alaska,2,Assault by other and unspecified firearm discharge,X95,25,675302,3.7
Total,Alaska,2,,,43,675302,6.4
,Arizona,4,"Assault by hanging, strangulation and suffocation",X91,13,6029141,
,Arizona,4,"Assault by rifle, shotgun and larger firearm discharge",X94,20,6029141,0.3
,Arizona,4,Assault by other and unspecified firearm discharge,X95,365,6029141,6.1
,Arizona,4,Assault by sharp object,X99,61,6029141,1
,Arizona,4,Assault by unspecified means,Y09,55,6029141,0.9
Total,Arizona,4,,,549,6029141,9.1
,Arkansas,5,"Assault by hanging, strangulation and suffocation",X91,13,2821761,
,Arkansas,5,"Assault by rifle, shotgun and larger firearm discharge",X94,14,2821761,
,Arkansas,5,Assault by other and unspecified firearm discharge,X95,133,2821761,4.7
,Arkansas,5,Assault by sharp object,X99,23,2821761,0.8
,Arkansas,5,Assault by unspecified means,Y09,37,2821761,1.3
Total,Arkansas,5,,,234,2821761,8.3
,California,6,"Assault by hanging, strangulation and suffocation",X91,74,36021202,0.2
,California,6,Assault by drowning and submersion,X92,11,36021202,
,California,6,Assault by handgun discharge,X93,341,36021202,0.9
,California,6,"Assault by rifle, shotgun and larger firearm discharge",X94,99,36021202,0.3
,California,6,Assault by other and unspecified firearm discharge,X95,1443,36021202,4
,California,6,"Assault by smoke, fire and flames",X97,16,36021202,
,California,6,Assault by sharp object,X99,296,36021202,0.8
,California,6,Assault by blunt object,Y00,13,36021202,
,California,6,By unspecified person,Y07.9,19,36021202,
,California,6,Assault by other specified means,Y08,32,36021202,0.1
,California,6,Assault by unspecified means,Y09,182,36021202,0.5
,California,6,Sequelae of assault,Y87.1,61,36021202,0.2
Total,California,6,,,2616,36021202,7.3
,Colorado,8,Assault by handgun discharge,X93,10,4720423,
,Colorado,8,"Assault by rifle, shotgun and larger firearm discharge",X94,14,4720423,
,Colorado,8,Assault by other and unspecified firearm discharge,X95,80,4720423,1.7
,Colorado,8,Assault by sharp object,X99,28,4720423,0.6
,Colorado,8,Assault by unspecified means,Y09,27,4720423,0.6
Total,Colorado,8,,,181,4720423,3.8
,Connecticut,9,Assault by other and unspecified firearm discharge,X95,89,3517460,2.5
,Connecticut,9,Assault by sharp object,X99,19,3517460,
,Connecticut,9,Assault by unspecified means,Y09,14,3517460,
Total,Connecticut,9,,,132,3517460,3.8
,Delaware,10,Assault by other and unspecified firearm discharge,X95,31,859268,3.6
Total,Delaware,10,,,50,859268,5.8
,District of Columbia,11,Assault by other and unspecified firearm discharge,X95,118,570681,20.7
,District of Columbia,11,Assault by sharp object,X99,14,570681,
Total,District of Columbia,11,,,150,570681,26.3
,Florida,12,"Assault by hanging, strangulation and suffocation",X91,33,18166990,0.2
,Florida,12,Assault by handgun discharge,X93,46,18166990,0.3
,Florida,12,"Assault by rifle, shotgun and larger firearm discharge",X94,31,18166990,0.2
,Florida,12,Assault by other and unspecified firearm discharge,X95,726,18166990,4
,Florida,12,Assault by sharp object,X99,158,18166990,0.9
,Florida,12,Assault by blunt object,Y00,16,18166990,
,Florida,12,Assault by bodily force,Y04,20,18166990,0.1
,Florida,12,Assault by other specified means,Y08,29,18166990,0.2
,Florida,12,Assault by unspecified means,Y09,108,18166990,0.6
,Florida,12,Sequelae of assault,Y87.1,15,18166990,
Total,Florida,12,,,1214,18166990,6.7
,Georgia,13,"Assault by hanging, strangulation and suffocation",X91,18,9155813,
,Georgia,13,Assault by handgun discharge,X93,18,9155813,
,Georgia,13,"Assault by rifle, shotgun and larger firearm discharge",X94,31,9155813,0.3
,Georgia,13,Assault by other and unspecified firearm discharge,X95,446,9155813,4.9
,Georgia,13,Assault by sharp object,X99,75,9155813,0.8
,Georgia,13,Assault by unspecified means,Y09,61,9155813,0.7
,Georgia,13,Sequelae of assault,Y87.1,10,9155813,
Total,Georgia,13,,,687,9155813,7.5
Total,Hawaii,15,,,28,1309731,2.1
,Idaho,16,Assault by other and unspecified firearm discharge,X95,18,1468669,
Total,Idaho,16,,,38,1468669,2.6
,Illinois,17,"Assault by hanging, strangulation and suffocation",X91,33,12643955,0.3
,Illinois,17,"Assault by rifle, shotgun and larger firearm discharge",X94,16,12643955,
,Illinois,17,Assault by other and unspecified firearm discharge,X95,602,12643955,4.8
,Illinois,17,Assault by sharp object,X99,82,12643955,0.6
,Illinois,17,Assault by other specified means,Y08,13,12643955,
,Illinois,17,Assault by unspecified means,Y09,82,12643955,0.6
Total,Illinois,17,,,865,12643955,6.8
,Indiana,18,"Assault by hanging, strangulation and suffocation",X91,21,6332669,0.3
,Indiana,18,"Assault by rifle, shotgun and larger firearm discharge",X94,16,6332669,
,Indiana,18,Assault by other and unspecified firearm discharge,X95,241,6332669,3.8
,Indiana,18,Assault by sharp object,X99,30,6332669,0.5
,Indiana,18,Assault by unspecified means,Y09,35,6332669,0.6
Total,Indiana,18,,,375,6332669,5.9
,Iowa,19,"Assault by rifle, shotgun and larger firearm discharge",X94,17,2982644,
,Iowa,19,Assault by other and unspecified firearm discharge,X95,14,2982644,
,Iowa,19,Assault by sharp object,X99,14,2982644,
