Notes,State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Alabama,1,"Assault by hanging, strangulation and suffocation",X91,10,4672840,
,Alabama,1,Assault by handgun discharge,X93,37,4672840,0.8
,Alabama,1,"Assault by rifle, shotgun and larger firearm discharge",X94,22,4672840,0.5
,Alabama,1,Assault by other and unspecified firearm discharge,X95,319,4672840,6.8
,Alabama,1,Assault by sharp object,X99,37,4672840,0.8
,Alabama,1,Assault by unspecified means,Y09,44,4672840,0.9
Total,Alabama,1,,,480,4672840,10.3
,Alaska,2,Assault by other and unspecified firearm discharge,X95,22,680300,3.2
,Alaska,2,Assault by unspecified means,Y09,12,680300,
Total,Alaska,2,,,50,680300,7.3
,Arizona,4,"Assault by hanging, strangulation and suffocation",X91,18,6167681,
,Arizona,4,"Assault by rifle, shotgun and larger firearm discharge",X94,19,6167681,
,Arizona,4,Assault by other and unspecified firearm discharge,X95,334,6167681,5.4
,Arizona,4,Assault by sharp object,X99,50,6167681,0.8
,Arizona,4,Assault by unspecified means,Y09,76,6167681,1.2
Total,Arizona,4,,,528,6167681,8.6
,Arkansas,5,"Assault by rifle, shotgun and larger firearm discharge",X94,15,2848650,
,Arkansas,5,Assault by other and unspecified firearm discharge,X95,137,2848650,4.8
,Arkansas,5,Assault by sharp object,X99,25,2848650,0.9
,Arkansas,5,Assault by unspecified means,Y09,48,2848650,1.7
Total,Arkansas,5,,,243,2848650,8.5
,California,6,"Assault by hanging, strangulation and suffocation",X91,67,36250311,0.2
,California,6,Assault by handgun discharge,X93,275,36250311,0.8
,California,6,"Assault by rifle, shotgun and larger firearm discharge",X94,93,36250311,0.3
,California,6,Assault by other and unspecified firearm discharge,X95,1333,36250311,3.7
,California,6,"Assault by smoke, fire and flames",X97,11,36250311,
,California,6,Assault by sharp object,X99,281,36250311,0.8
,California,6,By unspecified person,Y07.9,18,36250311,
,California,6,Assault by other specified means,Y08,36,36250311,0.1
,California,6,Assault by unspecified means,Y09,182,36250311,0.5
,California,6,Sequelae of assault,Y87.1,41,36250311,0.1
Total,California,6,,,2376,36250311,6.6
,Colorado,8,Assault by handgun discharge,X93,10,4803868,
,Colorado,8,Assault by other and unspecified firearm discharge,X95,74,4803868,1.5
,Colorado,8,Assault by sharp object,X99,24,4803868,0.5
,Colorado,8,Assault by unspecified means,Y09,25,4803868,0.5
Total,Colorado,8,,,173,4803868,3.6
,Connecticut,9,Assault by other and unspecified firearm discharge,X95,62,3527270,1.8
,Connecticut,9,Assault by sharp object,X99,15,3527270,
,Connecticut,9,Assault by unspecified means,Y09,13,3527270,
Total,Connecticut,9,,,106,3527270,3
,Delaware,10,Assault by other and unspecified firearm discharge,X95,29,871749,3.3
Total,Delaware,10,,,48,871749,5.5
,District of Columbia,11,Assault by other and unspecified firearm discharge,X95,128,574404,22.3
,District of Columbia,11,Assault by sharp object,X99,20,574404,3.5
Total,District of Columbia,11,,,159,574404,27.7
,Florida,12,"Assault by hanging, strangulation and suffocation",X91,53,18367842,0.3
,Florida,12,Assault by handgun discharge,X93,69,18367842,0.4
,Florida,12,"Assault by rifle, shotgun and larger firearm discharge",X94,32,18367842,0.2
,Florida,12,Assault by other and unspecified firearm discharge,X95,834,18367842,4.5
,Florida,12,Assault by sharp object,X99,125,18367842,0.7
,Florida,12,Assault by blunt object,Y00,15,18367842,
,Florida,12,Assault by other specified means,Y08,20,18367842,0.1
,Florida,12,Assault by unspecified means,Y09,120,18367842,0.7
,Florida,12,Sequelae of assault,Y87.1,23,18367842,0.1
Total,Florida,12,,,1324,18367842,7.2
,Georgia,13,"Assault by hanging, strangulation and suffocation",X91,32,9349988,0.3
