Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Jefferson County, AL",1073,Assault by other and unspecified firearm discharge,X95,66,658466,10
,"Jefferson County, AL",1073,Assault by unspecified means,Y09,11,658466,
,"Madison County, AL",1089,Assault by other and unspecified firearm discharge,X95,15,334811,
,"Mobile County, AL",1097,Assault by other and unspecified firearm discharge,X95,37,412992,9
,"Montgomery County, AL",1101,Assault by other and unspecified firearm discharge,X95,16,229363,
,"Tuscaloosa County, AL",1125,Assault by other and unspecified firearm discharge,X95,10,194656,
,"Anchorage Borough, AK",2020,Assault by other and unspecified firearm discharge,X95,12,291826,
,"Maricopa County, AZ",4013,Assault by other and unspecified firearm discharge,X95,158,3817117,4.1
,"Maricopa County, AZ",4013,Assault by sharp object,X99,21,3817117,0.6
,"Maricopa County, AZ",4013,Assault by unspecified means,Y09,31,3817117,0.8
,"Pima County, AZ",4019,Assault by other and unspecified firearm discharge,X95,46,980263,4.7
,"Pima County, AZ",4019,Assault by unspecified means,Y09,13,980263,
,"Pinal County, AZ",4021,Assault by other and unspecified firearm discharge,X95,11,375770,
,"Mississippi County, AR",5093,Assault by other and unspecified firearm discharge,X95,11,46480,
,"Pulaski County, AR",5119,Assault by other and unspecified firearm discharge,X95,28,382748,7.3
,"Alameda County, CA",6001,Assault by handgun discharge,X93,43,1510271,2.8
,"Alameda County, CA",6001,Assault by other and unspecified firearm discharge,X95,55,1510271,3.6
,"Alameda County, CA",6001,Assault by sharp object,X99,12,1510271,
,"Contra Costa County, CA",6013,Assault by other and unspecified firearm discharge,X95,44,1049025,4.2
,"Contra Costa County, CA",6013,Assault by sharp object,X99,10,1049025,
,"Fresno County, CA",6019,Assault by other and unspecified firearm discharge,X95,35,930450,3.8
,"Kern County, CA",6029,Assault by other and unspecified firearm discharge,X95,49,839631,5.8
,"Kern County, CA",6029,Assault by sharp object,X99,12,839631,
,"Kern County, CA",6029,Assault by unspecified means,Y09,13,839631,
,"Los Angeles County, CA",6037,"Assault by hanging, strangulation and suffocation",X91,16,9818605,
,"Los Angeles County, CA",6037,Assault by handgun discharge,X93,79,9818605,0.8
,"Los Angeles County, CA",6037,"Assault by rifle, shotgun and larger firearm discharge",X94,16,9818605,
,"Los Angeles County, CA",6037,Assault by other and unspecified firearm discharge,X95,412,9818605,4.2
,"Los Angeles County, CA",6037,Assault by sharp object,X99,56,9818605,0.6
,"Los Angeles County, CA",6037,Assault by unspecified means,Y09,41,9818605,0.4
,"Los Angeles County, CA",6037,Sequelae of assault,Y87.1,16,9818605,
,"Merced County, CA",6047,Assault by other and unspecified firearm discharge,X95,19,255793,
,"Monterey County, CA",6053,Assault by handgun discharge,X93,27,415057,6.5
,"Orange County, CA",6059,Assault by handgun discharge,X93,24,3010232,0.8
,"Orange County, CA",6059,Assault by other and unspecified firearm discharge,X95,19,3010232,
,"Riverside County, CA",6065,Assault by other and unspecified firearm discharge,X95,45,2189641,2.1
,"Riverside County, CA",6065,Assault by sharp object,X99,12,2189641,
,"Sacramento County, CA",6067,Assault by handgun discharge,X93,12,1418788,
,"Sacramento County, CA",6067,Assault by other and unspecified firearm discharge,X95,44,1418788,3.1
,"Sacramento County, CA",6067,Assault by sharp object,X99,11,1418788,
,"San Bernardino County, CA",6071,Assault by other and unspecified firearm discharge,X95,64,2035210,3.1
,"San Bernardino County, CA",6071,Assault by sharp object,X99,20,2035210,1
,"San Bernardino County, CA",6071,Assault by unspecified means,Y09,20,2035210,1
,"San Diego County, CA",6073,Assault by other and unspecified firearm discharge,X95,24,3095313,0.8
,"San Diego County, CA",6073,Assault by sharp object,X99,16,3095313,
,"San Diego County, CA",6073,Assault by unspecified means,Y09,16,3095313,
,"San Francisco County, CA",6075,Assault by other and unspecified firearm discharge,X95,32,805235,4
,"San Joaquin County, CA",6077,Assault by other and unspecified firearm discharge,X95,39,685306,5.7
,"San Mateo County, CA",6081,Assault by other and unspecified firearm discharge,X95,17,718451,
,"Santa Clara County, CA",6085,Assault by other and unspecified firearm discharge,X95,14,1781642,
,"Solano County, CA",6095,Assault by handgun discharge,X93,10,413344,
,"Solano County, CA",6095,Assault by other and unspecified firearm discharge,X95,10,413344,
,"Stanislaus County, CA",6099,Assault by other and unspecified firearm discharge,X95,12,514453,
,"Tulare County, CA",6107,Assault by other and unspecified firearm discharge,X95,28,442179,6.3
,"Arapahoe County, CO",8005,Assault by other and unspecified firearm discharge,X95,15,572003,
,"Denver County, CO",8031,Assault by other and unspecified firearm discharge,X95,14,600158,
,"El Paso County, CO",8041,Assault by other and unspecified firearm discharge,X95,15,622263,
,"Fairfield County, CT",9001,Assault by other and unspecified firearm discharge,X95,26,916829,2.8
,"Hartford County, CT",9003,Assault by other and unspecified firearm discharge,X95,36,894014,4
,"New Haven County, CT",9009,Assault by other and unspecified firearm discharge,X95,32,862477,3.7
,"New Castle County, DE",10003,Assault by other and unspecified firearm discharge,X95,33,538479,6.1
,"District of Columbia, DC",11001,Assault by other and unspecified firearm discharge,X95,82,601723,13.6
,"District of Columbia, DC",11001,Assault by sharp object,X99,14,601723,
,"Alachua County, FL",12001,Assault by other and unspecified firearm discharge,X95,11,247336,
,"Brevard County, FL",12009,Assault by other and unspecified firearm discharge,X95,17,543376,
,"Broward County, FL",12011,Assault by other and unspecified firearm discharge,X95,53,1748066,3
,"Broward County, FL",12011,Assault by unspecified means,Y09,14,1748066,
,"Duval County, FL",12031,Assault by other and unspecified firearm discharge,X95,74,864263,8.6
,"Escambia County, FL",12033,Assault by other and unspecified firearm discharge,X95,17,297619,
,"Hillsborough County, FL",12057,Assault by handgun discharge,X93,32,1229226,2.6
,"Miami-Dade County, FL",12086,Assault by other and unspecified firearm discharge,X95,164,2496435,6.6
,"Miami-Dade County, FL",12086,Assault by sharp object,X99,22,2496435,0.9
,"Miami-Dade County, FL",12086,Assault by unspecified means,Y09,19,2496435,
,"Orange County, FL",12095,Assault by other and unspecified firearm discharge,X95,43,1145956,3.8
,"Orange County, FL",12095,Assault by sharp object,X99,11,1145956,
,"Palm Beach County, FL",12099,Assault by other and unspecified firearm discharge,X95,74,1320134,5.6
,"Palm Beach County, FL",12099,Assault by unspecified means,Y09,11,1320134,
,"Pinellas County, FL",12103,Assault by other and unspecified firearm discharge,X95,27,916542,2.9
,"Polk County, FL",12105,Assault by other and unspecified firearm discharge,X95,17,602095,
,"St. Lucie County, FL",12111,Assault by other and unspecified firearm discharge,X95,10,277789,
,"Bibb County, GA",13021,Assault by other and unspecified firearm discharge,X95,20,155547,12.9
,"Chatham County, GA",13051,Assault by other and unspecified firearm discharge,X95,10,265128,
,"Clayton County, GA",13063,Assault by other and unspecified firearm discharge,X95,12,259424,
,"Cobb County, GA",13067,Assault by other and unspecified firearm discharge,X95,12,688078,
,"DeKalb County, GA",13089,Assault by other and unspecified firearm discharge,X95,62,691893,9
,"Fulton County, GA",13121,Assault by other and unspecified firearm discharge,X95,81,920581,8.8
,"Fulton County, GA",13121,Assault by sharp object,X99,13,920581,
,"Gwinnett County, GA",13135,Assault by other and unspecified firearm discharge,X95,23,805321,2.9
,"Muscogee County, GA",13215,Assault by other and unspecified firearm discharge,X95,15,189885,
,"Richmond County, GA",13245,Assault by other and unspecified firearm discharge,X95,22,200549,11
,"Cook County, IL",17031,"Assault by hanging, strangulation and suffocation",X91,18,5194675,
,"Cook County, IL",17031,Assault by other and unspecified firearm discharge,X95,438,5194675,8.4
,"Cook County, IL",17031,Assault by sharp object,X99,39,5194675,0.8
,"Cook County, IL",17031,Assault by unspecified means,Y09,24,5194675,0.5
,"St. Clair County, IL",17163,Assault by other and unspecified firearm discharge,X95,25,270056,9.3
,"Will County, IL",17197,Assault by other and unspecified firearm discharge,X95,12,677560,
,"Winnebago County, IL",17201,Assault by other and unspecified firearm discharge,X95,14,295266,
,"Allen County, IN",18003,Assault by other and unspecified firearm discharge,X95,20,355329,5.6
,"Lake County, IN",18089,Assault by other and unspecified firearm discharge,X95,61,496005,12.3
,"Marion County, IN",18097,Assault by handgun discharge,X93,19,903393,
,"Marion County, IN",18097,Assault by other and unspecified firearm discharge,X95,69,903393,7.6
,"Sedgwick County, KS",20173,Assault by other and unspecified firearm discharge,X95,13,498365,
,"Shawnee County, KS",20177,Assault by other and unspecified firearm discharge,X95,11,177934,
,"Wyandotte County, KS",20209,Assault by other and unspecified firearm discharge,X95,18,157505,
,"Jefferson County, KY",21111,Assault by other and unspecified firearm discharge,X95,41,741096,5.5
,"Caddo Parish, LA",22017,Assault by other and unspecified firearm discharge,X95,26,254969,10.2
,"Calcasieu Parish, LA",22019,Assault by other and unspecified firearm discharge,X95,13,192768,
,"East Baton Rouge Parish, LA",22033,Assault by other and unspecified firearm discharge,X95,71,440171,16.1
,"Jefferson Parish, LA",22051,Assault by other and unspecified firearm discharge,X95,67,432552,15.5
,"Orleans Parish, LA",22071,Assault by other and unspecified firearm discharge,X95,136,343829,39.6
,"Orleans Parish, LA",22071,Assault by sharp object,X99,10,343829,
,"Ouachita Parish, LA",22073,Assault by other and unspecified firearm discharge,X95,10,153720,
,"Baltimore County, MD",24005,Assault by other and unspecified firearm discharge,X95,26,805029,3.2
,"Baltimore County, MD",24005,Assault by unspecified means,Y09,10,805029,
,"Montgomery County, MD",24031,Assault by other and unspecified firearm discharge,X95,10,971777,
,"Prince George's County, MD",24033,Assault by other and unspecified firearm discharge,X95,82,863420,9.5
,"Prince George's County, MD",24033,Assault by unspecified means,Y09,12,863420,
,"Baltimore city, MD",24510,Assault by other and unspecified firearm discharge,X95,149,620961,24
,"Baltimore city, MD",24510,Assault by sharp object,X99,14,620961,
,"Baltimore city, MD",24510,Assault by unspecified means,Y09,14,620961,
,"Bristol County, MA",25005,Assault by other and unspecified firearm discharge,X95,11,548285,
,"Hampden County, MA",25013,Assault by other and unspecified firearm discharge,X95,13,463490,
,"Suffolk County, MA",25025,Assault by other and unspecified firearm discharge,X95,62,722023,8.6
,"Suffolk County, MA",25025,Assault by sharp object,X99,14,722023,
,"Genesee County, MI",26049,Assault by other and unspecified firearm discharge,X95,49,425790,11.5
,"Macomb County, MI",26099,Assault by other and unspecified firearm discharge,X95,19,840978,
,"Oakland County, MI",26125,Assault by other and unspecified firearm discharge,X95,29,1202362,2.4
,"Wayne County, MI",26163,"Assault by rifle, shotgun and larger firearm discharge",X94,13,1820584,
,"Wayne County, MI",26163,Assault by other and unspecified firearm discharge,X95,248,1820584,13.6
,"Wayne County, MI",26163,Assault by sharp object,X99,26,1820584,1.4
,"Wayne County, MI",26163,Assault by other specified means,Y08,16,1820584,
,"Wayne County, MI",26163,Assault by unspecified means,Y09,10,1820584,
,"Hennepin County, MN",27053,Assault by other and unspecified firearm discharge,X95,28,1152425,2.4
,"Hinds County, MS",28049,Assault by handgun discharge,X93,29,245285,11.8
,"Lauderdale County, MS",28075,Assault by other and unspecified firearm discharge,X95,11,80261,
,"Washington County, MS",28151,Assault by other and unspecified firearm discharge,X95,11,51137,
,"Jackson County, MO",29095,Assault by other and unspecified firearm discharge,X95,87,674158,12.9
,"Jackson County, MO",29095,Assault by unspecified means,Y09,13,674158,
,"St. Louis County, MO",29189,Assault by other and unspecified firearm discharge,X95,65,998954,6.5
,"St. Louis city, MO",29510,Assault by other and unspecified firearm discharge,X95,92,319294,28.8
,"Douglas County, NE",31055,Assault by other and unspecified firearm discharge,X95,33,517110,6.4
,"Clark County, NV",32003,Assault by other and unspecified firearm discharge,X95,76,1951269,3.9
,"Clark County, NV",32003,Assault by sharp object,X99,15,1951269,
,"Clark County, NV",32003,Assault by unspecified means,Y09,22,1951269,1.1
,"Atlantic County, NJ",34001,Assault by other and unspecified firearm discharge,X95,14,274549,
,"Camden County, NJ",34007,Assault by other and unspecified firearm discharge,X95,27,513657,5.3
,"Essex County, NJ",34013,Assault by other and unspecified firearm discharge,X95,85,783969,10.8
,"Essex County, NJ",34013,Assault by sharp object,X99,12,783969,
,"Hudson County, NJ",34017,Assault by other and unspecified firearm discharge,X95,15,634266,
,"Hudson County, NJ",34017,Assault by sharp object,X99,11,634266,
,"Mercer County, NJ",34021,Assault by other and unspecified firearm discharge,X95,15,366513,
,"Passaic County, NJ",34031,Assault by other and unspecified firearm discharge,X95,19,501226,
,"Union County, NJ",34039,Assault by other and unspecified firearm discharge,X95,22,536499,4.1
,"Bernalillo County, NM",35001,Assault by handgun discharge,X93,11,662564,
,"Bernalillo County, NM",35001,Assault by other and unspecified firearm discharge,X95,12,662564,
,"Bronx County, NY",36005,Assault by other and unspecified firearm discharge,X95,79,1385108,5.7
,"Bronx County, NY",36005,Assault by sharp object,X99,33,1385108,2.4
,"Bronx County, NY",36005,Assault by unspecified means,Y09,10,1385108,
,"Erie County, NY",36029,Assault by other and unspecified firearm discharge,X95,38,919040,4.1
,"Kings County, NY",36047,Assault by other and unspecified firearm discharge,X95,150,2504700,6
,"Kings County, NY",36047,Assault by sharp object,X99,35,2504700,1.4
,"Kings County, NY",36047,Assault by unspecified means,Y09,15,2504700,
,"Monroe County, NY",36055,Assault by other and unspecified firearm discharge,X95,31,744344,4.2
,"Nassau County, NY",36059,Assault by other and unspecified firearm discharge,X95,22,1339532,1.6
,"New York County, NY",36061,Assault by other and unspecified firearm discharge,X95,28,1585873,1.8
,"New York County, NY",36061,Assault by sharp object,X99,11,1585873,
,"Queens County, NY",36081,Assault by other and unspecified firearm discharge,X95,57,2230722,2.6
,"Queens County, NY",36081,Assault by sharp object,X99,15,2230722,
,"Queens County, NY",36081,Assault by unspecified means,Y09,21,2230722,0.9
,"Suffolk County, NY",36103,Assault by other and unspecified firearm discharge,X95,30,1493350,2
,"Suffolk County, NY",36103,Assault by sharp object,X99,10,1493350,
,"Cumberland County, NC",37051,Assault by other and unspecified firearm discharge,X95,13,319431,
,"Durham County, NC",37063,Assault by other and unspecified firearm discharge,X95,17,267587,
,"Forsyth County, NC",37067,Assault by other and unspecified firearm discharge,X95,10,350670,
,"Guilford County, NC",37081,Assault by other and unspecified firearm discharge,X95,16,488406,
,"Harnett County, NC",37085,Assault by other and unspecified firearm discharge,X95,11,114678,
,"Mecklenburg County, NC",37119,Assault by other and unspecified firearm discharge,X95,44,919628,4.8
,"Pitt County, NC",37147,Assault by other and unspecified firearm discharge,X95,10,168148,
,"Robeson County, NC",37155,Assault by other and unspecified firearm discharge,X95,20,134168,14.9
,"Wake County, NC",37183,Assault by other and unspecified firearm discharge,X95,16,900993,
,"Cuyahoga County, OH",39035,Assault by other and unspecified firearm discharge,X95,65,1280122,5.1
,"Cuyahoga County, OH",39035,Assault by unspecified means,Y09,10,1280122,
,"Franklin County, OH",39049,Assault by other and unspecified firearm discharge,X95,89,1163414,7.6
