Notes,State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Alabama,1,Assault by handgun discharge,X93,36,4503491,0.8
,Alabama,1,"Assault by rifle, shotgun and larger firearm discharge",X94,26,4503491,0.6
,Alabama,1,Assault by other and unspecified firearm discharge,X95,260,4503491,5.8
,Alabama,1,Assault by sharp object,X99,48,4503491,1.1
,Alabama,1,Assault by unspecified means,Y09,40,4503491,0.9
Total,Alabama,1,,,434,4503491,9.6
,Alaska,2,Assault by other and unspecified firearm discharge,X95,30,648414,4.6
Total,Alaska,2,,,47,648414,7.2
,Arizona,4,"Assault by hanging, strangulation and suffocation",X91,17,5510364,
,Arizona,4,"Assault by rifle, shotgun and larger firearm discharge",X94,20,5510364,0.4
,Arizona,4,Assault by other and unspecified firearm discharge,X95,303,5510364,5.5
,Arizona,4,Assault by sharp object,X99,45,5510364,0.8
,Arizona,4,Assault by other specified means,Y08,11,5510364,
,Arizona,4,Assault by unspecified means,Y09,77,5510364,1.4
Total,Arizona,4,,,498,5510364,9
,Arkansas,5,Assault by handgun discharge,X93,17,2724816,
,Arkansas,5,"Assault by rifle, shotgun and larger firearm discharge",X94,21,2724816,0.8
,Arkansas,5,Assault by other and unspecified firearm discharge,X95,85,2724816,3.1
,Arkansas,5,Assault by sharp object,X99,31,2724816,1.1
,Arkansas,5,Assault by unspecified means,Y09,26,2724816,1
Total,Arkansas,5,,,195,2724816,7.2
,California,6,"Assault by drugs, medicaments and biological substances",X85,11,35253159,
,California,6,"Assault by hanging, strangulation and suffocation",X91,86,35253159,0.2
,California,6,Assault by handgun discharge,X93,314,35253159,0.9
,California,6,"Assault by rifle, shotgun and larger firearm discharge",X94,73,35253159,0.2
,California,6,Assault by other and unspecified firearm discharge,X95,1395,35253159,4
,California,6,Assault by sharp object,X99,239,35253159,0.7
,California,6,Assault by crashing of motor vehicle,Y03,10,35253159,
,California,6,By unspecified person,Y07.9,26,35253159,0.1
,California,6,Assault by other specified means,Y08,44,35253159,0.1
,California,6,Assault by unspecified means,Y09,203,35253159,0.6
,California,6,Sequelae of assault,Y87.1,41,35253159,0.1
Total,California,6,,,2487,35253159,7.1
,Colorado,8,Assault by other and unspecified firearm discharge,X95,107,4528732,2.4
,Colorado,8,Assault by sharp object,X99,31,4528732,0.7
,Colorado,8,Assault by unspecified means,Y09,22,4528732,0.5
Total,Colorado,8,,,192,4528732,4.2
,Connecticut,9,Assault by other and unspecified firearm discharge,X95,54,3484336,1.5
,Connecticut,9,Assault by sharp object,X99,14,3484336,
,Connecticut,9,Assault by unspecified means,Y09,16,3484336,
Total,Connecticut,9,,,107,3484336,3.1
,Delaware,10,Assault by other and unspecified firearm discharge,X95,17,818003,
Total,Delaware,10,,,25,818003,3.1
,District of Columbia,11,Assault by other and unspecified firearm discharge,X95,152,568502,26.7
,District of Columbia,11,Assault by sharp object,X99,22,568502,3.9
Total,District of Columbia,11,,,194,568502,34.1
,Florida,12,"Assault by hanging, strangulation and suffocation",X91,39,17004085,0.2
,Florida,12,Assault by handgun discharge,X93,13,17004085,
,Florida,12,"Assault by rifle, shotgun and larger firearm discharge",X94,20,17004085,0.1
,Florida,12,Assault by other and unspecified firearm discharge,X95,627,17004085,3.7
,Florida,12,Assault by sharp object,X99,116,17004085,0.7
,Florida,12,Assault by other specified means,Y08,31,17004085,0.2
,Florida,12,Assault by unspecified means,Y09,110,17004085,0.6
,Florida,12,Sequelae of assault,Y87.1,10,17004085,
Total,Florida,12,,,1004,17004085,5.9
,Georgia,13,"Assault by hanging, strangulation and suffocation",X91,31,8622793,0.4
,Georgia,13,Assault by handgun discharge,X93,24,8622793,0.3
,Georgia,13,"Assault by rifle, shotgun and larger firearm discharge",X94,27,8622793,0.3
,Georgia,13,Assault by other and unspecified firearm discharge,X95,442,8622793,5.1
,Georgia,13,"Assault by smoke, fire and flames",X97,10,8622793,
,Georgia,13,Assault by sharp object,X99,80,8622793,0.9
,Georgia,13,Assault by other specified means,Y08,12,8622793,
,Georgia,13,Assault by unspecified means,Y09,54,8622793,0.6
,Georgia,13,Sequelae of assault,Y87.1,30,8622793,0.3
Total,Georgia,13,,,736,8622793,8.5
Total,Hawaii,15,,,20,1251154,1.6
,Idaho,16,Assault by other and unspecified firearm discharge,X95,12,1363380,
Total,Idaho,16,,,33,1363380,2.4
,Illinois,17,"Assault by hanging, strangulation and suffocation",X91,35,12556006,0.3
,Illinois,17,Assault by handgun discharge,X93,27,12556006,0.2
,Illinois,17,"Assault by rifle, shotgun and larger firearm discharge",X94,17,12556006,
,Illinois,17,Assault by other and unspecified firearm discharge,X95,652,12556006,5.2
,Illinois,17,"Assault by smoke, fire and flames",X97,14,12556006,
,Illinois,17,Assault by sharp object,X99,97,12556006,0.8
,Illinois,17,Assault by other specified means,Y08,26,12556006,0.2
,Illinois,17,Assault by unspecified means,Y09,66,12556006,0.5
,Illinois,17,Sequelae of assault,Y87.1,13,12556006,
Total,Illinois,17,,,966,12556006,7.7
,Indiana,18,"Assault by hanging, strangulation and suffocation",X91,16,6196638,
,Indiana,18,Assault by other and unspecified firearm discharge,X95,234,6196638,3.8
,Indiana,18,Assault by sharp object,X99,20,6196638,0.3
,Indiana,18,Assault by blunt object,Y00,12,6196638,
,Indiana,18,Assault by unspecified means,Y09,33,6196638,0.5
Total,Indiana,18,,,347,6196638,5.6
,Iowa,19,Assault by other and unspecified firearm discharge,X95,10,2941999,
Total,Iowa,19,,,50,2941999,1.7
,Kansas,20,Assault by other and unspecified firearm discharge,X95,69,2723004,2.5
,Kansas,20,Assault by sharp object,X99,13,2723004,
Total,Kansas,20,,,121,2723004,4.4
,Kentucky,21,"Assault by hanging, strangulation and suffocation",X91,10,4117170,
