Notes,State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Alabama,1,Assault by handgun discharge,X93,15,4802740,
,Alabama,1,"Assault by rifle, shotgun and larger firearm discharge",X94,13,4802740,
,Alabama,1,Assault by other and unspecified firearm discharge,X95,264,4802740,5.5
,Alabama,1,Assault by sharp object,X99,43,4802740,0.9
,Alabama,1,Assault by unspecified means,Y09,35,4802740,0.7
Total,Alabama,1,,,392,4802740,8.2
,Alaska,2,Assault by other and unspecified firearm discharge,X95,17,722718,
Total,Alaska,2,,,36,722718,5
,Arizona,4,"Assault by hanging, strangulation and suffocation",X91,18,6482505,
,Arizona,4,Assault by handgun discharge,X93,13,6482505,
,Arizona,4,"Assault by rifle, shotgun and larger firearm discharge",X94,12,6482505,
,Arizona,4,Assault by other and unspecified firearm discharge,X95,234,6482505,3.6
,Arizona,4,Assault by sharp object,X99,44,6482505,0.7
,Arizona,4,Assault by unspecified means,Y09,66,6482505,1
Total,Arizona,4,,,402,6482505,6.2
,Arkansas,5,Assault by other and unspecified firearm discharge,X95,134,2937979,4.6
,Arkansas,5,Assault by sharp object,X99,28,2937979,1
,Arkansas,5,Assault by unspecified means,Y09,17,2937979,
Total,Arkansas,5,,,208,2937979,7.1
,California,6,"Assault by hanging, strangulation and suffocation",X91,60,37691912,0.2
,California,6,Assault by handgun discharge,X93,232,37691912,0.6
,California,6,"Assault by rifle, shotgun and larger firearm discharge",X94,64,37691912,0.2
,California,6,Assault by other and unspecified firearm discharge,X95,1018,37691912,2.7
,California,6,Assault by sharp object,X99,232,37691912,0.6
,California,6,Assault by crashing of motor vehicle,Y03,13,37691912,
,California,6,By unspecified person,Y07.9,24,37691912,0.1
,California,6,Assault by other specified means,Y08,12,37691912,
,California,6,Assault by unspecified means,Y09,187,37691912,0.5
,California,6,Sequelae of assault,Y87.1,41,37691912,0.1
Total,California,6,,,1916,37691912,5.1
,Colorado,8,"Assault by hanging, strangulation and suffocation",X91,10,5116796,
,Colorado,8,Assault by handgun discharge,X93,14,5116796,
,Colorado,8,Assault by other and unspecified firearm discharge,X95,82,5116796,1.6
,Colorado,8,Assault by sharp object,X99,19,5116796,
,Colorado,8,Assault by unspecified means,Y09,39,5116796,0.8
Total,Colorado,8,,,191,5116796,3.7
,Connecticut,9,Assault by other and unspecified firearm discharge,X95,92,3580709,2.6
,Connecticut,9,Assault by sharp object,X99,18,3580709,
,Connecticut,9,Assault by unspecified means,Y09,11,3580709,
Total,Connecticut,9,,,135,3580709,3.8
,Delaware,10,Assault by other and unspecified firearm discharge,X95,28,907135,3.1
Total,Delaware,10,,,49,907135,5.4
,District of Columbia,11,Assault by other and unspecified firearm discharge,X95,76,617996,12.3
,District of Columbia,11,Assault by sharp object,X99,18,617996,
Total,District of Columbia,11,,,109,617996,17.6
,Florida,12,"Assault by hanging, strangulation and suffocation",X91,28,19057542,0.1
,Florida,12,Assault by handgun discharge,X93,75,19057542,0.4
,Florida,12,"Assault by rifle, shotgun and larger firearm discharge",X94,34,19057542,0.2
,Florida,12,Assault by other and unspecified firearm discharge,X95,708,19057542,3.7
,Florida,12,Assault by sharp object,X99,114,19057542,0.6
,Florida,12,Assault by other specified means,Y08,12,19057542,
,Florida,12,Assault by unspecified means,Y09,116,19057542,0.6
,Florida,12,Sequelae of assault,Y87.1,24,19057542,0.1
Total,Florida,12,,,1143,19057542,6
,Georgia,13,"Assault by hanging, strangulation and suffocation",X91,17,9815210,
,Georgia,13,Assault by handgun discharge,X93,12,9815210,
,Georgia,13,"Assault by rifle, shotgun and larger firearm discharge",X94,18,9815210,
,Georgia,13,Assault by other and unspecified firearm discharge,X95,409,9815210,4.2
,Georgia,13,Assault by sharp object,X99,65,9815210,0.7
,Georgia,13,Assault by unspecified means,Y09,71,9815210,0.7
Total,Georgia,13,,,618,9815210,6.3
Total,Hawaii,15,,,18,1374810,
,Idaho,16,Assault by other and unspecified firearm discharge,X95,13,1584985,
Total,Idaho,16,,,29,1584985,1.8
,Illinois,17,"Assault by hanging, strangulation and suffocation",X91,19,12869257,
,Illinois,17,"Assault by rifle, shotgun and larger firearm discharge",X94,16,12869257,
,Illinois,17,Assault by other and unspecified firearm discharge,X95,587,12869257,4.6
,Illinois,17,Assault by sharp object,X99,57,12869257,0.4
,Illinois,17,Assault by crashing of motor vehicle,Y03,11,12869257,
,Illinois,17,By unspecified person,Y07.9,16,12869257,
,Illinois,17,Assault by unspecified means,Y09,64,12869257,0.5
,Illinois,17,Sequelae of assault,Y87.1,10,12869257,
Total,Illinois,17,,,812,12869257,6.3
,Indiana,18,"Assault by hanging, strangulation and suffocation",X91,11,6516922,
,Indiana,18,Assault by handgun discharge,X93,17,6516922,
,Indiana,18,"Assault by rifle, shotgun and larger firearm discharge",X94,12,6516922,
,Indiana,18,Assault by other and unspecified firearm discharge,X95,173,6516922,2.7
,Indiana,18,Assault by sharp object,X99,29,6516922,0.4
,Indiana,18,Assault by unspecified means,Y09,37,6516922,0.6
Total,Indiana,18,,,314,6516922,4.8
,Iowa,19,Assault by other and unspecified firearm discharge,X95,19,3062309,
Total,Iowa,19,,,54,3062309,1.8
,Kansas,20,Assault by other and unspecified firearm discharge,X95,68,2871238,2.4
,Kansas,20,Assault by sharp object,X99,14,2871238,
,Kansas,20,Assault by unspecified means,Y09,13,2871238,
Total,Kansas,20,,,123,2871238,4.3
,Kentucky,21,"Assault by rifle, shotgun and larger firearm discharge",X94,10,4369356,
,Kentucky,21,Assault by other and unspecified firearm discharge,X95,115,4369356,2.6
,Kentucky,21,Assault by unspecified means,Y09,32,4369356,0.7
Total,Kentucky,21,,,188,4369356,4.3
,Louisiana,22,Assault by other and unspecified firearm discharge,X95,423,4574836,9.2
,Louisiana,22,Assault by sharp object,X99,30,4574836,0.7
,Louisiana,22,Assault by other specified means,Y08,10,4574836,
,Louisiana,22,Assault by unspecified means,Y09,45,4574836,1
Total,Louisiana,22,,,549,4574836,12
Total,Maine,23,,,29,1328188,2.2
,Maryland,24,"Assault by hanging, strangulation and suffocation",X91,13,5828289,
,Maryland,24,Assault by other and unspecified firearm discharge,X95,267,5828289,4.6
,Maryland,24,Assault by sharp object,X99,50,5828289,0.9
,Maryland,24,Assault by unspecified means,Y09,65,5828289,1.1
Total,Maryland,24,,,418,5828289,7.2
,Massachusetts,25,Assault by other and unspecified firearm discharge,X95,125,6587536,1.9
,Massachusetts,25,Assault by sharp object,X99,35,6587536,0.5
,Massachusetts,25,Assault by unspecified means,Y09,16,6587536,
Total,Massachusetts,25,,,200,6587536,3
,Michigan,26,"Assault by hanging, strangulation and suffocation",X91,19,9876187,
,Michigan,26,"Assault by rifle, shotgun and larger firearm discharge",X94,20,9876187,0.2
,Michigan,26,Assault by other and unspecified firearm discharge,X95,487,9876187,4.9
,Michigan,26,Assault by sharp object,X99,49,9876187,0.5
,Michigan,26,Assault by unspecified means,Y09,46,9876187,0.5
Total,Michigan,26,,,654,9876187,6.6
,Minnesota,27,Assault by other and unspecified firearm discharge,X95,53,5344861,1
,Minnesota,27,Assault by sharp object,X99,10,5344861,
,Minnesota,27,Assault by unspecified means,Y09,22,5344861,0.4
Total,Minnesota,27,,,103,5344861,1.9
,Mississippi,28,Assault by handgun discharge,X93,56,2978512,1.9
,Mississippi,28,"Assault by rifle, shotgun and larger firearm discharge",X94,10,2978512,
,Mississippi,28,Assault by other and unspecified firearm discharge,X95,155,2978512,5.2
,Mississippi,28,Assault by sharp object,X99,42,2978512,1.4
,Mississippi,28,Assault by unspecified means,Y09,28,2978512,0.9
Total,Mississippi,28,,,312,2978512,10.5
,Missouri,29,"Assault by drugs, medicaments and biological substances",X85,10,6010688,
,Missouri,29,Assault by handgun discharge,X93,42,6010688,0.7
,Missouri,29,"Assault by rifle, shotgun and larger firearm discharge",X94,13,6010688,
,Missouri,29,Assault by other and unspecified firearm discharge,X95,248,6010688,4.1
,Missouri,29,Assault by sharp object,X99,25,6010688,0.4
,Missouri,29,Assault by unspecified means,Y09,46,6010688,0.8
Total,Missouri,29,,,419,6010688,7
Total,Montana,30,,,27,998199,2.7
,Nebraska,31,Assault by other and unspecified firearm discharge,X95,40,1842641,2.2
,Nebraska,31,Assault by sharp object,X99,11,1842641,
Total,Nebraska,31,,,67,1842641,3.6
,Nevada,32,Assault by other and unspecified firearm discharge,X95,81,2723322,3
,Nevada,32,Assault by sharp object,X99,15,2723322,
,Nevada,32,Assault by unspecified means,Y09,12,2723322,
Total,Nevada,32,,,130,2723322,4.8
Total,New Hampshire,33,,,22,1318194,1.7
,New Jersey,34,"Assault by hanging, strangulation and suffocation",X91,11,8821155,
,New Jersey,34,Assault by other and unspecified firearm discharge,X95,282,8821155,3.2
,New Jersey,34,Assault by sharp object,X99,52,8821155,0.6
,New Jersey,34,Assault by unspecified means,Y09,41,8821155,0.5
Total,New Jersey,34,,,413,8821155,4.7
