Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Calhoun County, AL",1015,Assault by other and unspecified firearm discharge,X95,12,115620,
,"Jefferson County, AL",1073,Assault by handgun discharge,X93,30,660367,4.5
,"Jefferson County, AL",1073,Assault by other and unspecified firearm discharge,X95,81,660367,12.3
,"Madison County, AL",1089,Assault by other and unspecified firearm discharge,X95,14,353089,
,"Mobile County, AL",1097,Assault by other and unspecified firearm discharge,X95,48,415395,11.6
,"Montgomery County, AL",1101,Assault by other and unspecified firearm discharge,X95,36,226519,15.9
,"Talladega County, AL",1121,Assault by other and unspecified firearm discharge,X95,14,80862,
,"Tuscaloosa County, AL",1125,Assault by other and unspecified firearm discharge,X95,10,203976,
,"Anchorage Borough, AK",2020,Assault by other and unspecified firearm discharge,X95,14,298695,
,"Maricopa County, AZ",4013,Assault by other and unspecified firearm discharge,X95,152,4167947,3.6
,"Maricopa County, AZ",4013,Assault by sharp object,X99,22,4167947,0.5
,"Maricopa County, AZ",4013,Assault by unspecified means,Y09,30,4167947,0.7
,"Pima County, AZ",4019,Assault by other and unspecified firearm discharge,X95,32,1010025,3.2
,"Jefferson County, AR",5069,Assault by other and unspecified firearm discharge,X95,10,71565,
,"Mississippi County, AR",5093,Assault by other and unspecified firearm discharge,X95,10,43738,
,"Pulaski County, AR",5119,Assault by other and unspecified firearm discharge,X95,42,392664,10.7
,"Alameda County, CA",6001,Assault by handgun discharge,X93,27,1638215,1.6
,"Alameda County, CA",6001,Assault by other and unspecified firearm discharge,X95,62,1638215,3.8
,"Contra Costa County, CA",6013,Assault by other and unspecified firearm discharge,X95,59,1126745,5.2
,"Fresno County, CA",6019,Assault by other and unspecified firearm discharge,X95,47,974861,4.8
,"Kern County, CA",6029,Assault by handgun discharge,X93,15,882176,
,"Kern County, CA",6029,"Assault by rifle, shotgun and larger firearm discharge",X94,10,882176,
,"Kern County, CA",6029,Assault by other and unspecified firearm discharge,X95,26,882176,2.9
,"Kern County, CA",6029,Assault by sharp object,X99,10,882176,
,"Los Angeles County, CA",6037,"Assault by hanging, strangulation and suffocation",X91,19,10170292,
,"Los Angeles County, CA",6037,Assault by handgun discharge,X93,47,10170292,0.5
,"Los Angeles County, CA",6037,"Assault by rifle, shotgun and larger firearm discharge",X94,14,10170292,
,"Los Angeles County, CA",6037,Assault by other and unspecified firearm discharge,X95,376,10170292,3.7
,"Los Angeles County, CA",6037,Assault by sharp object,X99,79,10170292,0.8
,"Los Angeles County, CA",6037,Assault by unspecified means,Y09,48,10170292,0.5
,"Merced County, CA",6047,Assault by handgun discharge,X93,12,268455,
,"Monterey County, CA",6053,Assault by handgun discharge,X93,35,433898,8.1
,"Monterey County, CA",6053,Assault by other and unspecified firearm discharge,X95,13,433898,
,"Orange County, CA",6059,Assault by handgun discharge,X93,20,3169776,0.6
,"Orange County, CA",6059,Assault by other and unspecified firearm discharge,X95,15,3169776,
,"Orange County, CA",6059,Assault by sharp object,X99,16,3169776,
