Notes,State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Alabama,1,Assault by handgun discharge,X93,44,4863300,0.9
,Alabama,1,"Assault by rifle, shotgun and larger firearm discharge",X94,18,4863300,
,Alabama,1,Assault by other and unspecified firearm discharge,X95,392,4863300,8.1
,Alabama,1,Assault by sharp object,X99,34,4863300,0.7
,Alabama,1,Assault by unspecified means,Y09,31,4863300,0.6
Total,Alabama,1,,,544,4863300,11.2
,Alaska,2,Assault by other and unspecified firearm discharge,X95,43,741894,5.8
Total,Alaska,2,,,54,741894,7.3
,Arizona,4,"Assault by hanging, strangulation and suffocation",X91,11,6931071,
,Arizona,4,"Assault by rifle, shotgun and larger firearm discharge",X94,14,6931071,
,Arizona,4,Assault by other and unspecified firearm discharge,X95,286,6931071,4.1
,Arizona,4,Assault by sharp object,X99,37,6931071,0.5
,Arizona,4,Assault by unspecified means,Y09,44,6931071,0.6
Total,Arizona,4,,,420,6931071,6.1
,Arkansas,5,Assault by other and unspecified firearm discharge,X95,173,2988248,5.8
,Arkansas,5,Assault by sharp object,X99,31,2988248,1
,Arkansas,5,Assault by unspecified means,Y09,12,2988248,
Total,Arkansas,5,,,248,2988248,8.3
,California,6,"Assault by hanging, strangulation and suffocation",X91,50,39250017,0.1
,California,6,Assault by handgun discharge,X93,243,39250017,0.6
,California,6,"Assault by rifle, shotgun and larger firearm discharge",X94,69,39250017,0.2
,California,6,Assault by other and unspecified firearm discharge,X95,1155,39250017,2.9
,California,6,"Assault by smoke, fire and flames",X97,11,39250017,
,California,6,Assault by sharp object,X99,277,39250017,0.7
,California,6,Assault by blunt object,Y00,14,39250017,
,California,6,Assault by bodily force,Y04,22,39250017,0.1
,California,6,By unspecified person,Y07.9,11,39250017,
,California,6,Assault by unspecified means,Y09,162,39250017,0.4
,California,6,Sequelae of assault,Y87.1,39,39250017,0.1
Total,California,6,,,2074,39250017,5.3
,Colorado,8,"Assault by hanging, strangulation and suffocation",X91,10,5540545,
,Colorado,8,Assault by other and unspecified firearm discharge,X95,150,5540545,2.7
,Colorado,8,Assault by sharp object,X99,26,5540545,0.5
,Colorado,8,Assault by unspecified means,Y09,22,5540545,0.4
Total,Colorado,8,,,235,5540545,4.2
,Connecticut,9,Assault by other and unspecified firearm discharge,X95,54,3576452,1.5
,Connecticut,9,Assault by sharp object,X99,14,3576452,
,Connecticut,9,Assault by unspecified means,Y09,10,3576452,
Total,Connecticut,9,,,88,3576452,2.5
,Delaware,10,Assault by other and unspecified firearm discharge,X95,43,952065,4.5
Total,Delaware,10,,,63,952065,6.6
,District of Columbia,11,Assault by other and unspecified firearm discharge,X95,98,681170,14.4
,District of Columbia,11,Assault by sharp object,X99,17,681170,
Total,District of Columbia,11,,,127,681170,18.6
,Florida,12,"Assault by hanging, strangulation and suffocation",X91,29,20612439,0.1
,Florida,12,Assault by handgun discharge,X93,107,20612439,0.5
,Florida,12,"Assault by rifle, shotgun and larger firearm discharge",X94,31,20612439,0.2
,Florida,12,Assault by other and unspecified firearm discharge,X95,854,20612439,4.1
,Florida,12,Assault by sharp object,X99,96,20612439,0.5
,Florida,12,Assault by unspecified means,Y09,122,20612439,0.6
,Florida,12,Sequelae of assault,Y87.1,19,20612439,
Total,Florida,12,,,1294,20612439,6.3
,Georgia,13,"Assault by hanging, strangulation and suffocation",X91,17,10310371,
,Georgia,13,Assault by handgun discharge,X93,17,10310371,
,Georgia,13,"Assault by rifle, shotgun and larger firearm discharge",X94,15,10310371,
,Georgia,13,Assault by other and unspecified firearm discharge,X95,621,10310371,6
,Georgia,13,Assault by sharp object,X99,61,10310371,0.6
,Georgia,13,Assault by unspecified means,Y09,50,10310371,0.5
Total,Georgia,13,,,806,10310371,7.8
,Hawaii,15,Assault by other and unspecified firearm discharge,X95,20,1428557,1.4
Total,Hawaii,15,,,39,1428557,2.7
Total,Idaho,16,,,30,1683140,1.8
,Illinois,17,"Assault by drugs, medicaments and biological substances",X85,16,12801539,
,Illinois,17,"Assault by hanging, strangulation and suffocation",X91,15,12801539,
,Illinois,17,Assault by other and unspecified firearm discharge,X95,931,12801539,7.3
,Illinois,17,"Assault by smoke, fire and flames",X97,17,12801539,
,Illinois,17,Assault by sharp object,X99,66,12801539,0.5
,Illinois,17,By unspecified person,Y07.9,12,12801539,
,Illinois,17,Assault by unspecified means,Y09,48,12801539,0.4
,Illinois,17,Sequelae of assault,Y87.1,15,12801539,
Total,Illinois,17,,,1157,12801539,9
,Indiana,18,"Assault by hanging, strangulation and suffocation",X91,16,6633053,
,Indiana,18,Assault by handgun discharge,X93,23,6633053,0.3
