Notes,State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Alabama,1,"Assault by hanging, strangulation and suffocation",X91,13,4480089,
,Alabama,1,Assault by handgun discharge,X93,44,4480089,1
,Alabama,1,"Assault by rifle, shotgun and larger firearm discharge",X94,24,4480089,0.5
,Alabama,1,Assault by other and unspecified firearm discharge,X95,224,4480089,5
,Alabama,1,Assault by sharp object,X99,53,4480089,1.2
,Alabama,1,Assault by unspecified means,Y09,39,4480089,0.9
Total,Alabama,1,,,416,4480089,9.3
,Alaska,2,Assault by other and unspecified firearm discharge,X95,24,642337,3.7
Total,Alaska,2,,,40,642337,6.2
,Arizona,4,"Assault by rifle, shotgun and larger firearm discharge",X94,19,5396255,
,Arizona,4,Assault by other and unspecified firearm discharge,X95,334,5396255,6.2
,Arizona,4,Assault by sharp object,X99,57,5396255,1.1
,Arizona,4,Assault by crashing of motor vehicle,Y03,12,5396255,
,Arizona,4,Assault by other specified means,Y08,12,5396255,
,Arizona,4,Assault by unspecified means,Y09,43,5396255,0.8
Total,Arizona,4,,,504,5396255,9.3
,Arkansas,5,Assault by handgun discharge,X93,12,2705927,
,Arkansas,5,"Assault by rifle, shotgun and larger firearm discharge",X94,20,2705927,0.7
,Arkansas,5,Assault by other and unspecified firearm discharge,X95,114,2705927,4.2
,Arkansas,5,Assault by sharp object,X99,14,2705927,
,Arkansas,5,Assault by unspecified means,Y09,17,2705927,
Total,Arkansas,5,,,194,2705927,7.2
,California,6,"Assault by hanging, strangulation and suffocation",X91,65,34871843,0.2
,California,6,Assault by drowning and submersion,X92,10,34871843,
,California,6,Assault by handgun discharge,X93,320,34871843,0.9
,California,6,"Assault by rifle, shotgun and larger firearm discharge",X94,95,34871843,0.3
,California,6,Assault by other and unspecified firearm discharge,X95,1395,34871843,4
,California,6,Assault by sharp object,X99,254,34871843,0.7
,California,6,Assault by blunt object,Y00,22,34871843,0.1
,California,6,Assault by bodily force,Y04,10,34871843,
,California,6,By unspecified person,Y07.9,17,34871843,
,California,6,Assault by other specified means,Y08,43,34871843,0.1
,California,6,Assault by unspecified means,Y09,174,34871843,0.5
,California,6,Sequelae of assault,Y87.1,43,34871843,0.1
Total,California,6,,,2485,34871843,7.1
,Colorado,8,Assault by handgun discharge,X93,15,4490406,
,Colorado,8,"Assault by rifle, shotgun and larger firearm discharge",X94,12,4490406,
,Colorado,8,Assault by other and unspecified firearm discharge,X95,89,4490406,2
,Colorado,8,Assault by sharp object,X99,19,4490406,
,Colorado,8,Assault by unspecified means,Y09,27,4490406,0.6
Total,Colorado,8,,,184,4490406,4.1
,Connecticut,9,Assault by other and unspecified firearm discharge,X95,53,3458749,1.5
,Connecticut,9,Assault by sharp object,X99,17,3458749,
,Connecticut,9,Assault by unspecified means,Y09,13,3458749,
Total,Connecticut,9,,,98,3458749,2.8
,Delaware,10,Assault by other and unspecified firearm discharge,X95,26,806169,3.2
Total,Delaware,10,,,38,806169,4.7
,District of Columbia,11,Assault by other and unspecified firearm discharge,X95,172,573158,30
,District of Columbia,11,Assault by sharp object,X99,21,573158,3.7
,District of Columbia,11,Assault by unspecified means,Y09,21,573158,3.7
Total,District of Columbia,11,,,229,573158,40
,Florida,12,"Assault by hanging, strangulation and suffocation",X91,47,16689370,0.3
,Florida,12,Assault by handgun discharge,X93,26,16689370,0.2
,Florida,12,"Assault by rifle, shotgun and larger firearm discharge",X94,26,16689370,0.2
,Florida,12,Assault by other and unspecified firearm discharge,X95,583,16689370,3.5
,Florida,12,Assault by sharp object,X99,116,16689370,0.7
,Florida,12,Assault by other specified means,Y08,16,16689370,
,Florida,12,Assault by unspecified means,Y09,142,16689370,0.9
,Florida,12,Sequelae of assault,Y87.1,14,16689370,
Total,Florida,12,,,1008,16689370,6
,Georgia,13,"Assault by hanging, strangulation and suffocation",X91,21,8508256,0.2
,Georgia,13,Assault by handgun discharge,X93,21,8508256,0.2
,Georgia,13,"Assault by rifle, shotgun and larger firearm discharge",X94,18,8508256,
,Georgia,13,Assault by other and unspecified firearm discharge,X95,438,8508256,5.1
,Georgia,13,Assault by sharp object,X99,64,8508256,0.8
,Georgia,13,Assault by bodily force,Y04,12,8508256,
,Georgia,13,Assault by other specified means,Y08,21,8508256,0.2
,Georgia,13,Assault by unspecified means,Y09,36,8508256,0.4
,Georgia,13,Sequelae of assault,Y87.1,16,8508256,
Total,Georgia,13,,,672,8508256,7.9
,Hawaii,15,Assault by other and unspecified firearm discharge,X95,13,1239613,
,Hawaii,15,Assault by unspecified means,Y09,12,1239613,
Total,Hawaii,15,,,38,1239613,3.1
,Idaho,16,Assault by other and unspecified firearm discharge,X95,12,1340372,
Total,Idaho,16,,,32,1340372,2.4
,Illinois,17,"Assault by hanging, strangulation and suffocation",X91,45,12525556,0.4
,Illinois,17,Assault by handgun discharge,X93,30,12525556,0.2
,Illinois,17,"Assault by rifle, shotgun and larger firearm discharge",X94,31,12525556,0.2
,Illinois,17,Assault by other and unspecified firearm discharge,X95,667,12525556,5.3
,Illinois,17,Assault by sharp object,X99,88,12525556,0.7
,Illinois,17,Assault by other specified means,Y08,26,12525556,0.2
,Illinois,17,Assault by unspecified means,Y09,70,12525556,0.6
,Illinois,17,Sequelae of assault,Y87.1,18,12525556,
Total,Illinois,17,,,1016,12525556,8.1
,Indiana,18,"Assault by hanging, strangulation and suffocation",X91,22,6155967,0.4
,Indiana,18,Assault by other and unspecified firearm discharge,X95,227,6155967,3.7
,Indiana,18,Assault by sharp object,X99,37,6155967,0.6
,Indiana,18,Assault by unspecified means,Y09,42,6155967,0.7
Total,Indiana,18,,,385,6155967,6.3
,Iowa,19,"Assault by rifle, shotgun and larger firearm discharge",X94,13,2934234,
,Iowa,19,Assault by other and unspecified firearm discharge,X95,14,2934234,
Total,Iowa,19,,,56,2934234,1.9
,Kansas,20,"Assault by hanging, strangulation and suffocation",X91,10,2713535,
,Kansas,20,Assault by other and unspecified firearm discharge,X95,66,2713535,2.4
,Kansas,20,Assault by sharp object,X99,20,2713535,0.7
,Kansas,20,Assault by unspecified means,Y09,14,2713535,
Total,Kansas,20,,,129,2713535,4.8
,Kentucky,21,Assault by handgun discharge,X93,11,4089875,
,Kentucky,21,"Assault by rifle, shotgun and larger firearm discharge",X94,11,4089875,
