Notes,State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Alabama,1,"Assault by hanging, strangulation and suffocation",X91,10,4849377,
,Alabama,1,Assault by handgun discharge,X93,14,4849377,
,Alabama,1,"Assault by rifle, shotgun and larger firearm discharge",X94,16,4849377,
,Alabama,1,Assault by other and unspecified firearm discharge,X95,262,4849377,5.4
,Alabama,1,Assault by sharp object,X99,26,4849377,0.5
,Alabama,1,Assault by unspecified means,Y09,32,4849377,0.7
Total,Alabama,1,,,374,4849377,7.7
,Alaska,2,Assault by other and unspecified firearm discharge,X95,18,736732,
Total,Alaska,2,,,37,736732,5
,Arizona,4,"Assault by hanging, strangulation and suffocation",X91,17,6731484,
,Arizona,4,Assault by other and unspecified firearm discharge,X95,199,6731484,3
,Arizona,4,Assault by sharp object,X99,35,6731484,0.5
,Arizona,4,Assault by unspecified means,Y09,43,6731484,0.6
Total,Arizona,4,,,322,6731484,4.8
,Arkansas,5,"Assault by rifle, shotgun and larger firearm discharge",X94,17,2966369,
,Arkansas,5,Assault by other and unspecified firearm discharge,X95,144,2966369,4.9
,Arkansas,5,Assault by sharp object,X99,24,2966369,0.8
,Arkansas,5,Assault by unspecified means,Y09,19,2966369,
Total,Arkansas,5,,,217,2966369,7.3
,California,6,"Assault by hanging, strangulation and suffocation",X91,51,38802500,0.1
,California,6,Assault by handgun discharge,X93,195,38802500,0.5
,California,6,"Assault by rifle, shotgun and larger firearm discharge",X94,53,38802500,0.1
,California,6,Assault by other and unspecified firearm discharge,X95,985,38802500,2.5
,California,6,Assault by sharp object,X99,246,38802500,0.6
,California,6,Assault by crashing of motor vehicle,Y03,10,38802500,
,California,6,By unspecified person,Y07.9,18,38802500,
,California,6,Assault by other specified means,Y08,14,38802500,
,California,6,Assault by unspecified means,Y09,164,38802500,0.4
,California,6,Sequelae of assault,Y87.1,43,38802500,0.1
Total,California,6,,,1813,38802500,4.7
,Colorado,8,Assault by other and unspecified firearm discharge,X95,94,5355866,1.8
,Colorado,8,Assault by sharp object,X99,26,5355866,0.5
,Colorado,8,Assault by unspecified means,Y09,22,5355866,0.4
Total,Colorado,8,,,177,5355866,3.3
,Connecticut,9,Assault by other and unspecified firearm discharge,X95,56,3596677,1.6
,Connecticut,9,Assault by sharp object,X99,16,3596677,
,Connecticut,9,Assault by unspecified means,Y09,17,3596677,
Total,Connecticut,9,,,100,3596677,2.8
,Delaware,10,Assault by other and unspecified firearm discharge,X95,38,935614,4.1
Total,Delaware,10,,,57,935614,6.1
,District of Columbia,11,Assault by other and unspecified firearm discharge,X95,66,658893,10
,District of Columbia,11,Assault by sharp object,X99,11,658893,
,District of Columbia,11,Assault by unspecified means,Y09,13,658893,
