Notes,State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Alabama,1,"Assault by hanging, strangulation and suffocation",X91,15,4467634,
,Alabama,1,Assault by handgun discharge,X93,32,4467634,0.7
,Alabama,1,"Assault by rifle, shotgun and larger firearm discharge",X94,34,4467634,0.8
,Alabama,1,Assault by other and unspecified firearm discharge,X95,236,4467634,5.3
,Alabama,1,Assault by sharp object,X99,50,4467634,1.1
,Alabama,1,Assault by unspecified means,Y09,37,4467634,0.8
Total,Alabama,1,,,425,4467634,9.5
,Alaska,2,Assault by other and unspecified firearm discharge,X95,21,633714,3.3
Total,Alaska,2,,,38,633714,6
,Arizona,4,"Assault by hanging, strangulation and suffocation",X91,17,5273477,
,Arizona,4,"Assault by rifle, shotgun and larger firearm discharge",X94,10,5273477,
,Arizona,4,Assault by other and unspecified firearm discharge,X95,320,5273477,6.1
,Arizona,4,Assault by sharp object,X99,68,5273477,1.3
,Arizona,4,Assault by other specified means,Y08,14,5273477,
,Arizona,4,Assault by unspecified means,Y09,34,5273477,0.6
Total,Arizona,4,,,494,5273477,9.4
,Arkansas,5,Assault by handgun discharge,X93,15,2691571,
,Arkansas,5,"Assault by rifle, shotgun and larger firearm discharge",X94,15,2691571,
,Arkansas,5,Assault by other and unspecified firearm discharge,X95,80,2691571,3
,Arkansas,5,Assault by sharp object,X99,26,2691571,1
,Arkansas,5,Assault by unspecified means,Y09,28,2691571,1
Total,Arkansas,5,,,183,2691571,6.8
,California,6,Terrorism involving destruction of aircraft,U01.1,45,34479458,0.1
,California,6,"Assault by hanging, strangulation and suffocation",X91,62,34479458,0.2
,California,6,Assault by handgun discharge,X93,288,34479458,0.8
,California,6,"Assault by rifle, shotgun and larger firearm discharge",X94,71,34479458,0.2
,California,6,Assault by other and unspecified firearm discharge,X95,1230,34479458,3.6
,California,6,Assault by sharp object,X99,259,34479458,0.8
,California,6,Assault by blunt object,Y00,26,34479458,0.1
,California,6,Assault by bodily force,Y04,17,34479458,
,California,6,By unspecified person,Y07.9,17,34479458,
,California,6,Assault by other specified means,Y08,37,34479458,0.1
,California,6,Assault by unspecified means,Y09,112,34479458,0.3
,California,6,Sequelae of assault,Y87.1,28,34479458,0.1
Total,California,6,,,2223,34479458,6.4
,Colorado,8,"Assault by hanging, strangulation and suffocation",X91,11,4425687,
,Colorado,8,"Assault by rifle, shotgun and larger firearm discharge",X94,13,4425687,
,Colorado,8,Assault by other and unspecified firearm discharge,X95,77,4425687,1.7
,Colorado,8,Assault by sharp object,X99,26,4425687,0.6
,Colorado,8,Assault by unspecified means,Y09,17,4425687,
Total,Colorado,8,,,169,4425687,3.8
,Connecticut,9,Terrorism involving destruction of aircraft,U01.1,63,3432835,1.8
,Connecticut,9,Assault by other and unspecified firearm discharge,X95,71,3432835,2.1
,Connecticut,9,Assault by sharp object,X99,12,3432835,
,Connecticut,9,Assault by unspecified means,Y09,14,3432835,
Total,Connecticut,9,,,172,3432835,5
,Delaware,10,Assault by other and unspecified firearm discharge,X95,18,795699,
Total,Delaware,10,,,33,795699,4.1
