Notes,State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Alabama,1,Assault by handgun discharge,X93,31,4718206,0.7
,Alabama,1,"Assault by rifle, shotgun and larger firearm discharge",X94,21,4718206,0.4
,Alabama,1,Assault by other and unspecified firearm discharge,X95,297,4718206,6.3
,Alabama,1,Assault by sharp object,X99,35,4718206,0.7
,Alabama,1,Assault by unspecified means,Y09,51,4718206,1.1
Total,Alabama,1,,,454,4718206,9.6
Total,Alaska,2,,,29,687455,4.2
,Arizona,4,"Assault by hanging, strangulation and suffocation",X91,11,6280362,
,Arizona,4,"Assault by rifle, shotgun and larger firearm discharge",X94,24,6280362,0.4
,Arizona,4,Assault by other and unspecified firearm discharge,X95,306,6280362,4.9
,Arizona,4,Assault by sharp object,X99,53,6280362,0.8
,Arizona,4,Assault by unspecified means,Y09,59,6280362,0.9
Total,Arizona,4,,,474,6280362,7.5
,Arkansas,5,"Assault by rifle, shotgun and larger firearm discharge",X94,11,2874554,
,Arkansas,5,Assault by other and unspecified firearm discharge,X95,133,2874554,4.6
,Arkansas,5,Assault by sharp object,X99,19,2874554,
,Arkansas,5,Assault by unspecified means,Y09,40,2874554,1.4
Total,Arkansas,5,,,214,2874554,7.4
,California,6,"Assault by hanging, strangulation and suffocation",X91,63,36604337,0.2
,California,6,Assault by handgun discharge,X93,299,36604337,0.8
,California,6,"Assault by rifle, shotgun and larger firearm discharge",X94,91,36604337,0.2
,California,6,Assault by other and unspecified firearm discharge,X95,1179,36604337,3.2
,California,6,Assault by sharp object,X99,269,36604337,0.7
,California,6,Assault by blunt object,Y00,15,36604337,
,California,6,Assault by bodily force,Y04,23,36604337,0.1
,California,6,By unspecified person,Y07.9,18,36604337,
,California,6,Assault by other specified means,Y08,33,36604337,0.1
,California,6,Assault by unspecified means,Y09,188,36604337,0.5
,California,6,Sequelae of assault,Y87.1,67,36604337,0.2
Total,California,6,,,2280,36604337,6.2
,Colorado,8,Assault by handgun discharge,X93,12,4889730,
,Colorado,8,Assault by other and unspecified firearm discharge,X95,88,4889730,1.8
,Colorado,8,Assault by sharp object,X99,28,4889730,0.6
,Colorado,8,Assault by unspecified means,Y09,27,4889730,0.6
Total,Colorado,8,,,194,4889730,4
,Connecticut,9,Assault by other and unspecified firearm discharge,X95,87,3545579,2.5
,Connecticut,9,Assault by sharp object,X99,24,3545579,0.7
,Connecticut,9,Assault by unspecified means,Y09,12,3545579,
Total,Connecticut,9,,,127,3545579,3.6
,Delaware,10,Assault by other and unspecified firearm discharge,X95,50,883874,5.7
Total,Delaware,10,,,65,883874,7.4
,District of Columbia,11,Assault by other and unspecified firearm discharge,X95,120,580236,20.7
,District of Columbia,11,Assault by sharp object,X99,18,580236,
,District of Columbia,11,Assault by unspecified means,Y09,18,580236,
