Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Jefferson County, AL",1073,Assault by other and unspecified firearm discharge,X95,74,658441,11.2
,"Lauderdale County, AL",1077,Assault by other and unspecified firearm discharge,X95,10,92526,
,"Mobile County, AL",1097,Assault by handgun discharge,X93,16,411994,
,"Mobile County, AL",1097,Assault by other and unspecified firearm discharge,X95,23,411994,5.6
,"Montgomery County, AL",1101,Assault by other and unspecified firearm discharge,X95,26,227607,11.4
,"Maricopa County, AZ",4013,Assault by other and unspecified firearm discharge,X95,127,3803779,3.3
,"Maricopa County, AZ",4013,Assault by sharp object,X99,34,3803779,0.9
,"Maricopa County, AZ",4013,Assault by unspecified means,Y09,38,3803779,1
,"Pima County, AZ",4019,Assault by other and unspecified firearm discharge,X95,34,975580,3.5
,"Pinal County, AZ",4021,Assault by other and unspecified firearm discharge,X95,14,349830,
,"Garland County, AR",5051,Assault by other and unspecified firearm discharge,X95,10,95840,
,"Jefferson County, AR",5069,Assault by other and unspecified firearm discharge,X95,15,77759,
,"Pulaski County, AR",5119,Assault by other and unspecified firearm discharge,X95,35,380053,9.2
,"Alameda County, CA",6001,Assault by handgun discharge,X93,41,1498539,2.7
,"Alameda County, CA",6001,Assault by other and unspecified firearm discharge,X95,58,1498539,3.9
,"Alameda County, CA",6001,Assault by sharp object,X99,12,1498539,
,"Contra Costa County, CA",6013,Assault by handgun discharge,X93,13,1037890,
,"Contra Costa County, CA",6013,Assault by other and unspecified firearm discharge,X95,63,1037890,6.1
,"Fresno County, CA",6019,Assault by other and unspecified firearm discharge,X95,46,921478,5
,"Fresno County, CA",6019,Assault by sharp object,X99,12,921478,
,"Kern County, CA",6029,Assault by other and unspecified firearm discharge,X95,56,830137,6.7
,"Los Angeles County, CA",6037,"Assault by hanging, strangulation and suffocation",X91,24,9787400,0.2
,"Los Angeles County, CA",6037,Assault by handgun discharge,X93,100,9787400,1
,"Los Angeles County, CA",6037,"Assault by rifle, shotgun and larger firearm discharge",X94,13,9787400,
,"Los Angeles County, CA",6037,Assault by other and unspecified firearm discharge,X95,432,9787400,4.4
,"Los Angeles County, CA",6037,Assault by sharp object,X99,69,9787400,0.7
,"Los Angeles County, CA",6037,Assault by other specified means,Y08,10,9787400,
,"Los Angeles County, CA",6037,Assault by unspecified means,Y09,40,9787400,0.4
,"Los Angeles County, CA",6037,Sequelae of assault,Y87.1,17,9787400,
,"Monterey County, CA",6053,Assault by handgun discharge,X93,34,410263,8.3
