Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Jefferson County, AL",1073,Assault by other and unspecified firearm discharge,X95,85,660009,12.9
,"Lee County, AL",1081,Assault by other and unspecified firearm discharge,X95,12,147257,
,"Madison County, AL",1089,Assault by other and unspecified firearm discharge,X95,15,343080,
,"Mobile County, AL",1097,Assault by other and unspecified firearm discharge,X95,39,413936,9.4
,"Montgomery County, AL",1101,Assault by other and unspecified firearm discharge,X95,30,230149,13
,"Anchorage Borough, AK",2020,Assault by other and unspecified firearm discharge,X95,11,298610,
,"Maricopa County, AZ",4013,Assault by other and unspecified firearm discharge,X95,144,3942169,3.7
,"Maricopa County, AZ",4013,Assault by sharp object,X99,28,3942169,0.7
,"Maricopa County, AZ",4013,Assault by unspecified means,Y09,22,3942169,0.6
,"Pima County, AZ",4019,Assault by other and unspecified firearm discharge,X95,37,992394,3.7
,"Pinal County, AZ",4021,Assault by other and unspecified firearm discharge,X95,19,387365,
,"Jefferson County, AR",5069,Assault by other and unspecified firearm discharge,X95,18,74723,
,"Pulaski County, AR",5119,Assault by other and unspecified firearm discharge,X95,44,388953,11.3
,"Alameda County, CA",6001,Assault by handgun discharge,X93,26,1554720,1.7
,"Alameda County, CA",6001,Assault by other and unspecified firearm discharge,X95,83,1554720,5.3
,"Alameda County, CA",6001,Assault by sharp object,X99,10,1554720,
,"Alameda County, CA",6001,Assault by unspecified means,Y09,10,1554720,
,"Contra Costa County, CA",6013,Assault by other and unspecified firearm discharge,X95,44,1079597,4.1
,"Fresno County, CA",6019,Assault by other and unspecified firearm discharge,X95,59,947895,6.2
,"Fresno County, CA",6019,Assault by sharp object,X99,12,947895,
,"Kern County, CA",6029,Assault by other and unspecified firearm discharge,X95,42,856158,4.9
,"Kern County, CA",6029,Assault by sharp object,X99,10,856158,
,"Kern County, CA",6029,Assault by unspecified means,Y09,10,856158,
,"Los Angeles County, CA",6037,"Assault by hanging, strangulation and suffocation",X91,15,9962789,
,"Los Angeles County, CA",6037,Assault by handgun discharge,X93,50,9962789,0.5
,"Los Angeles County, CA",6037,"Assault by rifle, shotgun and larger firearm discharge",X94,10,9962789,
,"Los Angeles County, CA",6037,Assault by other and unspecified firearm discharge,X95,347,9962789,3.5
,"Los Angeles County, CA",6037,Assault by sharp object,X99,71,9962789,0.7
,"Los Angeles County, CA",6037,Assault by unspecified means,Y09,56,9962789,0.6
,"Los Angeles County, CA",6037,Sequelae of assault,Y87.1,16,9962789,
