Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Calhoun County, AL",1015,Assault by other and unspecified firearm discharge,X95,11,114910,
,"Jefferson County, AL",1073,Assault by handgun discharge,X93,17,662845,
,"Jefferson County, AL",1073,Assault by other and unspecified firearm discharge,X95,49,662845,7.4
,"Jefferson County, AL",1073,Assault by sharp object,X99,12,662845,
,"Mobile County, AL",1097,Assault by handgun discharge,X93,16,399323,
,"Mobile County, AL",1097,Assault by other and unspecified firearm discharge,X95,18,399323,
,"Montgomery County, AL",1101,Assault by other and unspecified firearm discharge,X95,27,223548,12.1
,"Tuscaloosa County, AL",1125,Assault by other and unspecified firearm discharge,X95,15,164411,
,"Maricopa County, AZ",4013,"Assault by rifle, shotgun and larger firearm discharge",X94,10,3004985,
,"Maricopa County, AZ",4013,Assault by other and unspecified firearm discharge,X95,207,3004985,6.9
,"Maricopa County, AZ",4013,Assault by sharp object,X99,34,3004985,1.1
,"Maricopa County, AZ",4013,Assault by pushing or placing victim before moving object,Y02,14,3004985,
,"Maricopa County, AZ",4013,Assault by other specified means,Y08,16,3004985,
,"Maricopa County, AZ",4013,Assault by unspecified means,Y09,11,3004985,
,"Pima County, AZ",4019,Assault by other and unspecified firearm discharge,X95,43,828905,5.2
,"Pima County, AZ",4019,Assault by sharp object,X99,10,828905,
,"Pulaski County, AR",5119,Assault by other and unspecified firearm discharge,X95,28,360312,7.8
,"Alameda County, CA",6001,Assault by handgun discharge,X93,45,1427114,3.2
,"Alameda County, CA",6001,Assault by other and unspecified firearm discharge,X95,14,1427114,
,"Alameda County, CA",6001,Assault by sharp object,X99,14,1427114,
,"Contra Costa County, CA",6013,Assault by handgun discharge,X93,14,936983,
,"Contra Costa County, CA",6013,Assault by other and unspecified firearm discharge,X95,30,936983,3.2
,"Fresno County, CA",6019,Assault by other and unspecified firearm discharge,X95,18,789405,
,"Kern County, CA",6029,Assault by handgun discharge,X93,11,655428,
,"Kern County, CA",6029,Assault by other and unspecified firearm discharge,X95,17,655428,
,"Los Angeles County, CA",6037,"Assault by hanging, strangulation and suffocation",X91,31,9437290,0.3
,"Los Angeles County, CA",6037,Assault by handgun discharge,X93,78,9437290,0.8
,"Los Angeles County, CA",6037,"Assault by rifle, shotgun and larger firearm discharge",X94,15,9437290,
,"Los Angeles County, CA",6037,Assault by other and unspecified firearm discharge,X95,585,9437290,6.2
,"Los Angeles County, CA",6037,Assault by sharp object,X99,69,9437290,0.7
,"Los Angeles County, CA",6037,By unspecified person,Y07.9,15,9437290,
,"Los Angeles County, CA",6037,Assault by unspecified means,Y09,53,9437290,0.6
,"Los Angeles County, CA",6037,Sequelae of assault,Y87.1,16,9437290,
,"Monterey County, CA",6053,Assault by other and unspecified firearm discharge,X95,12,396267,
,"Orange County, CA",6059,Assault by handgun discharge,X93,35,2815933,1.2
,"Orange County, CA",6059,Assault by other and unspecified firearm discharge,X95,20,2815933,0.7
,"Orange County, CA",6059,Assault by sharp object,X99,13,2815933,
,"Riverside County, CA",6065,Assault by handgun discharge,X93,19,1507912,
,"Riverside County, CA",6065,Assault by other and unspecified firearm discharge,X95,30,1507912,2
,"Riverside County, CA",6065,Assault by sharp object,X99,15,1507912,
,"Sacramento County, CA",6067,Assault by other and unspecified firearm discharge,X95,32,1206659,2.7
,"Sacramento County, CA",6067,Assault by sharp object,X99,12,1206659,
,"San Bernardino County, CA",6071,Assault by other and unspecified firearm discharge,X95,82,1681601,4.9
,"San Bernardino County, CA",6071,Assault by sharp object,X99,17,1681601,
,"San Diego County, CA",6073,"Assault by hanging, strangulation and suffocation",X91,10,2789593,
,"San Diego County, CA",6073,Assault by other and unspecified firearm discharge,X95,53,2789593,1.9
,"San Diego County, CA",6073,Assault by sharp object,X99,16,2789593,
,"San Diego County, CA",6073,Assault by unspecified means,Y09,12,2789593,
,"San Francisco County, CA",6075,Assault by other and unspecified firearm discharge,X95,25,774716,3.2
,"San Francisco County, CA",6075,Assault by unspecified means,Y09,11,774716,
,"San Joaquin County, CA",6077,Assault by other and unspecified firearm discharge,X95,24,552424,4.3
,"San Mateo County, CA",6081,Assault by other and unspecified firearm discharge,X95,15,704538,
,"Santa Clara County, CA",6085,Assault by other and unspecified firearm discharge,X95,17,1671498,
,"Santa Clara County, CA",6085,Assault by sharp object,X99,13,1671498,
,"Stanislaus County, CA",6099,Assault by other and unspecified firearm discharge,X95,12,438609,
,"Tulare County, CA",6107,Assault by other and unspecified firearm discharge,X95,15,364708,
,"Adams County, CO",8001,Assault by other and unspecified firearm discharge,X95,13,354146,
,"Denver County, CO",8031,Assault by other and unspecified firearm discharge,X95,30,548848,5.5
,"El Paso County, CO",8041,Assault by other and unspecified firearm discharge,X95,13,509044,
,"Jefferson County, CO",8059,Assault by other and unspecified firearm discharge,X95,11,523325,
,"Fairfield County, CT",9001,Assault by other and unspecified firearm discharge,X95,31,877043,3.5
,"Hartford County, CT",9003,Assault by other and unspecified firearm discharge,X95,18,853039,
,"New Haven County, CT",9009,Assault by other and unspecified firearm discharge,X95,20,820396,2.4
,"New Castle County, DE",10003,Assault by other and unspecified firearm discharge,X95,16,496079,
,"District of Columbia, DC",11001,Assault by other and unspecified firearm discharge,X95,140,570213,24.6
,"District of Columbia, DC",11001,Assault by sharp object,X99,23,570213,4
,"Broward County, FL",12011,Assault by other and unspecified firearm discharge,X95,44,1594130,2.8
,"Broward County, FL",12011,Assault by unspecified means,Y09,15,1594130,
,"Duval County, FL",12031,Assault by other and unspecified firearm discharge,X95,44,773150,5.7
,"Duval County, FL",12031,Assault by sharp object,X99,10,773150,
,"Duval County, FL",12031,Assault by other specified means,Y08,14,773150,
,"Hillsborough County, FL",12057,Assault by handgun discharge,X93,21,984930,2.1
,"Hillsborough County, FL",12057,Assault by other and unspecified firearm discharge,X95,17,984930,
,"Lake County, FL",12069,Assault by other and unspecified firearm discharge,X95,11,205123,
,"Lee County, FL",12071,Assault by other and unspecified firearm discharge,X95,10,431981,
,"Marion County, FL",12083,Assault by other and unspecified firearm discharge,X95,11,254964,
,"Miami-Dade County, FL",12086,Assault by other and unspecified firearm discharge,X95,153,2220961,6.9
,"Miami-Dade County, FL",12086,Assault by sharp object,X99,15,2220961,
,"Miami-Dade County, FL",12086,Assault by other specified means,Y08,11,2220961,
,"Miami-Dade County, FL",12086,Assault by unspecified means,Y09,27,2220961,1.2
,"Orange County, FL",12095,Assault by other and unspecified firearm discharge,X95,30,875681,3.4
,"Palm Beach County, FL",12099,Assault by other and unspecified firearm discharge,X95,42,1116913,3.8
,"Palm Beach County, FL",12099,Assault by unspecified means,Y09,15,1116913,
,"Pinellas County, FL",12103,Assault by other and unspecified firearm discharge,X95,18,917379,
,"Polk County, FL",12105,Assault by other and unspecified firearm discharge,X95,11,478047,
,"Bibb County, GA",13021,Assault by other and unspecified firearm discharge,X95,22,154254,14.3
,"Chatham County, GA",13051,Assault by other and unspecified firearm discharge,X95,30,231630,13
,"Clayton County, GA",13063,Assault by other and unspecified firearm discharge,X95,14,229966,
,"Cobb County, GA",13067,Assault by other and unspecified firearm discharge,X95,16,588871,
,"DeKalb County, GA",13089,Assault by other and unspecified firearm discharge,X95,44,656625,6.7
,"Fulton County, GA",13121,Assault by handgun discharge,X93,18,807365,
,"Fulton County, GA",13121,Assault by other and unspecified firearm discharge,X95,82,807365,10.2
,"Fulton County, GA",13121,Assault by other specified means,Y08,10,807365,
,"Gwinnett County, GA",13135,Assault by other and unspecified firearm discharge,X95,10,567569,
,"Muscogee County, GA",13215,Assault by other and unspecified firearm discharge,X95,10,185734,
,"Richmond County, GA",13245,Assault by other and unspecified firearm discharge,X95,13,199395,
,"Honolulu County, HI",15003,Assault by other and unspecified firearm discharge,X95,16,878906,
,"Cook County, IL",17031,"Assault by hanging, strangulation and suffocation",X91,40,5365344,0.7
,"Cook County, IL",17031,Assault by other and unspecified firearm discharge,X95,533,5365344,9.9
,"Cook County, IL",17031,Assault by sharp object,X99,71,5365344,1.3
,"Cook County, IL",17031,Assault by bodily force,Y04,10,5365344,
,"Cook County, IL",17031,Assault by other specified means,Y08,28,5365344,0.5
,"Cook County, IL",17031,Assault by unspecified means,Y09,58,5365344,1.1
,"Kane County, IL",17089,Assault by other and unspecified firearm discharge,X95,18,396371,
,"Peoria County, IL",17143,Assault by other and unspecified firearm discharge,X95,10,184042,
,"St. Clair County, IL",17163,Assault by handgun discharge,X93,14,256201,
,"St. Clair County, IL",17163,Assault by other and unspecified firearm discharge,X95,13,256201,
,"Allen County, IN",18003,Assault by other and unspecified firearm discharge,X95,14,328699,
,"Lake County, IN",18089,Assault by other and unspecified firearm discharge,X95,84,484792,17.3
,"Marion County, IN",18097,Assault by handgun discharge,X93,13,857461,
,"Marion County, IN",18097,Assault by other and unspecified firearm discharge,X95,72,857461,8.4
,"St. Joseph County, IN",18141,Assault by other and unspecified firearm discharge,X95,15,264952,
,"Sedgwick County, KS",20173,Assault by other and unspecified firearm discharge,X95,15,451808,
,"Wyandotte County, KS",20209,Assault by other and unspecified firearm discharge,X95,30,157980,19
,"Jefferson County, KY",21111,Assault by other and unspecified firearm discharge,X95,33,691879,4.8
,"Ascension Parish, LA",22005,Assault by other and unspecified firearm discharge,X95,12,74662,
,"Caddo Parish, LA",22017,Assault by other and unspecified firearm discharge,X95,27,251876,10.7
,"East Baton Rouge Parish, LA",22033,Assault by other and unspecified firearm discharge,X95,49,412110,11.9
,"Jefferson Parish, LA",22051,Assault by other and unspecified firearm discharge,X95,28,457571,6.1
,"Orleans Parish, LA",22071,Assault by other and unspecified firearm discharge,X95,116,485511,23.9
,"Baltimore County, MD",24005,Assault by other and unspecified firearm discharge,X95,22,749425,2.9
,"Montgomery County, MD",24031,Assault by other and unspecified firearm discharge,X95,11,862350,
,"Prince George's County, MD",24033,Assault by other and unspecified firearm discharge,X95,90,795048,11.3
,"Prince George's County, MD",24033,Assault by sharp object,X99,10,795048,
,"Baltimore city, MD",24510,"Assault by rifle, shotgun and larger firearm discharge",X94,12,657441,
,"Baltimore city, MD",24510,Assault by other and unspecified firearm discharge,X95,215,657441,32.7
,"Baltimore city, MD",24510,Assault by sharp object,X99,14,657441,
,"Baltimore city, MD",24510,Assault by blunt object,Y00,14,657441,
,"Hampden County, MA",25013,Assault by other and unspecified firearm discharge,X95,14,455391,
,"Suffolk County, MA",25025,Assault by other and unspecified firearm discharge,X95,15,689109,
,"Genesee County, MI",26049,Assault by other and unspecified firearm discharge,X95,24,434409,5.5
,"Macomb County, MI",26099,Assault by other and unspecified firearm discharge,X95,18,783828,
,"Oakland County, MI",26125,Assault by other and unspecified firearm discharge,X95,34,1188498,2.9
,"Wayne County, MI",26163,"Assault by hanging, strangulation and suffocation",X91,18,2072114,
,"Wayne County, MI",26163,"Assault by rifle, shotgun and larger firearm discharge",X94,22,2072114,1.1
,"Wayne County, MI",26163,Assault by other and unspecified firearm discharge,X95,329,2072114,15.9
,"Wayne County, MI",26163,"Assault by smoke, fire and flames",X97,11,2072114,
,"Wayne County, MI",26163,Assault by sharp object,X99,27,2072114,1.3
,"Wayne County, MI",26163,Assault by other specified means,Y08,20,2072114,1
,"Wayne County, MI",26163,Assault by unspecified means,Y09,23,2072114,1.1
,"Hennepin County, MN",27053,Assault by other and unspecified firearm discharge,X95,28,1109634,2.5
,"Hennepin County, MN",27053,Assault by unspecified means,Y09,11,1109634,
,"Hinds County, MS",28049,Assault by handgun discharge,X93,30,250823,12
,"Jackson County, MO",29095,Assault by handgun discharge,X93,37,654073,5.7
,"Jackson County, MO",29095,Assault by other and unspecified firearm discharge,X95,38,654073,5.8
,"Jackson County, MO",29095,Assault by sharp object,X99,10,654073,
,"Jackson County, MO",29095,Assault by unspecified means,Y09,18,654073,
,"St. Louis County, MO",29189,Assault by other and unspecified firearm discharge,X95,24,1016040,2.4
,"St. Louis city, MO",29510,Assault by other and unspecified firearm discharge,X95,71,350156,20.3
,"St. Louis city, MO",29510,Assault by sharp object,X99,12,350156,
,"St. Louis city, MO",29510,Assault by unspecified means,Y09,15,350156,
,"Douglas County, NE",31055,Assault by other and unspecified firearm discharge,X95,19,460798,
,"Clark County, NV",32003,Assault by handgun discharge,X93,26,1321254,2
,"Clark County, NV",32003,Assault by other and unspecified firearm discharge,X95,48,1321254,3.6
,"Clark County, NV",32003,Assault by sharp object,X99,16,1321254,
,"Camden County, NJ",34007,Assault by other and unspecified firearm discharge,X95,24,509410,4.7
,"Essex County, NJ",34013,Assault by other and unspecified firearm discharge,X95,61,789678,7.7
,"Essex County, NJ",34013,Assault by sharp object,X99,13,789678,
,"Essex County, NJ",34013,Assault by unspecified means,Y09,16,789678,
,"Passaic County, NJ",34031,Assault by other and unspecified firearm discharge,X95,11,488131,
,"Bernalillo County, NM",35001,Assault by other and unspecified firearm discharge,X95,27,553002,4.9
,"Bernalillo County, NM",35001,Assault by sharp object,X99,11,553002,
,"Bernalillo County, NM",35001,Assault by unspecified means,Y09,10,553002,
,"Bronx County, NY",36005,"Assault by hanging, strangulation and suffocation",X91,10,1317895,
,"Bronx County, NY",36005,Assault by other and unspecified firearm discharge,X95,88,1317895,6.7
,"Bronx County, NY",36005,Assault by sharp object,X99,24,1317895,1.8
,"Erie County, NY",36029,Assault by other and unspecified firearm discharge,X95,11,952546,
,"Kings County, NY",36047,"Assault by hanging, strangulation and suffocation",X91,17,2447352,
,"Kings County, NY",36047,Assault by other and unspecified firearm discharge,X95,175,2447352,7.2
,"Kings County, NY",36047,Assault by sharp object,X99,48,2447352,2
,"Kings County, NY",36047,Assault by other specified means,Y08,18,2447352,
,"Monroe County, NY",36055,Assault by other and unspecified firearm discharge,X95,22,733679,3
,"Nassau County, NY",36059,Assault by other and unspecified firearm discharge,X95,22,1330815,1.7
